,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
1,0.266,293.6647679,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
2,0.516,311.1269837,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
3,1.015,391.995436,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
4,1.516,349.2282314,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
5,2.015,415.3046976,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
6,2.262,391.995436,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
7,2.512,415.3046976,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
8,3.001,293.6647679,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
9,3.513,261.6255653,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
10,4.013,391.995436,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
11,4.263,261.6255653,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
12,4.51,349.2282314,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
13,5.01,369.9944227,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
14,5.51,523.2511306,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
15,5.757,349.2282314,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
16,6.007,415.3046976,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
17,6.257,391.995436,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
18,6.504,493.8833013,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
19,7.004,311.1269837,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
20,8.014,261.6255653,1.0,0,0.0,stim_min_1,p_Simon,melody,0,1,1,1
21,9.008,391.995436,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
22,10.505,311.1269837,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
23,11.015,523.2511306,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
24,11.515,349.2282314,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
25,12.014,391.995436,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
26,12.511,349.2282314,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
27,13.011,523.2511306,1.0,0,0.0,stim_min_1,p_Simon,melody,1,0,0,1
28,13.508,311.1269837,1.0,1,13.817,stim_min_1,p_Simon,melody,0,0,0,0
29,14.005,391.995436,17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,1,1
30,15.001,261.6255653,17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
31,16.013,391.995436,17.5,0,0.0,stim_min_1,p_Simon,melody,0,1,0,1
32,17.007,293.6647679,17.5,1,17.895,stim_min_1,p_Simon,melody,1,0,0,1
33,18.004,311.1269837,17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
34,19.002,391.995436,17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
35,20.001,311.1269837,17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
36,21.0,587.3295358,17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
37,22.013,493.8833013,17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
38,23.004,311.1269837,17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
39,24.505,391.995436,1.0,0,0.0,stim_min_1,p_Simon,melody,1,1,1,1
40,25.002,311.1269837,1.0,1,25.186,stim_min_1,p_Simon,melody,0,0,0,0
41,25.516,311.1269837,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
42,26.015,415.3046976,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
43,27.012,349.2282314,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
44,28.514,349.2282314,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
45,28.76,523.2511306,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
46,29.01,220.0,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
47,29.507,391.995436,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
48,29.758,391.995436,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
49,30.008,391.995436,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
50,31.004,261.6255653,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
51,32.001,261.6255653,1.0,0,0.0,stim_min_1,p_Simon,melody,0,1,0,1
52,33.0,311.1269837,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
53,33.513,415.3046976,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
54,33.763,293.6647679,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
55,34.013,293.6647679,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
56,34.509,523.2511306,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
57,35.012,246.9416506,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
58,35.509,261.6255653,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
59,36.009,466.1637615,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
60,36.506,311.1269837,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
61,37.003,293.6647679,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,1
62,37.503,293.6647679,1.0,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
63,38.001,311.1269837,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,1,1
64,38.513,293.6647679,-17.5,0,0.0,stim_min_1,p_Simon,melody,0,0,0,0
65,39.013,195.997718,-17.5,0,0.0,stim_min_1,p_Simon,melody,1,0,0,1
