,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
1,0.266,493.8833013,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
2,0.516,523.2511306,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
3,1.012,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
4,1.512,415.3046976,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
5,2.009,523.2511306,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
6,2.256,493.8833013,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
7,2.506,523.2511306,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
8,3.006,587.3295358,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
9,3.515,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
10,4.015,523.2511306,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
11,4.265,493.8833013,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
12,4.515,523.2511306,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
13,5.011,587.3295358,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
14,5.511,349.2282314,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
15,5.761,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
16,6.008,415.3046976,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,1,1
17,6.255,391.995436,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
18,6.505,349.2282314,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
19,7.005,311.1269837,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
20,8.016,261.6255653,17.5,0,0.0,stim_min_1,p_Theo,main,1,1,1,1
21,9.009,391.995436,17.5,1,10.022,stim_min_1,p_Theo,main,0,0,0,1
22,10.503,415.3046976,17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
23,11.007,391.995436,17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
24,11.507,349.2282314,17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
25,12.004,311.1269837,1.0,0,0.0,stim_min_1,p_Theo,main,1,0,1,1
26,12.501,349.2282314,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
27,13.001,391.995436,1.0,1,13.326,stim_min_1,p_Theo,main,0,0,0,1
28,13.51,293.6647679,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
29,14.009,246.9416506,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
30,15.003,261.6255653,1.0,0,0.0,stim_min_1,p_Theo,main,1,0,0,1
31,16.0,391.995436,1.0,0,0.0,stim_min_1,p_Theo,main,0,1,0,1
32,17.014,415.3046976,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
33,18.01,391.995436,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
34,19.007,369.9944227,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
35,20.004,493.8833013,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
36,21.015,523.2511306,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
37,22.009,349.2282314,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
38,23.005,311.1269837,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
39,24.502,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,main,0,1,1,1
40,25.014,415.3046976,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
41,25.51,261.6255653,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
42,26.01,246.9416506,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
43,27.007,261.6255653,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
44,28.501,293.6647679,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
45,28.751,311.1269837,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
46,29.014,349.2282314,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
47,29.514,311.1269837,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
48,29.764,293.6647679,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
49,30.014,311.1269837,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
50,31.006,261.6255653,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
51,32.006,261.6255653,-17.5,1,32.486,stim_min_1,p_Theo,main,1,1,0,1
52,33.016,246.9416506,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
53,33.515,261.6255653,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
54,33.762,293.6647679,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
55,34.012,311.1269837,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
56,34.509,293.6647679,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
57,35.006,261.6255653,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
58,35.505,369.9944227,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
59,36.005,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
60,36.502,233.0818808,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
61,37.002,261.6255653,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
62,37.515,261.6255653,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
63,38.012,293.6647679,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
64,38.512,293.6647679,-17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
65,39.04,195.997718,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,1,1
66,40.008,261.6255653,1.0,0,0.0,stim_min_1,p_Theo,main,0,1,0,1
67,40.505,293.6647679,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
68,41.005,311.1269837,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
69,41.502,311.1269837,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
70,41.765,293.6647679,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
71,42.014,311.1269837,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
72,42.514,349.2282314,1.0,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
73,43.014,391.995436,17.5,0,0.0,stim_min_1,p_Theo,main,1,0,1,1
74,43.261,349.2282314,17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
75,43.51,311.1269837,17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
76,43.76,349.2282314,17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,0
77,44.01,391.995436,17.5,0,0.0,stim_min_1,p_Theo,main,0,0,0,1
