,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,369.9944227,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
1,0.266,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
2,0.516,349.2282314,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
3,1.015,415.3046976,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
4,1.515,523.2511306,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
5,2.012,349.2282314,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
6,2.254,415.3046976,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
7,2.504,293.6647679,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
8,3.001,349.2282314,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
9,3.513,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
10,4.011,369.9944227,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
11,4.261,293.6647679,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
12,4.511,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
13,5.008,311.1269837,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
14,5.507,349.2282314,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
15,5.758,523.2511306,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
16,6.0,311.1269837,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
17,6.255,440.0,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
18,6.5,493.8833013,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
19,7.016,311.1269837,1.0,1,7.513,stim_min_1,p_Theo,melody,1,0,1,1
20,8.012,261.6255653,1.0,0,0.0,stim_min_1,p_Theo,melody,0,1,0,1
21,9.006,391.995436,1.0,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
22,10.502,311.1269837,1.0,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
23,11.002,246.9416506,1.0,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
24,11.502,311.1269837,17.5,0,0.0,stim_min_1,p_Theo,melody,1,0,1,1
25,12.014,349.2282314,17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
26,12.511,311.1269837,17.5,1,12.543,stim_min_1,p_Theo,melody,0,0,0,0
27,13.008,349.2282314,17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
28,13.508,261.6255653,17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
29,14.008,415.3046976,17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
30,15.005,261.6255653,17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
31,16.001,391.995436,17.5,0,0.0,stim_min_1,p_Theo,melody,0,1,0,1
32,17.014,391.995436,17.5,1,17.463,stim_min_1,p_Theo,melody,1,0,0,1
33,18.01,311.1269837,17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
34,19.007,311.1269837,17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
35,20.003,523.2511306,17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
36,21.014,293.6647679,17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
37,22.011,349.2282314,17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
38,23.004,311.1269837,1.0,0,0.0,stim_min_1,p_Theo,melody,0,0,1,1
39,24.501,391.995436,1.0,0,0.0,stim_min_1,p_Theo,melody,1,1,0,1
40,25.014,349.2282314,1.0,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
41,25.511,493.8833013,1.0,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
42,26.011,391.995436,1.0,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
43,27.007,246.9416506,1.0,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
44,28.5,293.6647679,1.0,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
45,28.75,587.3295358,1.0,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
46,29.013,293.6647679,1.0,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
47,29.51,415.3046976,1.0,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
48,29.76,311.1269837,1.0,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
49,30.01,293.6647679,1.0,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
50,31.006,261.6255653,-17.5,1,31.85,stim_min_1,p_Theo,melody,1,0,1,1
51,32.006,261.6255653,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,1,0,1
52,33.012,349.2282314,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
53,33.509,523.2511306,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
54,33.759,349.2282314,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
55,34.01,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
56,34.51,261.6255653,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
57,35.007,391.995436,-17.5,0,0.0,stim_min_1,p_Theo,melody,1,0,0,1
58,35.501,349.2282314,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
59,36.001,493.8833013,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,1
60,36.513,349.2282314,-17.5,0,0.0,stim_min_1,p_Theo,melody,0,0,0,0
61,37.013,195.997718,1.0,0,0.0,stim_min_1,p_Theo,melody,1,0,1,1
