,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,0
1,0.266,293.6647679,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,1
2,0.516,329.6275569,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,0
3,1.262,349.2282314,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,1
4,1.75,391.995436,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,0
5,2.002,349.2282314,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,0
6,2.252,329.6275569,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,1
7,2.502,440.0,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,0
8,2.627,293.6647679,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,1
9,3.14,391.995436,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,0
10,3.265,440.0,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,0
11,3.515,391.995436,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,0
12,4.011,349.2282314,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,0
13,4.507,329.6275569,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,1
14,4.757,349.2282314,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,0
15,5.004,329.6275569,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,0
16,5.505,293.6647679,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,0
17,5.755,261.6255653,-17.5,0,0.0,stim_maj_1,p_,rhythm,0,0,0,1
18,7.265,391.995436,1.0,0,0.0,stim_maj_1,p_,rhythm,1,1,1,1
19,7.765,440.0,1.0,1,7.905,stim_maj_1,p_,rhythm,0,0,0,0
20,8.015,391.995436,1.0,0,0.0,stim_maj_1,p_,rhythm,0,0,0,0
21,9.011,349.2282314,1.0,0,0.0,stim_maj_1,p_,rhythm,0,0,0,0
