,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.516,391.995436,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
1,1.015,329.6275569,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,1
2,1.5,195.997718,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
3,2.012,293.6647679,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,1
4,2.755,391.995436,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
5,2.88,329.6275569,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
6,3.005,523.2511306,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,1
7,3.504,349.2282314,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
8,4.0,587.3295358,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,1
9,4.5,261.6255653,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
10,5.26,293.6647679,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
11,5.507,391.995436,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
12,5.757,293.6647679,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
13,6.006,369.9944227,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,1
14,6.253,329.6275569,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
15,6.515,493.8833013,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
16,6.765,440.0,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
17,7.012,261.6255653,-17.5,0,0.0,stim_maj_1,p_A,melody,0,0,0,1
18,8.509,391.995436,1.0,0,0.0,stim_maj_1,p_A,melody,0,1,1,1
19,9.006,391.995436,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
20,9.256,440.0,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
21,9.506,349.2282314,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
22,9.753,329.6275569,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
23,10.003,349.2282314,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,1
24,10.514,293.6647679,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
25,11.011,391.995436,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,1
26,11.511,349.2282314,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
27,11.761,523.2511306,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
28,12.007,391.995436,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,1
29,12.501,349.2282314,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
30,13.001,391.995436,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,1
31,13.513,391.995436,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
32,14.013,293.6647679,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,1
33,14.513,349.2282314,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
34,15.009,523.2511306,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,1
35,16.001,261.6255653,1.0,0,0.0,stim_maj_1,p_A,melody,1,1,0,1
36,16.126,261.6255653,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
37,16.251,293.6647679,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
38,16.376,523.2511306,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
39,16.501,391.995436,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
40,16.626,349.2282314,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
41,16.751,440.0,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
42,16.876,493.8833013,1.0,0,0.0,stim_maj_1,p_A,melody,0,0,0,0
