,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,0
1,0.262,493.8833013,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,0
2,0.512,523.2511306,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,0
3,1.012,391.995436,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,1
4,1.509,415.3046976,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,0
5,2.009,523.2511306,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,1
6,2.259,493.8833013,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,0
7,2.509,523.2511306,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,0
8,3.005,587.3295358,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,1
9,3.505,391.995436,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,0
10,4.001,523.2511306,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,1
11,4.264,493.8833013,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,0
12,4.514,523.2511306,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,0
13,5.014,587.3295358,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,1
14,5.514,349.2282314,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,0
15,5.764,391.995436,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,0
16,6.011,415.3046976,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,1
17,6.261,391.995436,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,0
18,6.508,349.2282314,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,0
19,7.007,311.1269837,-17.5,0,0.0,stim_min_1,p_A,main,0,0,0,1
20,8.004,261.6255653,1.0,0,0.0,stim_min_1,p_A,main,0,1,1,1
21,9.001,391.995436,1.0,0,0.0,stim_min_1,p_A,main,0,0,0,1
22,10.507,415.3046976,1.0,0,0.0,stim_min_1,p_A,main,0,0,0,0
23,11.004,391.995436,1.0,0,0.0,stim_min_1,p_A,main,0,0,0,1
