,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
1,0.963,493.8833013,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
2,1.459,523.2511306,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
3,1.615,391.995436,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
4,2.126,415.3046976,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
5,3.13,523.2511306,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
6,3.38,493.8833013,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
7,3.708,523.2511306,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
8,3.955,587.3295358,1.0,0,0.0,stim_min_1,p_A,rhythm,1,0,1,1
9,4.205,391.995436,1.0,1,4.564,stim_min_1,p_A,rhythm,0,0,0,0
10,4.705,523.2511306,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
11,5.713,493.8833013,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
12,5.865,523.2511306,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
13,6.873,587.3295358,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
14,7.369,349.2282314,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
15,7.869,391.995436,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
16,8.115,415.3046976,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
17,8.615,391.995436,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
18,8.787,349.2282314,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
19,9.033,311.1269837,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
20,10.062,261.6255653,17.5,0,0.0,stim_min_1,p_A,rhythm,0,1,1,1
21,11.043,391.995436,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
22,11.211,415.3046976,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
23,11.711,391.995436,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
24,13.2,349.2282314,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,1,1
25,13.706,311.1269837,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
26,14.707,349.2282314,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
27,15.201,391.995436,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
28,15.45,293.6647679,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
29,15.7,246.9416506,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
30,16.212,261.6255653,-17.5,0,0.0,stim_min_1,p_A,rhythm,1,0,1,1
31,17.212,391.995436,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,1,0,1
32,18.208,415.3046976,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
33,18.458,391.995436,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,1,1
34,18.954,369.9944227,1.0,0,0.0,stim_min_1,p_A,rhythm,1,0,0,1
35,19.282,493.8833013,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
36,19.794,523.2511306,1.0,1,19.991,stim_min_1,p_A,rhythm,0,0,0,1
37,21.297,349.2282314,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,1,1
38,21.626,311.1269837,17.5,0,0.0,stim_min_1,p_A,rhythm,1,0,0,1
39,23.122,391.995436,17.5,0,0.0,stim_min_1,p_A,rhythm,0,1,0,1
40,23.618,415.3046976,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
41,23.79,261.6255653,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
42,24.287,246.9416506,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
43,24.459,261.6255653,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
44,24.709,293.6647679,17.5,0,0.0,stim_min_1,p_A,rhythm,1,0,0,1
45,25.208,311.1269837,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
46,25.705,349.2282314,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,1,1
47,25.955,311.1269837,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
48,26.951,293.6647679,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
49,27.463,311.1269837,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
50,27.963,261.6255653,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
51,28.954,261.6255653,-17.5,0,0.0,stim_min_1,p_A,rhythm,1,1,1,1
52,29.954,246.9416506,-17.5,1,30.063,stim_min_1,p_A,rhythm,0,0,0,1
53,30.454,261.6255653,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
54,30.953,293.6647679,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
55,31.451,311.1269837,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
56,31.956,293.6647679,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
57,32.206,261.6255653,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
58,32.703,369.9944227,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
59,33.203,391.995436,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
60,33.702,233.0818808,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
61,34.699,261.6255653,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
62,35.199,261.6255653,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
63,35.711,293.6647679,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
64,36.208,293.6647679,-17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
65,36.455,195.997718,1.0,1,37.029,stim_min_1,p_A,rhythm,1,0,1,1
66,37.451,261.6255653,1.0,0,0.0,stim_min_1,p_A,rhythm,0,1,0,1
67,37.951,293.6647679,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
68,38.198,311.1269837,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
69,38.698,311.1269837,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
70,38.948,293.6647679,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
71,39.46,311.1269837,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
72,39.96,349.2282314,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
73,40.129,391.995436,1.0,0,0.0,stim_min_1,p_A,rhythm,1,0,0,1
74,40.379,349.2282314,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
75,40.629,311.1269837,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
76,41.126,349.2282314,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
77,41.372,391.995436,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
78,42.369,415.3046976,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
79,42.619,246.9416506,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
80,42.869,195.997718,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
81,43.119,195.997718,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
82,43.627,220.0,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
83,44.626,246.9416506,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
84,45.123,261.6255653,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
85,46.124,391.995436,17.5,0,0.0,stim_min_1,p_A,rhythm,0,1,1,1
86,46.621,311.1269837,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
87,47.121,349.2282314,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
88,47.371,391.995436,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
89,48.365,261.6255653,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
90,48.865,349.2282314,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
91,49.378,311.1269837,17.5,0,0.0,stim_min_1,p_A,rhythm,1,0,0,1
92,49.877,293.6647679,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
93,50.128,311.1269837,17.5,1,50.191,stim_min_1,p_A,rhythm,0,0,0,0
94,50.297,349.2282314,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
95,50.547,311.1269837,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
96,51.047,293.6647679,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
97,51.297,311.1269837,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
98,51.789,261.6255653,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
99,52.289,246.9416506,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
100,52.785,261.6255653,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
101,53.297,261.6255653,17.5,0,0.0,stim_min_1,p_A,rhythm,0,1,0,1
102,53.453,293.6647679,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
103,53.954,311.1269837,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
104,54.45,349.2282314,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
105,54.95,311.1269837,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
106,55.2,293.6647679,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
107,55.7,311.1269837,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
108,56.199,349.2282314,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
109,56.711,391.995436,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
110,57.707,415.3046976,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
111,57.957,391.995436,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
112,58.953,349.2282314,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
113,59.453,391.995436,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
114,59.949,523.2511306,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
115,60.121,493.8833013,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
116,60.292,466.1637615,17.5,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
117,60.789,440.0,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,1,1
118,60.96,415.3046976,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
119,61.453,391.995436,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
120,61.703,349.2282314,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
121,62.203,349.2282314,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,1
122,62.7,311.1269837,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
123,63.2,293.6647679,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
124,63.45,261.6255653,1.0,0,0.0,stim_min_1,p_A,rhythm,0,0,0,0
