,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.512,261.6255653,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
1,1.01,293.6647679,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,1
2,1.51,329.6275569,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
3,2.006,349.2282314,-17.5,0,0.0,stim_maj_1,p_Aaron,main,1,0,0,1
4,2.756,391.995436,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
5,2.881,349.2282314,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
6,3.006,329.6275569,-17.5,1,3.431,stim_maj_1,p_Aaron,main,0,0,0,1
7,3.503,440.0,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
8,4.003,293.6647679,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,1
9,4.515,391.995436,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
10,5.265,440.0,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
11,5.515,391.995436,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
12,5.765,349.2282314,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
13,6.015,329.6275569,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,1
14,6.264,349.2282314,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
15,6.511,329.6275569,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
16,6.761,293.6647679,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
17,7.001,261.6255653,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,1
18,8.5,391.995436,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,1,0,1
19,9.012,440.0,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
20,9.258,391.995436,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
21,9.508,349.2282314,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
22,9.762,391.995436,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
23,10.012,659.2551138,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,1
24,10.508,523.2511306,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
25,11.008,391.995436,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,1
26,11.519,349.2282314,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
27,11.754,329.6275569,-17.5,0,0.0,stim_maj_1,p_Aaron,main,0,0,0,0
