,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.516,261.6255653,-17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
1,1.012,293.6647679,-17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
2,1.512,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
3,2.004,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
4,2.75,391.995436,-17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
5,2.875,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
6,3.0,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,main,1,0,1,1
7,3.5,440.0,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
8,4.012,293.6647679,1.0,1,4.418,stim_maj_1,p_Eddie,main,0,0,0,1
9,4.512,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
10,5.262,440.0,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
11,5.512,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
12,5.762,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
13,6.009,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
14,6.258,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
15,6.508,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
16,6.755,293.6647679,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
17,7.005,261.6255653,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
18,8.515,391.995436,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,1,1,1
19,9.015,440.0,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
20,9.265,391.995436,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
21,9.512,349.2282314,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
22,9.762,391.995436,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
23,10.012,659.2551138,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
24,10.509,523.2511306,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
25,11.009,391.995436,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
26,11.501,349.2282314,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
27,11.758,329.6275569,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
28,12.008,349.2282314,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
29,12.504,587.3295358,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
30,13.013,329.6275569,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
31,13.515,523.2511306,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
32,14.01,293.6647679,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
33,14.507,493.8833013,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
34,15.007,523.2511306,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
35,16.003,261.6255653,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,1,1,1
36,16.128,293.6647679,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
37,16.253,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
38,16.375,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
39,16.5,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
40,16.625,293.6647679,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
41,16.75,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
42,16.891,261.6255653,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
43,17.012,440.0,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
44,17.759,440.0,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
45,18.009,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
46,18.756,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
47,19.003,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
48,19.765,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
49,20.015,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
50,20.757,293.6647679,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
51,21.007,261.6255653,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
52,21.504,195.997718,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
53,22.004,261.6255653,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
54,22.254,293.6647679,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
55,22.501,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
56,22.75,293.6647679,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
57,23.0,261.6255653,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
58,24.014,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,main,1,1,0,1
59,24.264,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
60,24.514,293.6647679,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
61,24.76,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
62,25.007,261.6255653,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
63,25.257,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
64,25.507,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
65,25.757,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
66,26.007,440.0,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
67,26.505,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
68,27.505,369.9944227,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
69,27.752,293.6647679,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
70,28.002,523.2511306,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
71,28.502,493.8833013,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
72,29.015,440.0,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
73,30.012,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
74,30.262,587.3295358,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
75,30.512,493.8833013,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
76,30.758,440.0,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
77,31.008,493.8833013,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
78,31.508,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
79,32.005,523.2511306,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,1,0,1
80,32.505,493.8833013,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
81,33.002,523.2511306,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
82,33.514,493.8833013,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
83,33.764,440.0,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
84,34.014,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
85,34.761,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
86,34.886,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
87,35.011,440.0,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
88,36.51,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
89,37.001,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eddie,main,1,0,1,1
90,37.514,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
91,38.01,293.6647679,-17.5,0,0.0,stim_maj_1,p_Eddie,main,0,1,0,1
92,38.51,391.995436,-17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
93,39.007,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
94,39.503,261.6255653,-17.5,1,39.816,stim_maj_1,p_Eddie,main,0,0,0,0
95,40.003,261.6255653,1.0,0,0.0,stim_maj_1,p_Eddie,main,1,1,1,1
96,40.515,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
97,41.015,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
98,41.509,261.6255653,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
99,42.009,440.0,17.5,0,0.0,stim_maj_1,p_Eddie,main,1,0,1,1
100,42.507,349.2282314,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
101,43.004,391.995436,17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
102,44.012,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,main,1,0,1,1
103,44.259,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
104,44.509,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
105,44.759,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
106,45.009,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
107,45.25,440.0,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
108,45.506,493.8833013,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
109,45.753,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
110,46.003,523.2511306,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
111,46.253,587.3295358,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
112,46.503,659.2551138,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
113,46.753,783.990872,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
114,47.015,523.2511306,-17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,1,1
115,48.008,246.9416506,-17.5,0,0.0,stim_maj_1,p_Eddie,main,1,1,0,1
116,48.505,261.6255653,-17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
117,49.005,293.6647679,-17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
118,50.009,195.997718,-17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
119,50.509,220.0,-17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
120,50.759,246.9416506,-17.5,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
121,51.009,261.6255653,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,1,1
122,51.506,293.6647679,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
123,51.754,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,0
124,52.004,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,main,0,0,0,1
