,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,349.2282314,-17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
1,0.262,523.2511306,-17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
2,0.51,293.6647679,-17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
3,1.009,261.6255653,-17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
4,1.508,246.9416506,-17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
5,2.009,391.995436,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,1,1
6,2.256,293.6647679,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
7,2.506,293.6647679,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
8,3.001,415.3046976,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
9,3.501,293.6647679,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
10,4.001,349.2282314,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
11,4.263,261.6255653,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
12,4.513,311.1269837,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
13,5.013,293.6647679,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
14,5.513,523.2511306,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
15,5.76,293.6647679,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
16,6.01,311.1269837,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
17,6.26,415.3046976,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
18,6.506,261.6255653,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
19,7.003,311.1269837,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
20,8.016,261.6255653,17.5,0,0.0,stim_min_1,p_Eddie,melody,0,1,1,1
21,9.003,246.9416506,17.5,0,0.0,stim_min_1,p_Eddie,melody,1,0,0,1
22,10.513,349.2282314,17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
23,11.009,261.6255653,17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
24,11.506,311.1269837,17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
25,12.006,311.1269837,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,1,1
26,12.506,587.3295358,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
27,13.003,391.995436,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
28,13.503,311.1269837,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
29,14.002,349.2282314,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
30,15.011,261.6255653,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
31,16.005,391.995436,-17.5,0,0.0,stim_min_1,p_Eddie,melody,1,1,1,1
32,17.002,293.6647679,-17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
33,18.014,311.1269837,-17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
34,19.008,349.2282314,-17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
35,20.006,293.6647679,-17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
36,21.009,493.8833013,-17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
37,22.01,311.1269837,-17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
38,23.004,311.1269837,-17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
39,24.502,391.995436,-17.5,0,0.0,stim_min_1,p_Eddie,melody,0,1,0,1
40,25.002,246.9416506,-17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
41,25.515,195.997718,-17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
42,26.011,195.997718,-17.5,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
43,27.008,246.9416506,1.0,1,27.752,stim_min_1,p_Eddie,melody,1,0,1,1
44,28.501,523.2511306,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
45,28.751,391.995436,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,0
46,29.001,311.1269837,1.0,0,0.0,stim_min_1,p_Eddie,melody,0,0,0,1
