,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
1,0.137,293.6647679,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,1
2,0.387,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
3,1.384,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,1
4,1.631,391.995436,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
5,2.127,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
6,2.377,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,1
7,2.627,440.0,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
8,4.127,293.6647679,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,1
9,4.639,391.995436,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
10,4.889,440.0,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
11,5.384,391.995436,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
12,5.88,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
13,6.13,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,1
14,6.377,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
15,6.877,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
16,7.376,293.6647679,-17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
17,7.626,261.6255653,1.0,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,1,1
18,9.139,391.995436,1.0,0,0.0,stim_maj_1,p_Eva,rhythm,1,1,0,1
19,9.639,440.0,1.0,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
20,10.388,391.995436,1.0,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
21,10.635,349.2282314,1.0,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
22,11.135,391.995436,1.0,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
23,11.384,659.2551138,1.0,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,1
24,11.881,523.2511306,1.0,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
25,12.129,391.995436,1.0,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,1
26,12.254,349.2282314,1.0,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
27,12.504,329.6275569,1.0,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
28,12.626,349.2282314,17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,1,1
29,13.138,587.3295358,17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
30,13.888,329.6275569,17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,1
31,14.138,523.2511306,17.5,0,0.0,stim_maj_1,p_Eva,rhythm,0,0,0,0
