,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.516,349.2282314,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
1,1.012,293.6647679,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
2,1.509,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
3,2.009,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
4,2.756,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
5,2.881,523.2511306,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
6,3.006,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
7,3.502,493.8833013,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
8,4.002,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
9,4.514,440.0,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
10,5.264,391.995436,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
11,5.514,349.2282314,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
12,5.761,440.0,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
13,6.011,293.6647679,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
14,6.261,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
15,6.508,391.995436,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
16,6.758,293.6647679,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
17,7.008,261.6255653,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
18,8.501,391.995436,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,1,1,0,1
19,9.001,493.8833013,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
20,9.251,349.2282314,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
21,9.514,195.997718,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
22,9.763,293.6647679,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
23,10.013,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
24,10.509,261.6255653,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
25,11.009,587.3295358,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
26,11.509,587.3295358,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
27,11.759,349.2282314,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
28,12.006,349.2282314,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
29,12.506,293.6647679,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
30,13.006,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,1,1
31,13.502,329.6275569,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
32,14.015,493.8833013,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
33,14.512,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
34,15.008,523.2511306,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
35,16.011,261.6255653,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,1,1,1,1
36,16.136,659.2551138,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
37,16.261,391.995436,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
38,16.387,440.0,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
39,16.512,329.6275569,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
40,16.637,523.2511306,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
41,16.762,293.6647679,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
42,16.887,261.6255653,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
43,17.012,246.9416506,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
44,17.759,349.2282314,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
45,18.006,391.995436,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
46,18.765,329.6275569,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
47,19.015,329.6275569,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
48,19.765,440.0,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
49,20.012,220.0,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
50,20.762,329.6275569,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
51,21.012,440.0,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
52,21.508,261.6255653,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
53,22.008,440.0,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
54,22.255,369.9944227,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
55,22.505,293.6647679,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
56,22.752,349.2282314,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
57,23.002,261.6255653,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
58,24.012,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,1,1,1,1
59,24.259,493.8833013,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
60,24.509,349.2282314,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
61,24.759,261.6255653,1.0,1,24.884,stim_maj_1,p_Ferdinand,melody,0,0,0,0
62,25.006,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
63,25.256,493.8833013,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
64,25.502,523.2511306,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
65,25.752,329.6275569,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
66,26.002,329.6275569,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
67,26.515,293.6647679,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
68,27.509,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
69,27.759,293.6647679,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
70,28.009,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
71,28.506,293.6647679,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
72,29.006,349.2282314,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
73,30.014,587.3295358,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
74,30.264,523.2511306,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
75,30.512,349.2282314,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
76,30.759,349.2282314,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
77,31.003,440.0,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
78,31.513,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
79,32.013,523.2511306,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,1,0,1
80,32.509,329.6275569,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
81,33.01,391.995436,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,1,0,1,1
82,33.503,293.6647679,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
83,33.766,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
84,34.01,261.6255653,-17.5,1,34.416,stim_maj_1,p_Ferdinand,melody,0,0,0,1
85,34.756,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
86,34.881,349.2282314,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
87,35.002,440.0,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
88,36.515,391.995436,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
89,37.011,349.2282314,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
90,37.511,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
91,38.008,293.6647679,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,1,1,1
92,38.508,349.2282314,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
93,39.005,659.2551138,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,1,0,0,1
94,39.502,261.6255653,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
95,40.001,261.6255653,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,1,0,1
96,40.511,329.6275569,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
97,41.008,523.2511306,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
98,41.508,195.997718,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
99,42.004,261.6255653,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,1,1
100,42.504,523.2511306,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
101,43.001,261.6255653,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,1,0,0,1
102,44.014,440.0,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
103,44.264,293.6647679,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
104,44.51,293.6647679,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
105,44.76,349.2282314,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
106,45.007,391.995436,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
107,45.253,493.8833013,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
108,45.502,440.0,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
109,45.765,329.6275569,17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
110,46.015,349.2282314,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,1,1
111,46.265,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
112,46.5,440.0,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
113,46.75,440.0,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
114,47.013,523.2511306,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
115,48.01,246.9416506,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,1,1,1
116,48.51,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
117,49.005,391.995436,-17.5,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,1
118,50.001,349.2282314,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,1,1
119,50.501,293.6647679,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
120,50.764,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,melody,0,0,0,0
