,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
1,0.266,293.6647679,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
2,0.512,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
3,1.45,349.2282314,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
4,1.7,391.995436,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
5,2.212,349.2282314,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
6,2.337,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
7,2.834,440.0,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
8,3.334,293.6647679,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
9,3.459,391.995436,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
10,4.455,440.0,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
11,4.955,391.995436,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
12,5.451,349.2282314,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
13,5.701,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
14,5.826,349.2282314,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
15,6.323,329.6275569,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
16,7.323,293.6647679,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
17,7.573,261.6255653,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
18,9.085,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,1,1,1
19,9.582,440.0,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
20,9.832,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
21,10.082,349.2282314,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
22,10.33,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
23,10.58,659.2551138,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
24,10.823,523.2511306,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
25,11.338,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
26,11.838,349.2282314,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
27,12.335,329.6275569,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
28,12.835,349.2282314,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
29,13.832,587.3295358,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
30,14.579,329.6275569,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
31,14.829,523.2511306,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
32,15.076,293.6647679,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
33,15.326,493.8833013,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
34,15.826,523.2511306,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
35,16.838,261.6255653,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,1,1,0,1
36,16.963,293.6647679,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
37,17.463,329.6275569,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
38,17.96,349.2282314,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
39,18.21,329.6275569,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
40,18.335,293.6647679,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
41,18.581,329.6275569,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
42,18.831,261.6255653,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
43,19.078,440.0,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
44,19.828,440.0,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
45,20.078,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
46,20.575,349.2282314,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
47,20.825,329.6275569,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
48,21.075,349.2282314,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
49,21.575,329.6275569,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
50,23.084,293.6647679,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
51,23.581,261.6255653,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,1,0,0,1
52,23.831,195.997718,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
53,24.082,261.6255653,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
54,24.578,293.6647679,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
55,25.078,329.6275569,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
56,25.328,293.6647679,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
57,25.825,261.6255653,17.5,1,25.95,stim_maj_1,p_Ferdinand,rhythm,1,0,1,1
58,26.829,391.995436,17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,1,0,1
59,27.079,329.6275569,17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
60,27.576,293.6647679,17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
61,27.826,329.6275569,17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
62,28.326,261.6255653,17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
63,28.588,349.2282314,17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
64,29.584,329.6275569,17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
65,30.58,349.2282314,17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
66,30.827,440.0,17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
67,31.324,391.995436,17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
68,31.449,369.9944227,17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
69,31.699,293.6647679,17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
70,31.949,523.2511306,17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
71,32.074,493.8833013,17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
72,32.573,440.0,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,1,0,1,1
73,33.083,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
74,33.333,587.3295358,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
75,33.833,493.8833013,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
76,34.08,440.0,1.0,1,34.283,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
77,34.323,493.8833013,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,1
78,34.452,391.995436,1.0,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
79,34.952,523.2511306,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,1,1,1,1
80,35.462,493.8833013,-17.5,0,0.0,stim_maj_1,p_Ferdinand,rhythm,0,0,0,0
