,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
1,0.512,493.8833013,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
2,0.762,523.2511306,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
3,1.012,391.995436,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
4,1.262,415.3046976,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
5,2.258,523.2511306,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
6,2.758,493.8833013,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
7,3.253,523.2511306,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
8,3.503,587.3295358,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
9,4.514,391.995436,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
10,4.761,523.2511306,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
11,6.257,493.8833013,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
12,6.758,523.2511306,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
13,8.252,587.3295358,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,1,0,0,1
14,8.752,349.2282314,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
15,9.096,391.995436,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
16,9.596,415.3046976,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
17,10.09,391.995436,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
18,10.59,349.2282314,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
19,10.761,311.1269837,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
20,11.756,261.6255653,1.0,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,1,1,1
21,12.765,391.995436,1.0,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
22,13.015,415.3046976,1.0,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
23,14.011,391.995436,1.0,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
24,14.258,349.2282314,1.0,0,0.0,stim_min_1,p_Ferdinand,rhythm,1,0,0,1
25,15.255,311.1269837,17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,1,1
26,15.752,349.2282314,17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
27,16.252,391.995436,17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
28,16.515,293.6647679,17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
29,17.012,246.9416506,1.0,0,0.0,stim_min_1,p_Ferdinand,rhythm,1,0,1,1
30,17.511,261.6255653,1.0,1,18.411,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
31,18.505,391.995436,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,1,1,1
32,19.501,415.3046976,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
33,19.673,391.995436,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,1,0,0,1
34,20.682,369.9944227,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
35,21.178,493.8833013,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
36,21.678,523.2511306,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
37,22.175,349.2282314,-17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
38,22.672,311.1269837,1.0,0,0.0,stim_min_1,p_Ferdinand,rhythm,1,0,1,1
39,24.168,391.995436,1.0,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,1,0,1
40,24.68,415.3046976,1.0,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
41,24.837,261.6255653,1.0,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
42,25.333,246.9416506,1.0,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
43,25.596,261.6255653,1.0,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
44,25.753,293.6647679,17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,1,0,1,1
45,26.265,311.1269837,17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
46,26.764,349.2282314,17.5,1,26.78,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
47,27.264,311.1269837,17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
48,27.76,293.6647679,17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,0
49,28.01,311.1269837,17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
50,28.51,261.6255653,17.5,0,0.0,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
51,29.506,261.6255653,1.0,0,0.0,stim_min_1,p_Ferdinand,rhythm,1,1,1,1
52,30.502,246.9416506,1.0,1,30.549,stim_min_1,p_Ferdinand,rhythm,0,0,0,1
