,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
1,0.262,493.8833013,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
2,0.509,523.2511306,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
3,1.009,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
4,1.506,415.3046976,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
5,2.006,523.2511306,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
6,2.255,493.8833013,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
7,2.502,523.2511306,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
8,3.015,587.3295358,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
9,3.515,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
10,4.015,523.2511306,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
11,4.262,493.8833013,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
12,4.512,523.2511306,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
13,5.006,587.3295358,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
14,5.502,349.2282314,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
15,5.752,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
16,6.002,415.3046976,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
17,6.252,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
18,6.502,349.2282314,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
19,7.014,311.1269837,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,1,1
20,8.0,261.6255653,1.0,1,8.461,stim_min_1,p_Fredor,main,1,1,0,1
21,9.005,391.995436,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
22,10.511,415.3046976,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
23,11.008,391.995436,1.0,0,0.0,stim_min_1,p_Fredor,main,1,0,0,1
24,11.508,349.2282314,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,1,1
25,12.008,311.1269837,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
26,12.505,349.2282314,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
27,13.001,391.995436,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
28,13.501,293.6647679,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
29,14.007,246.9416506,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
30,15.0,261.6255653,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
31,16.004,391.995436,17.5,0,0.0,stim_min_1,p_Fredor,main,1,1,0,1
32,17.011,415.3046976,17.5,1,17.352,stim_min_1,p_Fredor,main,0,0,0,1
33,18.006,391.995436,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
34,19.003,369.9944227,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
35,20.014,493.8833013,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
36,21.01,523.2511306,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
37,22.004,349.2282314,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
38,23.014,311.1269837,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
39,24.51,391.995436,1.0,0,0.0,stim_min_1,p_Fredor,main,0,1,1,1
40,25.007,415.3046976,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
41,25.504,261.6255653,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
42,26.001,246.9416506,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
43,27.0,261.6255653,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
44,28.512,293.6647679,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
45,28.759,311.1269837,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
46,29.009,349.2282314,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
47,29.505,311.1269837,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
48,29.755,293.6647679,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
49,30.006,311.1269837,-17.5,0,0.0,stim_min_1,p_Fredor,main,1,0,1,1
50,31.006,261.6255653,-17.5,1,31.612,stim_min_1,p_Fredor,main,0,0,0,1
51,32.003,261.6255653,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,1,0,1
52,33.015,246.9416506,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
53,33.515,261.6255653,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
54,33.762,293.6647679,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
55,34.012,311.1269837,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
56,34.508,293.6647679,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
57,35.006,261.6255653,1.0,0,0.0,stim_min_1,p_Fredor,main,1,0,1,1
58,35.503,369.9944227,1.0,1,35.938,stim_min_1,p_Fredor,main,0,0,0,0
59,36.0,391.995436,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
60,36.5,233.0818808,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
61,37.013,261.6255653,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
62,37.513,261.6255653,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
63,38.01,293.6647679,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
64,38.507,293.6647679,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
65,39.007,195.997718,1.0,1,39.77,stim_min_1,p_Fredor,main,1,0,0,1
66,40.004,261.6255653,17.5,0,0.0,stim_min_1,p_Fredor,main,0,1,1,1
67,40.504,293.6647679,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
68,41.001,311.1269837,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
69,41.5,311.1269837,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
70,41.75,293.6647679,17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
71,42.012,311.1269837,1.0,0,0.0,stim_min_1,p_Fredor,main,1,0,1,1
72,42.509,349.2282314,1.0,1,42.822,stim_min_1,p_Fredor,main,0,0,0,0
73,43.009,391.995436,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
74,43.259,349.2282314,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
75,43.509,311.1269837,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
76,43.756,349.2282314,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
77,44.006,391.995436,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
78,44.505,415.3046976,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
79,45.002,246.9416506,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
80,45.515,195.997718,1.0,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
81,46.011,195.997718,-17.5,0,0.0,stim_min_1,p_Fredor,main,1,0,1,1
82,46.261,220.0,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
83,46.508,246.9416506,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
84,47.008,261.6255653,-17.5,1,47.226,stim_min_1,p_Fredor,main,0,0,0,1
85,48.005,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,1,0,1
86,48.505,311.1269837,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
87,49.002,349.2282314,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
88,49.513,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
89,50.01,261.6255653,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
90,50.508,349.2282314,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
91,51.005,311.1269837,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
92,51.253,293.6647679,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
93,51.5,311.1269837,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
94,52.513,349.2282314,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
95,52.763,311.1269837,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
96,53.013,293.6647679,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
97,53.509,311.1269837,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,0
98,54.009,261.6255653,-17.5,0,0.0,stim_min_1,p_Fredor,main,0,0,0,1
