,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.512,261.6255653,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
1,1.012,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
2,1.509,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
3,2.009,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
4,2.759,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
5,2.88,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
6,3.005,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
7,3.505,440.0,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
8,4.002,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
9,4.514,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
10,5.264,440.0,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
11,5.501,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
12,5.761,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
13,6.011,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
14,6.261,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
15,6.5,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
16,6.758,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
17,7.005,261.6255653,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
18,8.514,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,1,0,1
19,9.014,440.0,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
20,9.264,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
21,9.514,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
22,9.76,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
23,10.01,659.2551138,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
24,10.51,523.2511306,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
25,11.007,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
26,11.507,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
27,11.764,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
28,12.011,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
29,12.507,587.3295358,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
30,13.007,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
31,13.507,523.2511306,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
32,14.004,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
33,14.505,493.8833013,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
34,15.005,523.2511306,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
35,16.001,261.6255653,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,1,0,1
36,16.126,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
37,16.251,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
38,16.376,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
39,16.514,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
40,16.639,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
41,16.764,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
42,16.889,261.6255653,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
43,17.014,440.0,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
44,17.76,440.0,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
45,18.01,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
46,18.759,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
47,19.009,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
48,19.756,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
49,20.006,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
50,20.753,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
51,21.003,261.6255653,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
52,21.503,195.997718,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
53,22.015,261.6255653,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
54,22.265,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
55,22.515,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
56,22.751,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
57,23.002,261.6255653,-17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
58,24.014,391.995436,1.0,0,0.0,stim_maj_1,p_Johann,main,1,1,1,1
59,24.261,329.6275569,1.0,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
60,24.511,293.6647679,1.0,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
61,24.758,329.6275569,1.0,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
62,25.008,261.6255653,1.0,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
63,25.258,349.2282314,1.0,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
64,25.508,329.6275569,1.0,1,25.555,stim_maj_1,p_Johann,main,0,0,0,0
65,25.759,349.2282314,1.0,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
66,26.005,440.0,1.0,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
67,26.504,391.995436,1.0,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
68,27.501,369.9944227,1.0,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
69,27.751,293.6647679,1.0,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
70,28.001,523.2511306,1.0,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
71,28.501,493.8833013,1.0,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
72,29.011,440.0,1.0,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
73,30.008,391.995436,17.5,0,0.0,stim_maj_1,p_Johann,main,1,0,1,1
74,30.255,587.3295358,17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
75,30.501,493.8833013,17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
76,30.751,440.0,17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
77,31.001,493.8833013,17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
78,31.514,391.995436,17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
79,32.014,523.2511306,17.5,0,0.0,stim_maj_1,p_Johann,main,1,1,0,1
80,32.511,493.8833013,17.5,1,32.914,stim_maj_1,p_Johann,main,0,0,0,0
81,33.008,523.2511306,17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
82,33.507,493.8833013,17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
83,33.757,440.0,17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
84,34.007,391.995436,17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
85,34.765,349.2282314,17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
86,34.89,391.995436,17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,0
87,35.015,440.0,17.5,0,0.0,stim_maj_1,p_Johann,main,0,0,0,1
