,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.512,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
1,1.009,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,1
2,1.508,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
3,2.005,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,1
4,2.755,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
5,2.88,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
6,3.005,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,1
7,3.502,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
8,4.002,440.0,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,1
9,4.515,261.6255653,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
10,5.262,523.2511306,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
11,5.511,440.0,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
12,5.761,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
13,6.011,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,1
14,6.261,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
15,6.511,587.3295358,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
16,6.761,659.2551138,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
17,7.011,261.6255653,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,1
18,8.508,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,melody,1,1,0,1
19,9.008,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
20,9.257,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
21,9.505,440.0,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
22,9.754,659.2551138,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
23,10.004,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,1
24,10.501,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
25,11.001,440.0,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,1
26,11.513,440.0,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
27,11.763,523.2511306,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
28,12.013,493.8833013,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,1
29,12.513,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
30,13.009,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,melody,1,0,0,1
31,13.505,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
32,14.005,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,1
33,14.502,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
34,15.002,523.2511306,-17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,1
35,16.015,261.6255653,1.0,0,0.0,stim_maj_1,p_Johann,melody,0,1,1,1
36,16.139,391.995436,1.0,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
37,16.264,440.0,1.0,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
38,16.389,195.997718,1.0,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
39,16.514,391.995436,1.0,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
40,16.639,261.6255653,1.0,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
41,16.764,391.995436,1.0,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
42,16.886,391.995436,1.0,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
43,17.011,246.9416506,1.0,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,1
44,17.759,329.6275569,1.0,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
45,18.009,391.995436,1.0,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,1
46,18.756,523.2511306,1.0,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
47,19.006,523.2511306,1.0,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,1
48,19.753,329.6275569,1.0,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
49,20.003,493.8833013,17.5,0,0.0,stim_maj_1,p_Johann,melody,1,0,1,1
50,20.765,440.0,17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
51,21.012,440.0,17.5,1,21.215,stim_maj_1,p_Johann,melody,0,0,0,1
52,21.512,293.6647679,17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
53,22.012,329.6275569,17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,1
54,22.262,349.2282314,17.5,0,0.0,stim_maj_1,p_Johann,melody,0,0,0,0
