,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
1,0.262,493.8833013,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
2,0.512,523.2511306,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
3,1.01,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
4,1.507,415.3046976,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
5,2.007,523.2511306,-17.5,0,0.0,stim_min_1,p_Johann,main,1,0,0,1
6,2.257,493.8833013,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
7,2.504,523.2511306,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
8,3.004,587.3295358,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
9,3.504,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
10,4.004,523.2511306,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
11,4.254,493.8833013,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
12,4.501,523.2511306,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
13,5.001,587.3295358,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
14,5.5,349.2282314,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
15,5.75,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
16,6.0,415.3046976,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
17,6.25,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
18,6.501,349.2282314,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
19,7.009,311.1269837,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
20,8.009,261.6255653,-17.5,0,0.0,stim_min_1,p_Johann,main,0,1,0,1
21,9.006,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
22,10.515,415.3046976,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
23,11.011,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
24,11.511,349.2282314,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
25,12.011,311.1269837,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
26,12.507,349.2282314,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
27,13.003,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
28,13.503,293.6647679,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
29,14.015,246.9416506,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,1,1
30,15.014,261.6255653,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
31,16.014,391.995436,17.5,0,0.0,stim_min_1,p_Johann,main,0,1,1,1
32,17.007,415.3046976,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
33,18.004,391.995436,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
34,19.003,369.9944227,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
35,20.013,493.8833013,1.0,0,0.0,stim_min_1,p_Johann,main,1,0,1,1
36,21.009,523.2511306,1.0,1,21.302,stim_min_1,p_Johann,main,0,0,0,1
37,22.001,349.2282314,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
38,23.001,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
39,24.507,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,main,1,1,1,1
40,25.003,415.3046976,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
41,25.515,261.6255653,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
42,26.011,246.9416506,-17.5,1,26.277,stim_min_1,p_Johann,main,0,0,0,1
43,27.013,261.6255653,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
44,28.508,293.6647679,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
45,28.755,311.1269837,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
46,29.005,349.2282314,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
47,29.501,311.1269837,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
48,29.752,293.6647679,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
49,30.014,311.1269837,1.0,1,30.795,stim_min_1,p_Johann,main,1,0,1,1
50,31.014,261.6255653,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
51,32.01,261.6255653,17.5,1,32.779,stim_min_1,p_Johann,main,1,1,1,1
52,33.008,246.9416506,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
53,33.507,261.6255653,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
54,33.754,293.6647679,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
55,34.004,311.1269837,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
56,34.5,293.6647679,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
57,35.012,261.6255653,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
58,35.5,369.9944227,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
59,36.009,391.995436,1.0,0,0.0,stim_min_1,p_Johann,main,1,0,1,1
60,36.509,233.0818808,1.0,1,36.821,stim_min_1,p_Johann,main,0,0,0,0
61,37.006,261.6255653,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
62,37.506,261.6255653,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
63,38.002,293.6647679,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
64,38.515,293.6647679,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
65,39.01,195.997718,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
66,40.007,261.6255653,-17.5,0,0.0,stim_min_1,p_Johann,main,0,1,1,1
67,40.506,293.6647679,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
68,41.003,311.1269837,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
69,41.503,311.1269837,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
70,41.753,293.6647679,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
71,42.0,311.1269837,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
72,42.512,349.2282314,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
73,43.009,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
74,43.259,349.2282314,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
75,43.509,311.1269837,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
76,43.755,349.2282314,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
77,44.005,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
78,44.505,415.3046976,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
79,45.002,246.9416506,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
80,45.501,195.997718,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
81,46.013,195.997718,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
82,46.263,220.0,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
83,46.51,246.9416506,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
84,47.01,261.6255653,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
85,48.007,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,main,1,1,0,1
86,48.507,311.1269837,-17.5,1,48.663,stim_min_1,p_Johann,main,0,0,0,0
87,49.006,349.2282314,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
88,49.503,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
89,50.015,261.6255653,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,1,1
90,50.522,349.2282314,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
91,51.012,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,main,1,0,0,1
92,51.262,293.6647679,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
93,51.512,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
94,52.508,349.2282314,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
95,52.758,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
96,53.008,293.6647679,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
97,53.505,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
98,54.002,261.6255653,17.5,0,0.0,stim_min_1,p_Johann,main,1,0,1,1
99,54.508,246.9416506,17.5,1,55.016,stim_min_1,p_Johann,main,0,0,0,0
100,55.5,261.6255653,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
101,56.012,261.6255653,17.5,0,0.0,stim_min_1,p_Johann,main,0,1,0,1
102,56.168,293.6647679,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
103,56.34,311.1269837,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
104,56.513,349.2282314,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
105,56.669,311.1269837,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
106,56.841,293.6647679,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
107,57.013,311.1269837,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
108,57.169,349.2282314,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
109,57.341,391.995436,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
110,57.509,415.3046976,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
111,57.681,391.995436,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
112,57.837,349.2282314,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
113,58.009,391.995436,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
114,58.506,523.2511306,17.5,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
115,59.002,493.8833013,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,1,1
116,59.514,466.1637615,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
117,60.014,440.0,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
118,60.513,415.3046976,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
119,61.013,391.995436,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
120,61.509,349.2282314,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
121,62.009,349.2282314,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,1
122,62.349,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
123,62.677,293.6647679,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
124,63.001,261.6255653,1.0,0,0.0,stim_min_1,p_Johann,main,0,0,0,0
