,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
1,0.266,293.6647679,-17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
2,0.516,349.2282314,-17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
3,1.012,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,1,1
4,1.508,493.8833013,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
5,2.008,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
6,2.258,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
7,2.508,523.2511306,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
8,3.008,415.3046976,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
9,3.505,220.0,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
10,4.002,391.995436,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
11,4.265,293.6647679,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
12,4.512,440.0,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
13,5.011,311.1269837,17.5,0,0.0,stim_min_1,p_Johann,melody,1,0,1,1
14,5.508,349.2282314,17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
15,5.758,391.995436,17.5,1,5.852,stim_min_1,p_Johann,melody,0,0,0,0
16,6.008,246.9416506,17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
17,6.258,349.2282314,17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
18,6.508,311.1269837,17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
19,7.009,311.1269837,17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
20,8.007,261.6255653,1.0,1,8.96,stim_min_1,p_Johann,melody,1,1,1,1
21,9.007,246.9416506,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
22,10.504,261.6255653,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
23,11.002,311.1269837,-17.5,0,0.0,stim_min_1,p_Johann,melody,1,0,1,1
24,11.514,311.1269837,-17.5,1,11.717,stim_min_1,p_Johann,melody,0,0,0,1
25,12.015,293.6647679,-17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
26,12.511,261.6255653,-17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
27,13.011,415.3046976,-17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
28,13.508,293.6647679,-17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
29,14.008,523.2511306,-17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
30,15.004,261.6255653,-17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
31,16.013,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,melody,0,1,0,1
32,17.014,195.997718,1.0,1,17.617,stim_min_1,p_Johann,melody,1,0,1,1
33,18.004,349.2282314,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
34,19.001,523.2511306,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
35,20.013,349.2282314,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
36,21.01,493.8833013,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
37,22.001,391.995436,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
38,23.008,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
39,24.501,391.995436,1.0,0,0.0,stim_min_1,p_Johann,melody,0,1,0,1
40,25.001,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
41,25.501,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
42,26.01,391.995436,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
43,27.006,349.2282314,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
44,28.513,415.3046976,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
45,28.763,523.2511306,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
46,29.013,349.2282314,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
47,29.513,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
48,29.759,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
49,30.006,369.9944227,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
50,31.006,261.6255653,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
51,32.005,261.6255653,17.5,1,32.701,stim_min_1,p_Johann,melody,1,1,1,1
52,33.013,293.6647679,17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
53,33.513,311.1269837,17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
54,33.76,311.1269837,17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
55,34.01,246.9416506,17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
56,34.507,391.995436,17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
57,35.007,195.997718,17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
58,35.503,391.995436,17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
59,36.003,415.3046976,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,1,1
60,36.512,261.6255653,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
61,37.013,261.6255653,1.0,0,0.0,stim_min_1,p_Johann,melody,1,0,0,1
62,37.509,311.1269837,1.0,1,37.524,stim_min_1,p_Johann,melody,0,0,0,0
63,38.005,493.8833013,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
64,38.502,293.6647679,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
65,39.002,195.997718,1.0,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
66,40.014,261.6255653,-17.5,0,0.0,stim_min_1,p_Johann,melody,1,1,1,1
67,40.512,415.3046976,-17.5,1,40.731,stim_min_1,p_Johann,melody,0,0,0,0
68,41.012,261.6255653,-17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
69,41.512,415.3046976,-17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
70,41.762,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,0
71,42.009,349.2282314,-17.5,0,0.0,stim_min_1,p_Johann,melody,0,0,0,1
