,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
1,0.266,493.8833013,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
2,1.262,523.2511306,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
3,2.262,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
4,2.418,415.3046976,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
5,2.93,523.2511306,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
6,3.258,493.8833013,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
7,3.508,523.2511306,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
8,4.008,587.3295358,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
9,4.258,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
10,4.508,523.2511306,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
11,4.755,493.8833013,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
12,5.255,523.2511306,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
13,5.501,587.3295358,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
14,6.001,349.2282314,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
15,6.264,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
16,6.761,415.3046976,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
17,7.011,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
18,8.01,349.2282314,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
19,8.338,311.1269837,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
20,9.335,261.6255653,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,1,0,1
21,10.349,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
22,10.844,415.3046976,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
23,12.335,391.995436,1.0,0,0.0,stim_min_1,p_Johann,rhythm,0,0,1,1
24,12.585,349.2282314,1.0,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
25,12.848,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
26,13.348,349.2282314,1.0,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
27,13.504,391.995436,1.0,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
28,14.005,293.6647679,1.0,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
29,14.505,246.9416506,1.0,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
30,15.002,261.6255653,17.5,0,0.0,stim_min_1,p_Johann,rhythm,1,0,1,1
31,16.014,391.995436,17.5,1,16.123,stim_min_1,p_Johann,rhythm,0,1,0,1
32,17.001,415.3046976,17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
33,17.523,391.995436,17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
34,17.758,369.9944227,1.0,0,0.0,stim_min_1,p_Johann,rhythm,1,0,1,1
35,18.254,493.8833013,1.0,1,18.472,stim_min_1,p_Johann,rhythm,0,0,0,1
36,18.754,523.2511306,1.0,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
37,19.265,349.2282314,1.0,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
38,19.762,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,rhythm,1,0,0,1
39,21.254,391.995436,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,1,1,1
40,21.754,415.3046976,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
41,22.751,261.6255653,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
42,22.923,246.9416506,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
43,23.419,261.6255653,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
44,24.431,293.6647679,-17.5,1,24.884,stim_min_1,p_Johann,rhythm,1,0,0,1
45,25.427,311.1269837,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
46,25.927,349.2282314,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
47,26.099,311.1269837,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
48,26.334,293.6647679,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
49,26.674,311.1269837,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
50,26.836,261.6255653,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
51,27.844,261.6255653,-17.5,0,0.0,stim_min_1,p_Johann,rhythm,1,1,0,1
52,28.844,246.9416506,1.0,0,0.0,stim_min_1,p_Johann,rhythm,0,0,1,1
53,29.341,261.6255653,1.0,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
54,29.838,293.6647679,1.0,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
55,30.848,311.1269837,1.0,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
56,31.347,293.6647679,1.0,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
57,31.504,261.6255653,17.5,0,0.0,stim_min_1,p_Johann,rhythm,1,0,1,1
58,31.673,369.9944227,17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
59,31.92,391.995436,17.5,1,32.201,stim_min_1,p_Johann,rhythm,0,0,0,1
60,32.42,233.0818808,17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
61,32.67,261.6255653,17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
62,32.92,261.6255653,17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
63,33.17,293.6647679,17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
64,33.417,293.6647679,17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,0
65,33.93,195.997718,17.5,0,0.0,stim_min_1,p_Johann,rhythm,0,0,0,1
66,34.926,261.6255653,1.0,0,0.0,stim_min_1,p_Johann,rhythm,0,1,1,1
