,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.51,261.6255653,-17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
1,1.009,293.6647679,-17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
2,1.509,329.6275569,-17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
3,2.006,349.2282314,-17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
4,2.76,391.995436,-17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
5,2.882,349.2282314,-17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
6,3.007,329.6275569,-17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
7,3.504,440.0,-17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
8,4.001,293.6647679,1.0,0,0.0,stim_maj_1,p_Julian,main,1,0,1,1
9,4.51,391.995436,1.0,1,4.869,stim_maj_1,p_Julian,main,0,0,0,0
10,5.259,440.0,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
11,5.506,391.995436,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
12,5.756,349.2282314,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
13,6.003,329.6275569,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
14,6.253,349.2282314,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
15,6.503,329.6275569,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
16,6.753,293.6647679,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
17,7.003,261.6255653,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
18,8.515,391.995436,17.5,0,0.0,stim_maj_1,p_Julian,main,1,1,1,1
19,9.015,440.0,17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
20,9.263,391.995436,17.5,1,9.419,stim_maj_1,p_Julian,main,0,0,0,0
21,9.513,349.2282314,17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
22,9.763,391.995436,17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
23,10.01,659.2551138,17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
24,10.508,523.2511306,17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
25,11.005,391.995436,17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
26,11.505,349.2282314,17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
27,11.755,329.6275569,17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
28,12.005,349.2282314,17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
29,12.514,587.3295358,17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
30,13.014,329.6275569,17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
31,13.514,523.2511306,17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
32,14.011,293.6647679,17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
33,14.508,493.8833013,17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
34,15.007,523.2511306,17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
35,16.001,261.6255653,1.0,0,0.0,stim_maj_1,p_Julian,main,1,1,1,1
36,16.126,293.6647679,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
37,16.264,329.6275569,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
38,16.383,349.2282314,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
39,16.513,329.6275569,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
40,16.638,293.6647679,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
41,16.763,329.6275569,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
42,16.888,261.6255653,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
43,17.013,440.0,1.0,1,17.044,stim_maj_1,p_Julian,main,0,0,0,1
44,17.762,440.0,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
45,18.01,391.995436,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
46,18.757,349.2282314,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
47,19.007,329.6275569,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
48,19.754,349.2282314,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
49,20.004,329.6275569,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
50,20.751,293.6647679,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
51,21.001,261.6255653,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
52,21.5,195.997718,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
53,22.012,261.6255653,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
54,22.262,293.6647679,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
55,22.509,329.6275569,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
56,22.759,293.6647679,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
57,23.009,261.6255653,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,1
58,24.006,391.995436,1.0,0,0.0,stim_maj_1,p_Julian,main,1,1,0,1
59,24.256,329.6275569,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
60,24.502,293.6647679,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
61,24.752,329.6275569,1.0,0,0.0,stim_maj_1,p_Julian,main,0,0,0,0
62,25.002,261.6255653,-17.5,0,0.0,stim_maj_1,p_Julian,main,0,0,1,1
