,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.516,349.2282314,-17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
1,1.012,293.6647679,-17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,1
2,1.506,440.0,-17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
3,2.006,329.6275569,-17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,1
4,2.756,329.6275569,-17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
5,2.881,329.6275569,-17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
6,3.003,261.6255653,-17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,1
7,3.502,440.0,-17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
8,4.006,440.0,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,1,1
9,4.506,349.2282314,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
10,5.252,329.6275569,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
11,5.502,293.6647679,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
12,5.752,440.0,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
13,6.015,440.0,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,1
14,6.265,783.990872,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
15,6.515,391.995436,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
16,6.765,329.6275569,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
17,7.015,261.6255653,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,1
18,8.508,391.995436,17.5,0,0.0,stim_maj_1,p_Julian,melody,1,1,1,1
19,9.008,523.2511306,17.5,1,9.193,stim_maj_1,p_Julian,melody,0,0,0,0
20,9.255,391.995436,17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
21,9.505,349.2282314,17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
22,9.755,293.6647679,17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
23,10.005,659.2551138,17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,1
24,10.505,261.6255653,17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
25,11.014,349.2282314,17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,1
26,11.51,261.6255653,17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
27,11.76,293.6647679,17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
28,12.007,523.2511306,17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,1
29,12.507,349.2282314,17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
30,13.007,391.995436,17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,1
31,13.504,329.6275569,17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
32,14.0,391.995436,17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,1
33,14.513,349.2282314,17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
34,15.01,523.2511306,17.5,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,1
35,16.003,261.6255653,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,1,1,1
36,16.128,349.2282314,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
37,16.253,493.8833013,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
38,16.378,349.2282314,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
39,16.503,440.0,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
40,16.628,246.9416506,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
41,16.753,329.6275569,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
42,16.894,329.6275569,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
43,17.003,329.6275569,1.0,0,0.0,stim_maj_1,p_Julian,melody,1,0,0,1
44,17.765,329.6275569,1.0,0,0.0,stim_maj_1,p_Julian,melody,0,0,0,0
