,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
1,0.266,493.8833013,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
2,0.516,523.2511306,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
3,1.012,391.995436,-17.5,0,0.0,stim_min_1,p_Julian,main,1,0,0,1
4,1.512,415.3046976,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
5,2.012,523.2511306,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
6,2.262,493.8833013,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
7,2.512,523.2511306,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
8,3.009,587.3295358,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
9,3.509,391.995436,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
10,4.007,523.2511306,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
11,4.256,493.8833013,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
12,4.506,523.2511306,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
13,5.003,587.3295358,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
14,5.503,349.2282314,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
15,5.753,391.995436,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
16,6.003,415.3046976,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
17,6.266,391.995436,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
18,6.515,349.2282314,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
19,7.0,311.1269837,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
20,8.013,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,main,1,1,1,1
21,9.009,391.995436,1.0,1,9.321,stim_min_1,p_Julian,main,0,0,0,1
22,10.505,415.3046976,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
23,11.005,391.995436,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
24,11.502,349.2282314,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
25,12.014,311.1269837,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
26,12.514,349.2282314,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
27,13.014,391.995436,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
28,13.511,293.6647679,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
29,14.011,246.9416506,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
30,15.007,261.6255653,17.5,0,0.0,stim_min_1,p_Julian,main,0,0,1,1
31,16.015,391.995436,17.5,1,16.434,stim_min_1,p_Julian,main,1,1,0,1
32,17.012,415.3046976,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,1,1
33,18.009,391.995436,1.0,0,0.0,stim_min_1,p_Julian,main,1,0,0,1
34,19.005,369.9944227,-17.5,0,0.0,stim_min_1,p_Julian,main,0,0,1,1
35,20.015,493.8833013,-17.5,0,0.0,stim_min_1,p_Julian,main,1,0,0,1
36,21.014,523.2511306,1.0,1,21.03,stim_min_1,p_Julian,main,0,0,1,1
37,22.003,349.2282314,1.0,0,0.0,stim_min_1,p_Julian,main,1,0,0,1
38,23.014,311.1269837,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
39,24.504,391.995436,1.0,0,0.0,stim_min_1,p_Julian,main,0,1,0,1
40,25.004,415.3046976,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
41,25.504,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
42,26.001,246.9416506,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
43,27.01,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
44,28.513,293.6647679,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
45,28.763,311.1269837,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
46,29.013,349.2282314,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
47,29.51,311.1269837,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
48,29.75,293.6647679,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
49,30.007,311.1269837,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
50,31.004,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
51,32.014,261.6255653,17.5,0,0.0,stim_min_1,p_Julian,main,0,1,1,1
52,33.01,246.9416506,17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
53,33.51,261.6255653,17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
54,33.758,293.6647679,17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
55,34.004,311.1269837,17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,1
56,34.504,293.6647679,17.5,0,0.0,stim_min_1,p_Julian,main,0,0,0,0
57,35.001,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,main,0,0,1,1
