,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,-17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
1,0.262,261.6255653,-17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
2,0.512,311.1269837,-17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
3,1.009,415.3046976,-17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
4,1.506,293.6647679,-17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
5,2.002,293.6647679,1.0,0,0.0,stim_min_1,p_Julian,melody,1,0,1,1
6,2.252,440.0,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
7,2.502,293.6647679,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
8,3.015,293.6647679,1.0,1,3.109,stim_min_1,p_Julian,melody,0,0,0,1
9,3.5,349.2282314,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
10,4.001,311.1269837,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
11,4.264,349.2282314,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
12,4.514,220.0,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
13,5.001,311.1269837,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
14,5.512,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
15,5.759,293.6647679,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
16,6.006,349.2282314,1.0,0,0.0,stim_min_1,p_Julian,melody,1,0,0,1
17,6.25,195.997718,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
18,6.502,493.8833013,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
19,7.015,311.1269837,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
20,8.014,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,melody,1,1,0,1
21,9.013,246.9416506,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
22,10.506,523.2511306,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
23,11.003,391.995436,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
24,11.516,391.995436,17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,1,1
25,12.012,311.1269837,17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
26,12.5,349.2282314,17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
27,13.013,293.6647679,17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
28,13.51,523.2511306,17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
29,14.008,293.6647679,17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
30,15.008,261.6255653,17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
31,16.001,391.995436,1.0,0,0.0,stim_min_1,p_Julian,melody,1,1,1,1
32,17.011,349.2282314,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
33,18.004,523.2511306,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
34,19.004,369.9944227,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
35,20.013,391.995436,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
36,21.01,311.1269837,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
37,22.006,349.2282314,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
38,23.006,311.1269837,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
39,24.515,391.995436,-17.5,0,0.0,stim_min_1,p_Julian,melody,0,1,1,1
40,25.012,311.1269837,-17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
41,25.512,415.3046976,-17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
42,26.013,349.2282314,-17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
43,27.01,293.6647679,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,1,1
44,28.503,391.995436,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
45,28.765,246.9416506,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
46,29.015,311.1269837,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
47,29.515,246.9416506,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
48,29.765,415.3046976,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
49,30.012,293.6647679,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
50,31.012,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
51,32.036,261.6255653,17.5,0,0.0,stim_min_1,p_Julian,melody,0,1,1,1
52,33.003,391.995436,17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
53,33.503,493.8833013,17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
54,33.754,415.3046976,17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
55,34.004,415.3046976,17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
56,34.5,523.2511306,17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
57,35.0,195.997718,17.5,0,0.0,stim_min_1,p_Julian,melody,1,0,0,1
58,35.5,349.2282314,17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
59,36.014,391.995436,17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
60,36.511,293.6647679,17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
61,37.008,293.6647679,1.0,0,0.0,stim_min_1,p_Julian,melody,1,0,1,1
62,37.508,391.995436,1.0,1,37.91,stim_min_1,p_Julian,melody,0,0,0,0
63,38.004,349.2282314,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
64,38.501,349.2282314,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
65,39.0,195.997718,1.0,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
66,40.012,261.6255653,-17.5,0,0.0,stim_min_1,p_Julian,melody,1,1,1,1
67,40.509,311.1269837,-17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
68,41.005,246.9416506,-17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
69,41.505,391.995436,-17.5,1,41.708,stim_min_1,p_Julian,melody,0,0,0,0
70,41.755,311.1269837,-17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
71,42.005,311.1269837,-17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
72,42.502,311.1269837,-17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
73,43.014,311.1269837,-17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,1
74,43.264,261.6255653,-17.5,0,0.0,stim_min_1,p_Julian,melody,0,0,0,0
