,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,311.1269837,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
1,0.254,415.3046976,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
2,0.503,523.2511306,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
3,1.007,415.3046976,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
4,1.512,391.995436,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
5,2.015,246.9416506,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
6,2.25,523.2511306,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
7,2.502,293.6647679,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
8,3.005,293.6647679,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
9,3.507,349.2282314,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
10,4.01,293.6647679,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
11,4.261,293.6647679,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
12,4.513,391.995436,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
13,5.0,246.9416506,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
14,5.503,391.995436,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
15,5.754,391.995436,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
16,6.005,587.3295358,1.0,0,0.0,stim_min_1,p_Rupert,melody,1,0,1,1
17,6.256,493.8833013,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
18,6.508,246.9416506,1.0,1,6.539,stim_min_1,p_Rupert,melody,0,0,0,0
19,7.014,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
20,8.003,261.6255653,17.5,0,0.0,stim_min_1,p_Rupert,melody,1,1,1,1
21,9.01,349.2282314,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
22,10.504,523.2511306,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
23,11.007,493.8833013,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
24,11.515,391.995436,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
25,12.003,293.6647679,17.5,0,0.0,stim_min_1,p_Rupert,melody,1,0,0,1
26,12.506,311.1269837,17.5,1,12.698,stim_min_1,p_Rupert,melody,0,0,0,0
27,13.01,293.6647679,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
28,13.513,391.995436,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
29,14.001,349.2282314,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
30,15.008,261.6255653,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
31,16.015,391.995436,17.5,0,0.0,stim_min_1,p_Rupert,melody,1,1,0,1
32,17.007,311.1269837,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
33,18.014,349.2282314,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
34,19.006,311.1269837,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
35,20.013,195.997718,17.5,0,0.0,stim_min_1,p_Rupert,melody,1,0,0,1
36,21.004,415.3046976,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,1,1
37,22.011,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
38,23.002,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
39,24.512,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,melody,1,1,0,1
40,25.0,311.1269837,1.0,1,25.447,stim_min_1,p_Rupert,melody,0,0,0,0
41,25.504,195.997718,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
42,26.007,246.9416506,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
43,27.014,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
44,28.509,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
45,28.821,369.9944227,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
46,29.013,349.2282314,-17.5,0,0.0,stim_min_1,p_Rupert,melody,1,0,1,1
47,29.501,349.2282314,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
48,29.755,349.2282314,-17.5,1,29.885,stim_min_1,p_Rupert,melody,0,0,0,0
49,30.004,391.995436,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
50,31.008,261.6255653,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
51,32.014,261.6255653,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,1,1,1
52,33.004,246.9416506,1.0,0,0.0,stim_min_1,p_Rupert,melody,1,0,0,1
53,33.507,523.2511306,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
54,33.758,293.6647679,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
55,34.01,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
56,34.513,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
57,35.0,523.2511306,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
58,35.503,261.6255653,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
59,36.006,349.2282314,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,1,1
60,36.51,349.2282314,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
61,37.002,391.995436,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
62,37.506,415.3046976,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
63,38.011,261.6255653,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
64,38.515,349.2282314,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
65,39.003,195.997718,17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
66,40.007,261.6255653,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,1,1,1
67,40.501,369.9944227,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
68,41.0,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
69,41.512,293.6647679,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
70,41.763,349.2282314,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
71,42.01,246.9416506,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
72,42.508,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
73,43.007,349.2282314,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
74,43.254,415.3046976,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
75,43.504,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
76,43.754,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
77,44.004,415.3046976,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
78,44.518,523.2511306,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
79,45.014,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
80,45.514,293.6647679,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
81,46.003,261.6255653,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
82,46.266,493.8833013,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
83,46.515,523.2511306,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
84,47.015,261.6255653,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
85,48.011,391.995436,-17.5,0,0.0,stim_min_1,p_Rupert,melody,1,1,1,1
86,48.508,587.3295358,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
87,49.003,311.1269837,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
88,49.503,415.3046976,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
89,50.015,293.6647679,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
90,50.512,261.6255653,-17.5,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
91,51.009,233.0818808,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,1,1
92,51.259,349.2282314,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
93,51.505,349.2282314,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
94,52.502,261.6255653,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
95,52.764,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
96,53.014,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
97,53.514,440.0,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
98,54.011,349.2282314,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
99,54.508,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
100,55.504,261.6255653,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
101,56.001,261.6255653,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,1,0,1
102,56.174,261.6255653,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
103,56.346,466.1637615,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
104,56.514,293.6647679,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
105,56.67,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
106,56.838,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
107,57.01,493.8833013,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,1
108,57.182,261.6255653,1.0,0,0.0,stim_min_1,p_Rupert,melody,0,0,0,0
