,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.5,261.6255653,9,0,0.0,stim_maj_1,p01,0,0,0,0
1,1.0,293.6647679,1,0,0.0,stim_maj_1,p01,0,0,1,1
2,1.514,329.6275569,1,0,0.0,stim_maj_1,p01,0,0,0,0
3,2.002,349.2282314,1,0,0.0,stim_maj_1,p01,0,0,0,1
4,2.752,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,0
5,2.877,349.2282314,1,0,0.0,stim_maj_1,p01,0,0,0,0
6,3.002,329.6275569,1,0,0.0,stim_maj_1,p01,0,0,0,1
7,3.502,440.0,1,0,0.0,stim_maj_1,p01,0,0,0,0
8,4.002,293.6647679,1,0,0.0,stim_maj_1,p01,0,0,0,1
9,4.503,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,0
10,5.253,440.0,1,0,0.0,stim_maj_1,p01,0,0,0,0
11,5.503,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,0
12,5.753,349.2282314,1,0,0.0,stim_maj_1,p01,0,0,0,0
13,6.003,329.6275569,1,0,0.0,stim_maj_1,p01,0,0,0,1
14,6.254,349.2282314,1,0,0.0,stim_maj_1,p01,0,0,0,0
15,6.504,329.6275569,1,0,0.0,stim_maj_1,p01,0,0,0,0
16,6.754,293.6647679,1,0,0.0,stim_maj_1,p01,0,0,0,0
17,7.003,261.6255653,18,0,0.0,stim_maj_1,p01,0,0,1,1
18,8.503,391.995436,1,0,0.0,stim_maj_1,p01,1,1,1,1
19,9.003,440.0,1,0,0.0,stim_maj_1,p01,0,0,0,0
20,9.253,391.995436,1,1,9.269,stim_maj_1,p01,0,0,0,0
21,9.504,349.2282314,1,0,0.0,stim_maj_1,p01,0,0,0,0
22,9.754,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,0
23,10.004,659.2551138,1,0,0.0,stim_maj_1,p01,0,0,0,1
24,10.504,523.2511306,1,0,0.0,stim_maj_1,p01,0,0,0,0
25,11.003,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,1
26,11.507,349.2282314,1,0,0.0,stim_maj_1,p01,0,0,0,0
27,11.771,329.6275569,1,0,0.0,stim_maj_1,p01,0,0,0,0
28,12.006,349.2282314,9,0,0.0,stim_maj_1,p01,1,0,1,1
29,12.504,587.3295358,9,0,0.0,stim_maj_1,p01,0,0,0,0
30,13.003,329.6275569,9,0,0.0,stim_maj_1,p01,0,0,0,1
31,13.503,523.2511306,9,0,0.0,stim_maj_1,p01,0,0,0,0
32,14.002,293.6647679,9,0,0.0,stim_maj_1,p01,0,0,0,1
33,14.502,493.8833013,9,0,0.0,stim_maj_1,p01,0,0,0,0
34,15.001,523.2511306,9,0,0.0,stim_maj_1,p01,0,0,0,1
35,16.016,261.6255653,9,0,0.0,stim_maj_1,p01,1,1,0,1
36,16.141,293.6647679,9,0,0.0,stim_maj_1,p01,0,0,0,0
37,16.252,329.6275569,9,0,0.0,stim_maj_1,p01,0,0,0,0
38,16.377,349.2282314,9,0,0.0,stim_maj_1,p01,0,0,0,0
39,16.502,329.6275569,9,0,0.0,stim_maj_1,p01,0,0,0,0
40,16.627,293.6647679,9,0,0.0,stim_maj_1,p01,0,0,0,0
41,16.752,329.6275569,9,0,0.0,stim_maj_1,p01,0,0,0,0
42,16.877,261.6255653,9,0,0.0,stim_maj_1,p01,0,0,0,0
43,17.002,440.0,9,0,0.0,stim_maj_1,p01,0,0,0,1
44,17.752,440.0,9,0,0.0,stim_maj_1,p01,0,0,0,0
45,18.002,391.995436,9,0,0.0,stim_maj_1,p01,0,0,0,1
46,18.765,349.2282314,9,0,0.0,stim_maj_1,p01,0,0,0,0
47,19.015,329.6275569,9,0,0.0,stim_maj_1,p01,0,0,0,1
48,19.757,349.2282314,9,0,0.0,stim_maj_1,p01,0,0,0,0
49,20.007,329.6275569,9,0,0.0,stim_maj_1,p01,0,0,0,1
50,20.755,293.6647679,9,0,0.0,stim_maj_1,p01,0,0,0,0
51,21.005,261.6255653,9,0,0.0,stim_maj_1,p01,0,0,0,1
52,21.505,195.997718,9,0,0.0,stim_maj_1,p01,0,0,0,0
53,22.002,261.6255653,9,0,0.0,stim_maj_1,p01,0,0,0,1
54,22.252,293.6647679,9,0,0.0,stim_maj_1,p01,0,0,0,0
55,22.502,329.6275569,9,0,0.0,stim_maj_1,p01,0,0,0,0
56,22.751,293.6647679,9,0,0.0,stim_maj_1,p01,0,0,0,0
57,23.001,261.6255653,9,0,0.0,stim_maj_1,p01,0,0,0,1
58,24.015,391.995436,1,0,0.0,stim_maj_1,p01,0,1,1,1
59,24.267,329.6275569,1,0,0.0,stim_maj_1,p01,0,0,0,0
60,24.505,293.6647679,1,0,0.0,stim_maj_1,p01,0,0,0,0
61,24.77,329.6275569,1,0,0.0,stim_maj_1,p01,0,0,0,0
62,25.004,261.6255653,1,0,0.0,stim_maj_1,p01,0,0,0,1
63,25.254,349.2282314,1,0,0.0,stim_maj_1,p01,0,0,0,0
64,25.503,329.6275569,1,0,0.0,stim_maj_1,p01,0,0,0,0
65,25.753,349.2282314,1,0,0.0,stim_maj_1,p01,0,0,0,0
66,26.003,440.0,1,0,0.0,stim_maj_1,p01,0,0,0,1
67,26.504,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,0
68,27.502,369.9944227,1,0,0.0,stim_maj_1,p01,0,0,0,0
69,27.752,293.6647679,1,0,0.0,stim_maj_1,p01,0,0,0,0
70,28.002,523.2511306,1,0,0.0,stim_maj_1,p01,0,0,0,1
71,28.501,493.8833013,1,0,0.0,stim_maj_1,p01,0,0,0,0
72,29.01,440.0,1,0,0.0,stim_maj_1,p01,0,0,0,1
73,30.006,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,1
74,30.256,587.3295358,1,0,0.0,stim_maj_1,p01,0,0,0,0
75,30.506,493.8833013,1,0,0.0,stim_maj_1,p01,0,0,0,0
76,30.756,440.0,1,0,0.0,stim_maj_1,p01,0,0,0,0
77,31.005,493.8833013,1,0,0.0,stim_maj_1,p01,0,0,0,1
78,31.506,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,0
79,32.006,523.2511306,1,0,0.0,stim_maj_1,p01,1,1,0,1
80,32.506,493.8833013,1,1,32.522,stim_maj_1,p01,0,0,0,0
81,33.015,523.2511306,1,0,0.0,stim_maj_1,p01,0,0,0,1
82,33.515,493.8833013,1,0,0.0,stim_maj_1,p01,0,0,0,0
83,33.765,440.0,1,0,0.0,stim_maj_1,p01,0,0,0,0
84,34.015,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,1
85,34.764,349.2282314,1,0,0.0,stim_maj_1,p01,0,0,0,0
86,34.889,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,0
87,35.012,440.0,1,0,0.0,stim_maj_1,p01,0,0,0,1
88,36.511,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,0
89,37.007,349.2282314,1,0,0.0,stim_maj_1,p01,0,0,0,1
90,37.508,329.6275569,1,0,0.0,stim_maj_1,p01,0,0,0,0
91,38.007,293.6647679,18,0,0.0,stim_maj_1,p01,1,1,1,1
92,38.506,391.995436,18,0,0.0,stim_maj_1,p01,0,0,0,0
93,39.006,329.6275569,18,0,0.0,stim_maj_1,p01,0,0,0,1
94,39.505,261.6255653,18,0,0.0,stim_maj_1,p01,0,0,0,0
95,40.005,261.6255653,1,0,0.0,stim_maj_1,p01,0,1,1,1
96,40.503,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,0
97,41.002,329.6275569,1,0,0.0,stim_maj_1,p01,0,0,0,1
98,41.502,261.6255653,1,0,0.0,stim_maj_1,p01,0,0,0,0
99,42.002,440.0,1,0,0.0,stim_maj_1,p01,0,0,0,1
100,42.501,349.2282314,1,0,0.0,stim_maj_1,p01,0,0,0,0
101,43.001,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,1
102,44.008,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,1
103,44.258,349.2282314,1,0,0.0,stim_maj_1,p01,0,0,0,0
104,44.508,329.6275569,1,0,0.0,stim_maj_1,p01,0,0,0,0
105,44.758,349.2282314,1,0,0.0,stim_maj_1,p01,0,0,0,0
106,45.007,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,1
107,45.257,440.0,1,0,0.0,stim_maj_1,p01,0,0,0,0
108,45.506,493.8833013,1,0,0.0,stim_maj_1,p01,0,0,0,0
109,45.756,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,0
110,46.006,523.2511306,1,0,0.0,stim_maj_1,p01,0,0,0,1
111,46.255,587.3295358,1,0,0.0,stim_maj_1,p01,0,0,0,0
112,46.505,659.2551138,1,0,0.0,stim_maj_1,p01,0,0,0,0
113,46.755,783.990872,1,0,0.0,stim_maj_1,p01,0,0,0,0
114,47.005,523.2511306,1,0,0.0,stim_maj_1,p01,0,0,0,1
115,48.005,246.9416506,1,0,0.0,stim_maj_1,p01,0,1,0,1
116,48.505,261.6255653,1,0,0.0,stim_maj_1,p01,0,0,0,0
117,49.01,293.6647679,9,0,0.0,stim_maj_1,p01,1,0,1,1
118,50.014,195.997718,9,0,0.0,stim_maj_1,p01,0,0,0,1
119,50.513,220.0,9,0,0.0,stim_maj_1,p01,0,0,0,0
120,50.763,246.9416506,9,0,0.0,stim_maj_1,p01,0,0,0,0
121,51.013,261.6255653,9,0,0.0,stim_maj_1,p01,0,0,0,1
122,51.513,293.6647679,9,0,0.0,stim_maj_1,p01,0,0,0,0
123,51.762,329.6275569,9,0,0.0,stim_maj_1,p01,0,0,0,0
124,52.012,349.2282314,9,0,0.0,stim_maj_1,p01,0,0,0,1
125,52.512,329.6275569,9,0,0.0,stim_maj_1,p01,0,0,0,0
126,53.007,293.6647679,9,0,0.0,stim_maj_1,p01,0,0,0,1
127,53.505,329.6275569,9,0,0.0,stim_maj_1,p01,0,0,0,0
128,53.77,293.6647679,9,0,0.0,stim_maj_1,p01,0,0,0,0
129,54.004,261.6255653,9,0,0.0,stim_maj_1,p01,0,0,0,1
130,56.503,523.2511306,1,0,0.0,stim_maj_1,p01,1,1,1,1
131,57.003,523.2511306,1,0,0.0,stim_maj_1,p01,0,0,0,0
132,57.503,523.2511306,1,0,0.0,stim_maj_1,p01,0,0,0,0
133,58.003,349.2282314,1,0,0.0,stim_maj_1,p01,0,0,0,1
134,59.001,440.0,1,0,0.0,stim_maj_1,p01,0,0,0,1
135,60.507,293.6647679,1,0,0.0,stim_maj_1,p01,0,0,0,0
136,61.015,391.995436,1,0,0.0,stim_maj_1,p01,0,0,0,1
137,61.5,349.2282314,1,0,0.0,stim_maj_1,p01,0,0,0,0
138,62.002,329.6275569,18,0,0.0,stim_maj_1,p01,1,0,1,1
139,63.012,261.6255653,18,0,0.0,stim_maj_1,p01,0,0,0,0
