,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.5,523.2511306,9,0,0.0,stim_min_3,p04,0,0,0,0
1,0.75,493.8833013,9,0,0.0,stim_min_3,p04,0,0,0,0
2,1.001,523.2511306,9,0,0.0,stim_min_3,p04,0,0,0,1
3,1.251,587.3295358,9,0,0.0,stim_min_3,p04,0,0,0,0
4,1.501,622.2539674,9,0,0.0,stim_min_3,p04,0,0,0,0
5,1.751,391.995436,9,0,0.0,stim_min_3,p04,0,0,0,0
6,2.001,415.3046976,9,0,0.0,stim_min_3,p04,1,0,0,1
7,2.251,466.1637615,9,0,0.0,stim_min_3,p04,0,0,0,0
8,2.5,415.3046976,9,0,0.0,stim_min_3,p04,0,0,0,0
9,2.75,349.2282314,9,0,0.0,stim_min_3,p04,0,0,0,0
10,3.0,698.4564629,9,0,0.0,stim_min_3,p04,0,0,0,1
11,3.25,622.2539674,9,0,0.0,stim_min_3,p04,0,0,0,0
12,3.5,587.3295358,9,0,0.0,stim_min_3,p04,0,0,0,0
13,3.765,523.2511306,9,0,0.0,stim_min_3,p04,0,0,0,0
14,4.014,493.8833013,9,0,0.0,stim_min_3,p04,0,0,0,1
15,4.264,830.6093952,9,0,0.0,stim_min_3,p04,0,0,0,0
16,4.514,783.990872,9,0,0.0,stim_min_3,p04,0,0,0,0
17,4.764,698.4564629,9,0,0.0,stim_min_3,p04,0,0,0,0
18,5.014,622.2539674,9,0,0.0,stim_min_3,p04,0,0,0,1
19,5.264,587.3295358,9,0,0.0,stim_min_3,p04,0,0,0,0
20,5.513,523.2511306,9,0,0.0,stim_min_3,p04,0,0,0,0
21,5.763,493.8833013,9,0,0.0,stim_min_3,p04,0,0,0,0
22,6.013,523.2511306,1,0,0.0,stim_min_3,p04,1,0,1,1
23,6.263,587.3295358,1,0,0.0,stim_min_3,p04,0,0,0,0
24,6.513,622.2539674,1,1,6.528,stim_min_3,p04,0,0,0,0
25,6.888,587.3295358,1,0,0.0,stim_min_3,p04,0,0,0,0
26,7.013,523.2511306,1,0,0.0,stim_min_3,p04,0,0,0,1
27,7.138,587.3295358,1,0,0.0,stim_min_3,p04,0,0,0,0
28,7.262,523.2511306,1,0,0.0,stim_min_3,p04,0,0,0,0
29,8.264,523.2511306,18,0,0.0,stim_min_3,p04,0,1,1,1
30,8.514,493.8833013,18,0,0.0,stim_min_3,p04,0,0,0,0
31,8.764,523.2511306,18,0,0.0,stim_min_3,p04,0,0,0,0
32,9.014,391.995436,18,0,0.0,stim_min_3,p04,0,0,0,1
33,9.513,622.2539674,18,0,0.0,stim_min_3,p04,0,0,0,0
34,10.263,587.3295358,18,0,0.0,stim_min_3,p04,0,0,0,0
35,10.511,523.2511306,18,0,0.0,stim_min_3,p04,0,0,0,0
36,10.761,587.3295358,18,0,0.0,stim_min_3,p04,0,0,0,0
37,11.011,391.995436,18,0,0.0,stim_min_3,p04,0,0,0,1
38,11.503,698.4564629,18,0,0.0,stim_min_3,p04,0,0,0,0
