,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.5,523.2511306,9,0,0.0,stim_min_3,p05a,0,0,0,0
1,0.765,493.8833013,9,0,0.0,stim_min_3,p05a,0,0,0,0
2,1.014,523.2511306,1,0,0.0,stim_min_3,p05a,1,0,1,1
3,1.264,587.3295358,1,0,0.0,stim_min_3,p05a,0,0,0,0
4,1.514,622.2539674,1,0,0.0,stim_min_3,p05a,0,0,0,0
5,1.764,391.995436,1,0,0.0,stim_min_3,p05a,0,0,0,0
6,2.014,415.3046976,1,0,0.0,stim_min_3,p05a,0,0,0,1
7,2.264,466.1637615,1,0,0.0,stim_min_3,p05a,0,0,0,0
8,2.513,415.3046976,1,0,0.0,stim_min_3,p05a,0,0,0,0
9,2.763,349.2282314,1,0,0.0,stim_min_3,p05a,0,0,0,0
10,3.013,698.4564629,1,0,0.0,stim_min_3,p05a,0,0,0,1
11,3.263,622.2539674,1,1,3.278,stim_min_3,p05a,0,0,0,0
12,3.513,587.3295358,1,0,0.0,stim_min_3,p05a,0,0,0,0
13,3.762,523.2511306,1,0,0.0,stim_min_3,p05a,0,0,0,0
14,4.012,493.8833013,1,0,0.0,stim_min_3,p05a,0,0,0,1
15,4.262,830.6093952,1,0,0.0,stim_min_3,p05a,0,0,0,0
16,4.512,783.990872,1,0,0.0,stim_min_3,p05a,0,0,0,0
17,4.761,698.4564629,1,0,0.0,stim_min_3,p05a,0,0,0,0
18,5.014,622.2539674,18,0,0.0,stim_min_3,p05a,1,0,1,1
19,5.264,587.3295358,18,0,0.0,stim_min_3,p05a,0,0,0,0
20,5.514,523.2511306,18,0,0.0,stim_min_3,p05a,0,0,0,0
21,5.765,493.8833013,18,0,0.0,stim_min_3,p05a,0,0,0,0
22,6.015,523.2511306,18,0,0.0,stim_min_3,p05a,0,0,0,1
23,6.255,587.3295358,18,0,0.0,stim_min_3,p05a,0,0,0,0
24,6.504,622.2539674,18,0,0.0,stim_min_3,p05a,0,0,0,0
25,6.879,587.3295358,18,0,0.0,stim_min_3,p05a,0,0,0,0
