,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.266,261.6255653,9,0,0.0,stim_maj_3,p07a,0,0,0,0
1,0.501,293.6647679,9,0,0.0,stim_maj_3,p07a,0,0,0,0
2,0.751,329.6275569,9,0,0.0,stim_maj_3,p07a,0,0,0,0
3,1.002,349.2282314,9,0,0.0,stim_maj_3,p07a,0,0,0,1
4,1.252,293.6647679,9,0,0.0,stim_maj_3,p07a,0,0,0,0
5,1.502,329.6275569,9,0,0.0,stim_maj_3,p07a,0,0,0,0
6,1.752,261.6255653,9,0,0.0,stim_maj_3,p07a,0,0,0,0
7,2.003,391.995436,9,0,0.0,stim_maj_3,p07a,0,0,0,1
8,2.506,523.2511306,9,0,0.0,stim_maj_3,p07a,0,0,0,0
9,3.01,493.8833013,9,0,0.0,stim_maj_3,p07a,0,0,0,1
10,3.5,523.2511306,9,0,0.0,stim_maj_3,p07a,0,0,0,0
11,4.0,587.3295358,9,0,0.0,stim_maj_3,p07a,0,0,0,1
12,4.253,391.995436,9,0,0.0,stim_maj_3,p07a,0,0,0,0
13,4.503,440.0,9,0,0.0,stim_maj_3,p07a,0,0,0,0
14,4.751,493.8833013,9,0,0.0,stim_maj_3,p07a,0,0,0,0
15,5.002,523.2511306,9,0,0.0,stim_maj_3,p07a,0,0,0,1
16,5.265,440.0,9,0,0.0,stim_maj_3,p07a,0,0,0,0
17,5.515,493.8833013,9,0,0.0,stim_maj_3,p07a,0,0,0,0
18,5.764,391.995436,9,0,0.0,stim_maj_3,p07a,0,0,0,0
19,6.009,587.3295358,9,0,0.0,stim_maj_3,p07a,0,0,0,1
20,6.513,783.990872,9,0,0.0,stim_maj_3,p07a,0,0,0,0
21,7.013,391.995436,9,0,0.0,stim_maj_3,p07a,0,0,0,1
22,8.252,783.990872,9,0,0.0,stim_maj_3,p07a,1,1,0,1
23,8.515,391.995436,9,0,0.0,stim_maj_3,p07a,0,0,0,0
24,8.758,783.990872,9,1,8.773,stim_maj_3,p07a,0,0,0,0
25,9.008,783.990872,9,0,0.0,stim_maj_3,p07a,0,0,0,0
26,9.262,880.0,9,0,0.0,stim_maj_3,p07a,0,0,0,0
27,9.512,783.990872,9,0,0.0,stim_maj_3,p07a,0,0,0,0
