,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,9,0,0.0,stim_min_2,p07a,0,0,0,0
1,0.508,311.1269837,9,0,0.0,stim_min_2,p07a,0,0,0,0
2,1.009,261.6255653,9,0,0.0,stim_min_2,p07a,0,0,0,1
3,1.505,415.3046976,9,0,0.0,stim_min_2,p07a,0,0,0,0
4,2.005,415.3046976,9,0,0.0,stim_min_2,p07a,0,0,0,1
5,2.505,391.995436,9,0,0.0,stim_min_2,p07a,0,0,0,0
6,2.88,493.8833013,9,0,0.0,stim_min_2,p07a,0,0,0,0
7,3.005,523.2511306,1,0,0.0,stim_min_2,p07a,1,0,1,1
8,3.501,349.2282314,1,1,3.517,stim_min_2,p07a,0,0,0,0
9,4.007,349.2282314,1,0,0.0,stim_min_2,p07a,0,0,0,1
10,4.513,311.1269837,1,0,0.0,stim_min_2,p07a,0,0,0,0
11,4.89,493.8833013,1,0,0.0,stim_min_2,p07a,0,0,0,0
12,5.015,523.2511306,1,0,0.0,stim_min_2,p07a,0,0,0,1
13,5.503,293.6647679,1,0,0.0,stim_min_2,p07a,0,0,0,0
14,6.006,311.1269837,18,0,0.0,stim_min_2,p07a,1,0,1,1
15,6.178,349.2282314,18,0,0.0,stim_min_2,p07a,0,0,0,0
16,6.347,391.995436,18,1,6.363,stim_min_2,p07a,0,0,0,0
17,6.503,349.2282314,18,1,6.519,stim_min_2,p07a,0,0,0,0
18,6.675,311.1269837,18,0,0.0,stim_min_2,p07a,0,0,0,0
19,6.847,293.6647679,18,0,0.0,stim_min_2,p07a,0,0,0,0
20,7.015,261.6255653,18,0,0.0,stim_min_2,p07a,0,0,0,1
21,8.512,391.995436,18,0,0.0,stim_min_2,p07a,0,1,0,1
22,9.023,261.6255653,18,0,0.0,stim_min_2,p07a,0,0,0,0
23,9.514,261.6255653,18,0,0.0,stim_min_2,p07a,0,0,0,0
24,10.026,261.6255653,18,0,0.0,stim_min_2,p07a,0,0,0,1
25,10.511,415.3046976,18,0,0.0,stim_min_2,p07a,0,0,0,0
26,10.761,349.2282314,18,0,0.0,stim_min_2,p07a,0,0,0,0
27,11.026,246.9416506,18,0,0.0,stim_min_2,p07a,0,0,0,1
28,11.511,246.9416506,18,0,0.0,stim_min_2,p07a,0,0,0,0
29,12.01,246.9416506,1,0,0.0,stim_min_2,p07a,1,0,1,1
30,12.253,261.6255653,1,0,0.0,stim_min_2,p07a,0,0,0,0
31,12.507,293.6647679,1,0,0.0,stim_min_2,p07a,0,0,0,0
32,12.757,311.1269837,1,0,0.0,stim_min_2,p07a,0,0,0,0
33,13.002,349.2282314,1,0,0.0,stim_min_2,p07a,0,0,0,1
34,13.263,311.1269837,1,0,0.0,stim_min_2,p07a,0,0,0,0
35,13.501,293.6647679,1,0,0.0,stim_min_2,p07a,0,0,0,0
36,13.751,311.1269837,1,0,0.0,stim_min_2,p07a,0,0,0,0
37,14.001,349.2282314,1,0,0.0,stim_min_2,p07a,0,0,0,1
38,14.253,415.3046976,1,0,0.0,stim_min_2,p07a,0,0,0,0
39,14.503,391.995436,1,0,0.0,stim_min_2,p07a,0,0,0,0
40,14.758,349.2282314,1,0,0.0,stim_min_2,p07a,0,0,0,0
41,15.008,311.1269837,1,0,0.0,stim_min_2,p07a,0,0,0,1
42,16.008,523.2511306,1,0,0.0,stim_min_2,p07a,0,1,0,1
43,16.265,587.3295358,1,0,0.0,stim_min_2,p07a,0,0,0,0
44,16.515,493.8833013,1,0,0.0,stim_min_2,p07a,0,0,0,0
45,16.75,523.2511306,1,0,0.0,stim_min_2,p07a,0,0,0,0
46,17.002,440.0,1,0,0.0,stim_min_2,p07a,1,0,0,1
47,17.509,880.0,1,0,0.0,stim_min_2,p07a,0,0,0,0
48,18.02,830.6093952,1,0,0.0,stim_min_2,p07a,0,0,0,1
49,18.255,880.0,1,0,0.0,stim_min_2,p07a,0,0,0,0
50,18.505,739.9888454,1,0,0.0,stim_min_2,p07a,0,0,0,0
51,18.756,830.6093952,1,0,0.0,stim_min_2,p07a,0,0,0,0
52,19.006,659.2551138,1,0,0.0,stim_min_2,p07a,0,0,0,1
53,19.501,880.0,1,0,0.0,stim_min_2,p07a,0,0,0,0
54,19.751,659.2551138,1,0,0.0,stim_min_2,p07a,0,0,0,0
55,20.0,698.4564629,1,0,0.0,stim_min_2,p07a,0,0,0,1
56,20.507,587.3295358,1,0,0.0,stim_min_2,p07a,0,0,0,0
57,21.007,391.995436,1,0,0.0,stim_min_2,p07a,0,0,0,1
58,21.507,783.990872,1,0,0.0,stim_min_2,p07a,0,0,0,0
59,22.007,659.2551138,1,0,0.0,stim_min_2,p07a,1,0,0,1
60,22.257,698.4564629,1,0,0.0,stim_min_2,p07a,0,0,0,0
61,22.504,587.3295358,1,0,0.0,stim_min_2,p07a,0,0,0,0
62,22.754,659.2551138,1,0,0.0,stim_min_2,p07a,0,0,0,0
63,23.005,523.2511306,1,0,0.0,stim_min_2,p07a,0,0,0,1
64,24.503,261.6255653,9,0,0.0,stim_min_2,p07a,1,1,1,1
65,25.0,261.6255653,9,0,0.0,stim_min_2,p07a,0,0,0,0
66,25.511,261.6255653,9,0,0.0,stim_min_2,p07a,0,0,0,0
67,26.003,293.6647679,9,0,0.0,stim_min_2,p07a,0,0,0,1
68,26.504,293.6647679,9,0,0.0,stim_min_2,p07a,0,0,0,0
69,27.013,293.6647679,9,0,0.0,stim_min_2,p07a,0,0,0,1
70,27.263,311.1269837,9,0,0.0,stim_min_2,p07a,0,0,0,0
71,27.512,349.2282314,9,0,0.0,stim_min_2,p07a,0,0,0,0
72,27.766,293.6647679,9,0,0.0,stim_min_2,p07a,0,0,0,0
73,28.016,311.1269837,9,0,0.0,stim_min_2,p07a,0,0,0,1
74,28.511,293.6647679,9,0,0.0,stim_min_2,p07a,0,0,0,0
75,28.76,311.1269837,9,0,0.0,stim_min_2,p07a,0,0,0,0
76,29.01,261.6255653,9,0,0.0,stim_min_2,p07a,0,0,0,1
77,29.505,293.6647679,9,0,0.0,stim_min_2,p07a,0,0,0,0
78,30.005,311.1269837,9,0,0.0,stim_min_2,p07a,0,0,0,1
79,30.255,293.6647679,9,0,0.0,stim_min_2,p07a,0,0,0,0
80,30.503,311.1269837,9,0,0.0,stim_min_2,p07a,0,0,0,0
81,30.753,349.2282314,9,0,0.0,stim_min_2,p07a,0,0,0,0
82,31.007,391.995436,9,0,0.0,stim_min_2,p07a,0,0,0,1
83,32.012,261.6255653,1,0,0.0,stim_min_2,p07a,0,1,1,1
84,33.028,391.995436,18,0,0.0,stim_min_2,p07a,0,0,1,1
85,34.002,311.1269837,18,0,0.0,stim_min_2,p07a,0,0,0,1
86,35.504,293.6647679,18,0,0.0,stim_min_2,p07a,0,0,0,0
87,36.012,261.6255653,18,0,0.0,stim_min_2,p07a,0,0,0,1
88,36.512,311.1269837,18,0,0.0,stim_min_2,p07a,0,0,0,0
89,37.03,293.6647679,1,0,0.0,stim_min_2,p07a,0,0,1,1
90,37.511,261.6255653,1,0,0.0,stim_min_2,p07a,0,0,0,0
91,38.008,246.9416506,1,0,0.0,stim_min_2,p07a,0,0,0,1
92,38.508,220.0,1,0,0.0,stim_min_2,p07a,0,0,0,0
93,39.008,195.997718,1,0,0.0,stim_min_2,p07a,0,0,0,1
94,40.502,261.6255653,9,0,0.0,stim_min_2,p07a,0,1,1,1
95,41.004,261.6255653,9,0,0.0,stim_min_2,p07a,0,0,0,0
96,41.501,261.6255653,9,0,0.0,stim_min_2,p07a,0,0,0,0
97,42.002,311.1269837,9,0,0.0,stim_min_2,p07a,0,0,0,1
98,43.506,293.6647679,9,0,0.0,stim_min_2,p07a,0,0,0,0
99,43.756,261.6255653,9,0,0.0,stim_min_2,p07a,0,0,0,0
100,44.009,293.6647679,9,0,0.0,stim_min_2,p07a,0,0,0,1
101,44.509,195.997718,9,0,0.0,stim_min_2,p07a,0,0,0,0
102,45.012,391.995436,9,0,0.0,stim_min_2,p07a,0,0,0,1
103,46.502,369.9944227,9,0,0.0,stim_min_2,p07a,0,0,0,0
104,46.752,440.0,9,0,0.0,stim_min_2,p07a,0,0,0,0
105,47.03,391.995436,9,0,0.0,stim_min_2,p07a,0,0,0,1
106,48.007,391.995436,1,0,0.0,stim_min_2,p07a,1,1,1,1
107,49.002,261.6255653,1,0,0.0,stim_min_2,p07a,0,0,0,1
108,49.509,523.2511306,1,0,0.0,stim_min_2,p07a,0,0,0,0
109,50.009,466.1637615,1,0,0.0,stim_min_2,p07a,0,0,0,1
110,50.503,415.3046976,1,0,0.0,stim_min_2,p07a,0,0,0,0
111,50.753,391.995436,1,0,0.0,stim_min_2,p07a,0,0,0,0
112,51.002,415.3046976,1,0,0.0,stim_min_2,p07a,0,0,0,1
113,52.011,391.995436,1,0,0.0,stim_min_2,p07a,0,0,0,1
114,53.028,349.2282314,18,0,0.0,stim_min_2,p07a,1,0,1,1
115,54.006,311.1269837,18,1,54.022,stim_min_2,p07a,0,0,0,1
116,54.514,293.6647679,18,0,0.0,stim_min_2,p07a,0,0,0,0
117,55.008,261.6255653,18,0,0.0,stim_min_2,p07a,0,0,0,1
118,56.502,391.995436,18,0,0.0,stim_min_2,p07a,1,1,0,1
119,57.004,391.995436,18,0,0.0,stim_min_2,p07a,0,0,0,0
120,58.514,391.995436,18,0,0.0,stim_min_2,p07a,0,0,0,0
121,59.008,391.995436,18,0,0.0,stim_min_2,p07a,0,0,0,1
