,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.515,261.6255653,-35,0,0.0,stim_maj_1_b,p02,0,0,0,0
1,1.014,293.6647679,1,0,0.0,stim_maj_1_b,p02,0,0,1,1
2,1.515,329.6275569,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
3,2.015,349.2282314,1,0,0.0,stim_maj_1_b,p02,0,0,0,1
4,2.766,391.995436,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
5,2.891,349.2282314,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
6,3.015,329.6275569,1,0,0.0,stim_maj_1_b,p02,0,0,0,1
7,3.515,440.0,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
8,4.015,293.6647679,1,0,0.0,stim_maj_1_b,p02,0,0,0,1
9,4.514,391.995436,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
10,5.256,440.0,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
11,5.506,391.995436,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
12,5.755,349.2282314,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
13,6.005,329.6275569,1,0,0.0,stim_maj_1_b,p02,0,0,0,1
14,6.255,349.2282314,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
15,6.505,329.6275569,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
16,6.755,293.6647679,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
17,7.005,261.6255653,1,0,0.0,stim_maj_1_b,p02,0,0,0,1
18,8.516,391.995436,1,0,0.0,stim_maj_1_b,p02,1,1,0,1
19,9.015,440.0,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
20,9.265,391.995436,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
21,9.515,349.2282314,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
22,9.766,391.995436,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
23,10.014,659.2551138,1,0,0.0,stim_maj_1_b,p02,0,0,0,1
24,10.514,523.2511306,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
25,11.014,391.995436,1,0,0.0,stim_maj_1_b,p02,0,0,0,1
26,11.513,349.2282314,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
27,11.755,329.6275569,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
28,12.005,349.2282314,1,0,0.0,stim_maj_1_b,p02,0,0,0,1
29,12.505,587.3295358,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
30,13.005,329.6275569,1,0,0.0,stim_maj_1_b,p02,0,0,0,1
31,13.505,523.2511306,1,0,0.0,stim_maj_1_b,p02,0,0,0,0
32,14.005,293.6647679,35,0,0.0,stim_maj_1_b,p02,0,0,1,1
33,14.505,493.8833013,35,0,0.0,stim_maj_1_b,p02,0,0,0,0
