,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-35,0,0.0,stim_min_1_a,p02,0,0,0,0
1,0.25,493.8833013,-35,0,0.0,stim_min_1_a,p02,0,0,0,0
2,0.5,523.2511306,-35,0,0.0,stim_min_1_a,p02,0,0,0,0
3,1.0,391.995436,-35,0,0.0,stim_min_1_a,p02,0,0,0,1
4,1.515,415.3046976,-35,0,0.0,stim_min_1_a,p02,0,0,0,0
5,2.015,523.2511306,1,0,0.0,stim_min_1_a,p02,0,0,1,1
6,2.266,493.8833013,1,0,0.0,stim_min_1_a,p02,0,0,0,0
7,2.516,523.2511306,1,0,0.0,stim_min_1_a,p02,0,0,0,0
8,3.015,587.3295358,1,0,0.0,stim_min_1_a,p02,0,0,0,1
9,3.515,391.995436,1,0,0.0,stim_min_1_a,p02,0,0,0,0
10,4.015,523.2511306,1,0,0.0,stim_min_1_a,p02,0,0,0,1
11,4.265,493.8833013,1,0,0.0,stim_min_1_a,p02,0,0,0,0
12,4.511,523.2511306,1,0,0.0,stim_min_1_a,p02,0,0,0,0
13,5.011,587.3295358,1,0,0.0,stim_min_1_a,p02,0,0,0,1
14,5.511,349.2282314,1,0,0.0,stim_min_1_a,p02,0,0,0,0
15,5.761,391.995436,1,0,0.0,stim_min_1_a,p02,0,0,0,0
16,6.011,415.3046976,35,0,0.0,stim_min_1_a,p02,1,0,1,1
17,6.261,391.995436,35,0,0.0,stim_min_1_a,p02,0,0,0,0
18,6.511,349.2282314,35,0,0.0,stim_min_1_a,p02,0,0,0,0
19,7.01,311.1269837,35,1,7.025,stim_min_1_a,p02,0,0,0,1
20,8.009,261.6255653,35,0,0.0,stim_min_1_a,p02,0,1,0,1
21,9.01,391.995436,35,0,0.0,stim_min_1_a,p02,0,0,0,1
22,10.515,415.3046976,35,0,0.0,stim_min_1_a,p02,0,0,0,0
23,11.014,391.995436,35,0,0.0,stim_min_1_a,p02,0,0,0,1
24,11.504,349.2282314,35,0,0.0,stim_min_1_a,p02,0,0,0,0
25,12.004,311.1269837,35,0,0.0,stim_min_1_a,p02,0,0,0,1
26,12.503,349.2282314,35,0,0.0,stim_min_1_a,p02,0,0,0,0
27,13.002,391.995436,35,0,0.0,stim_min_1_a,p02,0,0,0,1
28,14.0,246.9416506,1,0,0.0,stim_min_1_a,p02,0,0,1,1
29,14.5,261.6255653,1,0,0.0,stim_min_1_a,p02,0,0,0,0
30,16.006,391.995436,1,0,0.0,stim_min_1_a,p02,1,1,0,1
31,17.007,415.3046976,-35,0,0.0,stim_min_1_a,p02,0,0,1,1
32,18.015,391.995436,-35,0,0.0,stim_min_1_a,p02,0,0,0,1
33,19.014,369.9944227,-35,0,0.0,stim_min_1_a,p02,0,0,0,1
34,20.013,493.8833013,-35,0,0.0,stim_min_1_a,p02,1,0,0,1
35,21.011,523.2511306,-35,0,0.0,stim_min_1_a,p02,0,0,0,1
36,22.009,349.2282314,-35,0,0.0,stim_min_1_a,p02,0,0,0,1
37,23.007,311.1269837,-35,0,0.0,stim_min_1_a,p02,0,0,0,1
38,24.507,391.995436,1,0,0.0,stim_min_1_a,p02,1,1,1,1
39,25.006,415.3046976,1,0,0.0,stim_min_1_a,p02,0,0,0,0
40,25.506,261.6255653,1,0,0.0,stim_min_1_a,p02,0,0,0,0
41,26.005,246.9416506,1,0,0.0,stim_min_1_a,p02,0,0,0,1
42,27.005,261.6255653,1,0,0.0,stim_min_1_a,p02,0,0,0,1
43,28.511,293.6647679,1,0,0.0,stim_min_1_a,p02,0,0,0,0
44,28.76,311.1269837,1,0,0.0,stim_min_1_a,p02,0,0,0,0
45,29.01,349.2282314,1,0,0.0,stim_min_1_a,p02,0,0,0,1
46,29.51,311.1269837,1,0,0.0,stim_min_1_a,p02,0,0,0,0
47,29.76,293.6647679,1,0,0.0,stim_min_1_a,p02,0,0,0,0
48,30.008,311.1269837,1,0,0.0,stim_min_1_a,p02,0,0,0,1
49,31.008,261.6255653,1,0,0.0,stim_min_1_a,p02,0,0,0,1
50,32.013,261.6255653,35,0,0.0,stim_min_1_a,p02,1,1,1,1
51,33.005,246.9416506,35,0,0.0,stim_min_1_a,p02,0,0,0,1
52,33.502,261.6255653,35,0,0.0,stim_min_1_a,p02,0,0,0,0
53,33.752,293.6647679,35,0,0.0,stim_min_1_a,p02,0,0,0,0
54,34.003,311.1269837,35,0,0.0,stim_min_1_a,p02,0,0,0,1
55,34.501,293.6647679,35,0,0.0,stim_min_1_a,p02,0,0,0,0
56,35.004,261.6255653,35,0,0.0,stim_min_1_a,p02,0,0,0,1
57,35.502,369.9944227,35,0,0.0,stim_min_1_a,p02,0,0,0,0
58,36.002,391.995436,35,0,0.0,stim_min_1_a,p02,0,0,0,1
59,36.501,233.0818808,35,0,0.0,stim_min_1_a,p02,0,0,0,0
60,37.002,261.6255653,35,0,0.0,stim_min_1_a,p02,0,0,0,1
61,37.502,261.6255653,35,0,0.0,stim_min_1_a,p02,0,0,0,0
62,38.002,293.6647679,35,0,0.0,stim_min_1_a,p02,0,0,0,1
63,38.502,293.6647679,35,0,0.0,stim_min_1_a,p02,0,0,0,0
64,39.001,195.997718,35,0,0.0,stim_min_1_a,p02,1,0,0,1
65,40.001,261.6255653,1,0,0.0,stim_min_1_a,p02,0,1,1,1
66,40.5,293.6647679,1,0,0.0,stim_min_1_a,p02,0,0,0,0
67,41.008,311.1269837,1,0,0.0,stim_min_1_a,p02,0,0,0,1
68,41.508,311.1269837,1,0,0.0,stim_min_1_a,p02,0,0,0,0
69,41.754,293.6647679,1,0,0.0,stim_min_1_a,p02,0,0,0,0
70,42.004,311.1269837,1,0,0.0,stim_min_1_a,p02,0,0,0,1
71,42.503,349.2282314,1,0,0.0,stim_min_1_a,p02,0,0,0,0
72,43.003,391.995436,1,0,0.0,stim_min_1_a,p02,0,0,0,1
73,43.253,349.2282314,1,0,0.0,stim_min_1_a,p02,0,0,0,0
