,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,246.9416506,1,0,0,output_5,p03,1,1,1,0
1,1.001,369.9944227,1,0,0,output_5,p03,0,0,0,1
2,2.0,880.0,1,0,0,output_5,p03,0,0,0,0
3,3.01,659.2551138,1,0,0,output_5,p03,1,1,0,1
4,4.004,246.9416506,1,0,0,output_5,p03,0,0,0,0
5,5.003,698.4564629,35,0,0,output_5,p03,0,0,1,1
6,6.004,369.9944227,35,0,0,output_5,p03,0,0,0,0
7,7.004,739.9888454,35,0,0,output_5,p03,0,0,0,1
8,8.002,587.3295358,35,0,0,output_5,p03,0,0,0,0
9,9.005,880.0,1,0,0,output_5,p03,0,1,1,1
10,10.016,523.2511306,1,0,0,output_5,p03,0,0,0,0
11,11.008,659.2551138,1,0,0,output_5,p03,1,0,0,1
12,12.004,369.9944227,1,0,0,output_5,p03,0,0,0,0
13,13.006,880.0,1,0,0,output_5,p03,0,0,0,1
14,14.005,277.182631,1,0,0,output_5,p03,0,0,0,0
15,15.004,659.2551138,1,0,0,output_5,p03,0,0,0,1
16,16.004,369.9944227,1,0,0,output_5,p03,0,0,0,0
17,17.007,391.995436,1,0,0,output_5,p03,0,0,0,1
18,18.002,391.995436,1,0,0,output_5,p03,0,0,0,0
19,19.009,440.0,1,0,0,output_5,p03,0,0,0,1
20,20.008,659.2551138,1,0,0,output_5,p03,0,0,0,0
21,21.003,277.182631,1,0,0,output_5,p03,0,0,0,1
22,22.002,369.9944227,1,0,0,output_5,p03,0,0,0,0
23,23.0,391.995436,1,0,0,output_5,p03,0,0,0,1
24,24.003,523.2511306,1,0,0,output_5,p03,0,0,0,0
25,25.001,587.3295358,1,0,0,output_5,p03,0,0,0,1
26,26.015,369.9944227,1,0,0,output_5,p03,0,0,0,0
27,27.014,440.0,1,0,0,output_5,p03,0,0,0,1
28,28.013,698.4564629,1,0,0,output_5,p03,0,0,0,0
29,29.011,830.6093952,1,0,0,output_5,p03,0,0,0,1
30,30.003,415.3046976,1,0,0,output_5,p03,0,0,0,0
31,31.015,391.995436,-35,0,0,output_5,p03,1,1,1,1
32,32.014,369.9944227,-35,0,0,output_5,p03,0,0,0,0
33,33.004,622.2539674,-35,0,0,output_5,p03,0,0,0,1
34,34.008,369.9944227,-35,0,0,output_5,p03,0,0,0,0
35,35.006,277.182631,-35,0,0,output_5,p03,0,0,0,1
36,36.006,659.2551138,-35,0,0,output_5,p03,0,0,0,0
37,37.005,220.0,-35,0,0,output_5,p03,0,0,0,1
38,38.004,369.9944227,-35,0,0,output_5,p03,0,0,0,0
39,39.019,311.1269837,-35,0,0,output_5,p03,0,0,0,1
40,40.003,554.365262,1,0,0,output_5,p03,0,1,1,0
41,41.009,349.2282314,1,0,0,output_5,p03,0,0,0,1
42,42.007,466.1637615,1,0,0,output_5,p03,0,0,0,0
43,43.007,493.8833013,1,0,0,output_5,p03,0,0,0,1
44,44.007,349.2282314,1,0,0,output_5,p03,0,0,0,0
45,45.005,311.1269837,1,0,0,output_5,p03,0,0,0,1
46,46.004,783.990872,1,0,0,output_5,p03,0,0,0,0
47,47.004,293.6647679,1,0,0,output_5,p03,0,0,0,1
48,48.01,587.3295358,1,0,0,output_5,p03,0,0,0,0
49,49.009,440.0,1,0,0,output_5,p03,0,0,0,1
50,50.009,261.6255653,1,0,0,output_5,p03,0,0,0,0
51,51.009,261.6255653,35,0,0,output_5,p03,0,0,1,1
52,52.01,246.9416506,35,0,0,output_5,p03,0,0,0,0
53,53.009,415.3046976,35,0,0,output_5,p03,0,0,0,1
54,54.02,880.0,35,0,0,output_5,p03,0,0,0,0
55,55.004,233.0818808,1,0,0,output_5,p03,1,0,1,1
56,56.004,369.9944227,1,0,0,output_5,p03,0,0,0,0
57,57.002,391.995436,1,0,0,output_5,p03,0,0,0,1
58,58.002,466.1637615,1,0,0,output_5,p03,0,0,0,0
59,59.001,659.2551138,1,0,0,output_5,p03,0,1,0,1
