,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.501,261.6255653,-35,0,0.0,stim_maj_1_a,p03,0,0,0,0
1,1.001,293.6647679,-35,0,0.0,stim_maj_1_a,p03,0,0,0,1
2,1.502,329.6275569,-35,0,0.0,stim_maj_1_a,p03,0,0,0,0
3,2.002,349.2282314,-35,0,0.0,stim_maj_1_a,p03,0,0,0,1
4,2.752,391.995436,-35,0,0.0,stim_maj_1_a,p03,0,0,0,0
5,2.877,349.2282314,-35,0,0.0,stim_maj_1_a,p03,0,0,0,0
6,3.002,329.6275569,-35,0,0.0,stim_maj_1_a,p03,0,0,0,1
7,3.502,440.0,-35,0,0.0,stim_maj_1_a,p03,0,0,0,0
8,4.001,293.6647679,1,0,0.0,stim_maj_1_a,p03,1,0,1,1
9,4.516,391.995436,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
10,5.264,440.0,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
11,5.514,391.995436,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
12,5.761,349.2282314,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
13,6.011,329.6275569,1,0,0.0,stim_maj_1_a,p03,0,0,0,1
14,6.25,349.2282314,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
15,6.5,329.6275569,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
16,6.75,293.6647679,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
17,7.0,261.6255653,1,0,0.0,stim_maj_1_a,p03,0,0,0,1
18,8.505,391.995436,1,0,0.0,stim_maj_1_a,p03,0,1,0,1
19,9.004,440.0,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
20,9.253,391.995436,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
21,9.504,349.2282314,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
22,9.754,391.995436,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
23,10.004,659.2551138,1,0,0.0,stim_maj_1_a,p03,0,0,0,1
24,10.504,523.2511306,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
25,11.019,391.995436,1,0,0.0,stim_maj_1_a,p03,0,0,0,1
26,11.504,349.2282314,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
27,11.754,329.6275569,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
28,12.004,349.2282314,1,0,0.0,stim_maj_1_a,p03,0,0,0,1
29,12.502,587.3295358,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
30,13.002,329.6275569,1,0,0.0,stim_maj_1_a,p03,0,0,0,1
31,13.5,523.2511306,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
32,14.0,293.6647679,1,0,0.0,stim_maj_1_a,p03,0,0,0,1
33,14.5,493.8833013,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
34,15.0,523.2511306,1,0,0.0,stim_maj_1_a,p03,0,0,0,1
35,16.015,261.6255653,35,0,0.0,stim_maj_1_a,p03,0,1,1,1
36,16.14,293.6647679,35,0,0.0,stim_maj_1_a,p03,0,0,0,0
37,16.265,329.6275569,35,0,0.0,stim_maj_1_a,p03,0,0,0,0
38,16.39,349.2282314,35,0,0.0,stim_maj_1_a,p03,0,0,0,0
39,16.514,329.6275569,35,0,0.0,stim_maj_1_a,p03,0,0,0,0
40,16.639,293.6647679,35,0,0.0,stim_maj_1_a,p03,0,0,0,0
41,16.764,329.6275569,35,0,0.0,stim_maj_1_a,p03,0,0,0,0
42,16.889,261.6255653,35,0,0.0,stim_maj_1_a,p03,0,0,0,0
43,17.013,440.0,35,0,0.0,stim_maj_1_a,p03,0,0,0,1
44,17.763,440.0,35,0,0.0,stim_maj_1_a,p03,0,0,0,0
45,18.013,391.995436,35,0,0.0,stim_maj_1_a,p03,0,0,0,1
46,18.762,349.2282314,35,0,0.0,stim_maj_1_a,p03,0,0,0,0
47,19.012,329.6275569,1,0,0.0,stim_maj_1_a,p03,0,0,1,1
48,19.762,349.2282314,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
49,20.012,329.6275569,1,0,0.0,stim_maj_1_a,p03,0,0,0,1
50,20.753,293.6647679,1,0,0.0,stim_maj_1_a,p03,0,0,0,0
51,21.003,261.6255653,-35,0,0.0,stim_maj_1_a,p03,0,0,1,1
52,21.502,195.997718,-35,0,0.0,stim_maj_1_a,p03,0,0,0,0
53,22.001,261.6255653,-35,0,0.0,stim_maj_1_a,p03,0,0,0,1
54,22.25,293.6647679,-35,0,0.0,stim_maj_1_a,p03,0,0,0,0
55,22.516,329.6275569,-35,0,0.0,stim_maj_1_a,p03,0,0,0,0
56,22.75,293.6647679,-35,0,0.0,stim_maj_1_a,p03,0,0,0,0
57,23.016,261.6255653,-35,0,0.0,stim_maj_1_a,p03,0,0,0,1
58,24.015,391.995436,-35,0,0.0,stim_maj_1_a,p03,0,1,0,1
59,24.265,329.6275569,-35,0,0.0,stim_maj_1_a,p03,0,0,0,0
60,24.515,293.6647679,-35,0,0.0,stim_maj_1_a,p03,0,0,0,0
61,24.764,329.6275569,-35,0,0.0,stim_maj_1_a,p03,0,0,0,0
62,25.014,261.6255653,-35,0,0.0,stim_maj_1_a,p03,0,0,0,1
63,25.264,349.2282314,-35,0,0.0,stim_maj_1_a,p03,0,0,0,0
