,Unnamed: 0,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration
0,0,0.016,261.6255653,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
1,1,0.515,440.0,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.947916667
2,2,1.509,391.995436,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
3,3,2.008,349.2282314,-35,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
4,4,2.508,349.2282314,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
5,5,2.758,329.6275569,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
6,6,3.004,349.2282314,-35,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
7,7,3.504,440.0,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
8,8,4.004,293.6647679,-35,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
9,9,4.504,391.995436,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.947916667
10,10,5.514,349.2282314,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
11,11,6.014,329.6275569,-35,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
12,12,6.51,329.6275569,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
13,13,6.76,293.6647679,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
14,14,7.01,329.6275569,1,0,0.0,stim_maj_2_a,p05,0,0,1,1,0.472916667
15,15,7.507,261.6255653,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.947916667
16,16,8.507,391.995436,1,0,0.0,stim_maj_2_a,p05,1,1,0,1,0.472916667
17,17,9.003,329.6275569,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
18,18,9.503,440.0,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
19,19,10.001,293.6647679,1,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
20,20,10.513,329.6275569,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
21,21,10.763,349.2282314,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
22,22,11.027,391.995436,35,0,0.0,stim_maj_2_a,p05,0,0,1,1,0.472916667
23,23,11.503,195.997718,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
24,24,12.009,261.6255653,35,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
25,25,12.509,293.6647679,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
26,26,12.759,329.6275569,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
27,27,13.005,349.2282314,35,0,0.0,stim_maj_2_a,p05,0,0,0,1,1.185416667
28,28,14.264,391.995436,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
29,29,14.514,329.6275569,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
30,30,14.76,349.2282314,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
31,31,15.01,293.6647679,35,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
32,32,15.504,261.6255653,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.947916667
33,33,16.501,261.6255653,35,0,0.0,stim_maj_2_a,p05,1,1,0,0,0.235416667
34,34,16.751,293.6647679,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
35,35,17.013,329.6275569,35,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.235416667
36,36,17.263,293.6647679,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
37,37,17.513,261.6255653,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
38,38,17.763,329.6275569,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
39,39,18.01,293.6647679,1,0,0.0,stim_maj_2_a,p05,1,0,1,1,0.235416667
40,40,18.26,349.2282314,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
41,41,18.507,329.6275569,1,1,18.579,stim_maj_2_a,p05,0,0,0,0,0.710416667
42,42,19.251,391.995436,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
43,43,19.501,349.2282314,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.710416667
44,44,20.26,440.0,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
45,45,20.51,391.995436,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
46,46,20.76,349.2282314,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
47,47,21.01,391.995436,1,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.235416667
48,48,21.257,293.6647679,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
49,49,21.507,329.6275569,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
50,50,21.757,349.2282314,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
51,51,22.007,329.6275569,1,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.235416667
52,52,22.253,261.6255653,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
53,53,22.501,293.6647679,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
54,54,23.003,261.6255653,1,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.947916667
55,55,24.016,523.2511306,-35,0,0.0,stim_maj_2_a,p05,0,1,1,1,0.472916667
56,56,24.512,523.2511306,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
57,57,25.01,659.2551138,-35,0,0.0,stim_maj_2_a,p05,0,0,0,1,1.422916667
58,58,26.503,587.3295358,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
59,59,27.003,523.2511306,-35,0,0.0,stim_maj_2_a,p05,1,0,0,1,0.472916667
60,60,27.515,523.2511306,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
61,61,28.012,523.2511306,-35,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
62,62,28.509,493.8833013,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
63,63,28.759,523.2511306,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
64,64,29.009,587.3295358,1,1,29.474,stim_maj_2_a,p05,1,0,1,1,1.422916667
65,65,30.502,659.2551138,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
66,66,31.015,523.2511306,1,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.947916667
67,67,32.011,391.995436,35,0,0.0,stim_maj_2_a,p05,0,1,1,1,0.472916667
68,68,32.511,440.0,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
69,69,32.758,493.8833013,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
70,70,33.008,523.2511306,35,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
71,71,33.504,261.6255653,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
72,72,34.004,349.2282314,35,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
73,73,34.504,349.2282314,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
74,74,35.002,349.2282314,35,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
75,75,35.501,329.6275569,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
76,76,35.751,293.6647679,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
77,77,36.001,329.6275569,35,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
78,78,36.514,293.6647679,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
79,79,37.01,329.6275569,35,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
80,80,37.507,261.6255653,35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
81,81,38.006,293.6647679,35,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.947916667
82,82,39.003,261.6255653,35,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.947916667
83,83,40.015,261.6255653,1,1,40.546,stim_maj_2_a,p05,1,1,1,1,1.185416667
84,84,41.262,246.9416506,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
85,85,41.509,261.6255653,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
86,86,41.759,293.6647679,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
87,87,42.009,329.6275569,1,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
88,88,42.509,261.6255653,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
89,89,43.005,220.0,1,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
90,90,43.502,369.9944227,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
91,91,44.001,391.995436,1,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
92,92,44.504,293.6647679,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
93,93,45.001,329.6275569,1,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.472916667
94,94,45.513,246.9416506,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.472916667
95,95,46.013,261.6255653,1,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.235416667
96,96,46.263,293.6647679,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
97,97,46.513,329.6275569,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
98,98,46.763,246.9416506,1,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
99,99,47.01,261.6255653,-35,1,47.569,stim_maj_2_a,p05,1,0,1,1,1.185416667
100,100,48.256,391.995436,-35,0,0.0,stim_maj_2_a,p05,0,1,0,0,0.235416667
101,101,48.502,440.0,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
102,102,48.752,493.8833013,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
103,103,49.002,523.2511306,-35,0,0.0,stim_maj_2_a,p05,0,0,0,1,0.235416667
104,104,49.252,587.3295358,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
105,105,49.502,659.2551138,-35,0,0.0,stim_maj_2_a,p05,0,0,0,0,0.235416667
