,Unnamed: 0,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration
0,0,0.266,261.6255653,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
1,1,0.516,293.6647679,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
2,2,0.765,329.6275569,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
3,3,1.012,349.2282314,-35,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.235416667
4,4,1.262,293.6647679,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
5,5,1.512,329.6275569,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
6,6,1.761,261.6255653,-35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
7,7,2.013,391.995436,1,0,0.0,stim_maj_3_b,p05,1,0,1,1,0.472916667
8,8,2.513,523.2511306,1,1,2.732,stim_maj_3_b,p05,0,0,0,0,0.472916667
9,9,3.006,493.8833013,1,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.472916667
10,10,3.506,523.2511306,1,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.472916667
11,11,4.005,587.3295358,35,0,0.0,stim_maj_3_b,p05,1,0,1,1,0.235416667
12,12,4.255,391.995436,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
13,13,4.505,440.0,35,1,4.63,stim_maj_3_b,p05,0,0,0,0,0.235416667
14,14,4.755,493.8833013,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
15,15,5.005,523.2511306,35,0,0.0,stim_maj_3_b,p05,0,0,0,1,0.235416667
16,16,5.252,440.0,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
17,17,5.502,493.8833013,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
18,18,5.763,391.995436,35,0,0.0,stim_maj_3_b,p05,0,0,0,0,0.235416667
19,19,6.009,587.3295358,1,0,0.0,stim_maj_3_b,p05,1,0,1,1,0.472916667
20,20,6.509,783.990872,1,1,6.743,stim_maj_3_b,p05,0,0,0,0,0.472916667
21,21,7.009,391.995436,1,0,0.0,stim_maj_3_b,p05,0,0,0,1,1.185416667
