,Unnamed: 0,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration
0,0,0.515,523.2511306,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
1,1,0.765,493.8833013,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
2,2,1.015,523.2511306,-35,0,0.0,stim_min_3_b,p05,0,0,0,1,0.235416667
3,3,1.265,587.3295358,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
4,4,1.515,622.2539674,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
5,5,1.765,391.995436,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
6,6,2.015,415.3046976,-35,0,0.0,stim_min_3_b,p05,0,0,0,1,0.235416667
7,7,2.265,466.1637615,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
8,8,2.515,415.3046976,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
9,9,2.765,349.2282314,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
10,10,3.012,698.4564629,-35,0,0.0,stim_min_3_b,p05,0,0,0,1,0.235416667
11,11,3.262,622.2539674,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
12,12,3.512,587.3295358,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
13,13,3.762,523.2511306,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
14,14,4.008,493.8833013,-35,0,0.0,stim_min_3_b,p05,0,0,0,1,0.235416667
15,15,4.258,830.6093952,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
16,16,4.509,783.990872,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
17,17,4.759,698.4564629,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
18,18,5.009,622.2539674,-35,0,0.0,stim_min_3_b,p05,0,0,0,1,0.235416667
19,19,5.259,587.3295358,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
20,20,5.509,523.2511306,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
21,21,5.759,493.8833013,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
22,22,6.006,523.2511306,-35,0,0.0,stim_min_3_b,p05,0,0,0,1,0.235416667
23,23,6.256,587.3295358,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
24,24,6.506,622.2539674,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.354166667
25,25,6.881,587.3295358,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.116666667
26,26,7.006,523.2511306,-35,0,0.0,stim_min_3_b,p05,0,0,0,1,0.116666667
27,27,7.125,587.3295358,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.116666667
28,28,7.253,523.2511306,-35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.947916667
29,29,8.265,523.2511306,1,0,0.0,stim_min_3_b,p05,0,1,1,1,0.235416667
30,30,8.515,493.8833013,1,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
31,31,8.765,523.2511306,1,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
32,32,9.015,391.995436,1,0,0.0,stim_min_3_b,p05,0,0,0,1,0.472916667
33,33,9.515,622.2539674,1,0,0.0,stim_min_3_b,p05,0,0,0,0,0.710416667
34,34,10.255,587.3295358,1,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
35,35,10.504,523.2511306,1,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
36,36,10.754,587.3295358,1,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
37,37,11.004,391.995436,35,0,0.0,stim_min_3_b,p05,1,0,1,1,0.472916667
38,38,11.504,698.4564629,35,1,11.832,stim_min_3_b,p05,0,0,0,0,0.710416667
39,39,12.251,622.2539674,35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
40,40,12.501,587.3295358,35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
41,41,12.751,523.2511306,35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
42,42,13.014,783.990872,35,0,0.0,stim_min_3_b,p05,0,0,0,1,0.472916667
43,43,13.514,523.2511306,35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.472916667
44,44,14.01,698.4564629,35,0,0.0,stim_min_3_b,p05,0,0,0,1,0.235416667
45,45,14.26,622.2539674,35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
46,46,14.504,587.3295358,35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
47,47,14.754,493.8833013,35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
48,48,15.004,493.8833013,35,0,0.0,stim_min_3_b,p05,0,0,0,1,0.235416667
49,49,15.254,523.2511306,35,0,0.0,stim_min_3_b,p05,0,0,0,0,0.710416667
50,50,16.015,261.6255653,1,0,0.0,stim_min_3_b,p05,1,1,1,1,0.472916667
51,51,16.502,293.6647679,1,1,16.908,stim_min_3_b,p05,0,0,0,0,0.472916667
52,52,17.002,311.1269837,1,0,0.0,stim_min_3_b,p05,0,0,0,1,0.472916667
53,53,17.502,261.6255653,1,0,0.0,stim_min_3_b,p05,0,0,0,0,0.472916667
54,54,18.014,415.3046976,1,0,0.0,stim_min_3_b,p05,0,0,0,1,0.235416667
55,55,18.264,415.3046976,1,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
56,56,18.514,415.3046976,1,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
57,57,18.764,415.3046976,1,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
58,58,19.013,293.6647679,1,0,0.0,stim_min_3_b,p05,0,0,0,1,0.710416667
59,59,19.759,293.6647679,1,0,0.0,stim_min_3_b,p05,0,0,0,0,0.235416667
60,60,20.009,391.995436,1,0,0.0,stim_min_3_b,p05,0,0,0,1,0.235416667
