,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
1,0.516,440.0,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.947916667
2,1.512,391.995436,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
3,2.012,349.2282314,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
4,2.511,349.2282314,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
5,2.761,329.6275569,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
6,3.008,349.2282314,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
7,3.508,440.0,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
8,4.008,293.6647679,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
9,4.508,391.995436,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.947916667
10,5.501,349.2282314,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
11,6.001,329.6275569,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
12,6.501,329.6275569,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
13,6.751,293.6647679,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
14,7.002,329.6275569,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
15,7.513,261.6255653,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.947916667
16,8.504,391.995436,-17.5,0,0.0,stim_maj_2_a,p08,1,1,0,1,0.472916667
17,9.001,329.6275569,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
18,9.514,440.0,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
19,10.01,293.6647679,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
20,10.506,329.6275569,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
21,10.753,349.2282314,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
22,11.003,391.995436,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
23,11.515,195.997718,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
24,12.013,261.6255653,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
25,12.513,293.6647679,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
26,12.763,329.6275569,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
27,13.009,349.2282314,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,1.185416667
28,14.255,391.995436,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
29,14.502,329.6275569,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
30,14.763,349.2282314,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
31,15.013,293.6647679,1.0,0,0.0,stim_maj_2_a,p08,1,0,1,1,0.472916667
32,15.51,261.6255653,1.0,1,15.896,stim_maj_2_a,p08,0,0,0,0,0.947916667
33,16.5,261.6255653,1.0,0,0.0,stim_maj_2_a,p08,0,1,0,0,0.235416667
34,16.75,293.6647679,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
35,17.005,329.6275569,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.235416667
36,17.262,293.6647679,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
37,17.508,261.6255653,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
38,17.758,329.6275569,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
39,18.008,293.6647679,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.235416667
40,18.258,349.2282314,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
41,18.504,329.6275569,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.710416667
42,19.255,391.995436,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
43,19.502,349.2282314,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.710416667
44,20.251,440.0,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
45,20.501,391.995436,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
46,20.751,349.2282314,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
47,21.001,391.995436,17.5,0,0.0,stim_maj_2_a,p08,0,0,1,1,0.235416667
48,21.263,293.6647679,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
49,21.513,329.6275569,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
50,21.76,349.2282314,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
51,22.01,329.6275569,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.235416667
52,22.26,261.6255653,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
53,22.501,293.6647679,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
54,23.007,261.6255653,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.947916667
55,24.016,523.2511306,17.5,0,0.0,stim_maj_2_a,p08,1,1,0,1,0.472916667
56,24.515,523.2511306,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
57,25.012,659.2551138,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,1.422916667
58,26.505,587.3295358,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
59,27.003,523.2511306,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
60,27.503,523.2511306,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
61,28.014,523.2511306,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
62,28.514,493.8833013,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
63,28.764,523.2511306,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
64,29.014,587.3295358,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,1.422916667
65,30.508,659.2551138,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
66,31.004,523.2511306,1.0,0,0.0,stim_maj_2_a,p08,1,0,1,1,0.947916667
67,32.001,391.995436,1.0,0,0.0,stim_maj_2_a,p08,0,1,0,1,0.472916667
68,32.5,440.0,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
69,32.75,493.8833013,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
70,33.0,523.2511306,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
71,33.513,261.6255653,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
72,34.009,349.2282314,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
73,34.509,349.2282314,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
74,35.005,349.2282314,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
75,35.502,329.6275569,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
76,35.752,293.6647679,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
77,36.014,329.6275569,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
78,36.514,293.6647679,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
79,37.01,329.6275569,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
80,37.501,261.6255653,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
81,38.005,293.6647679,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.947916667
82,39.013,261.6255653,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.947916667
83,40.006,261.6255653,-17.5,0,0.0,stim_maj_2_a,p08,0,1,1,1,1.185416667
84,41.265,246.9416506,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
85,41.515,261.6255653,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
86,41.761,293.6647679,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
87,42.007,329.6275569,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
88,42.503,261.6255653,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
89,43.015,220.0,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
90,43.515,369.9944227,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
91,44.015,391.995436,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.472916667
92,44.511,293.6647679,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
93,45.011,329.6275569,1.0,0,0.0,stim_maj_2_a,p08,0,0,1,1,0.472916667
94,45.507,246.9416506,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
95,46.007,261.6255653,1.0,0,0.0,stim_maj_2_a,p08,1,0,0,1,0.235416667
96,46.257,293.6647679,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
97,46.503,329.6275569,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
98,46.753,246.9416506,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
99,47.003,261.6255653,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,1,1.185416667
100,48.265,391.995436,17.5,0,0.0,stim_maj_2_a,p08,1,1,1,0,0.235416667
101,48.511,440.0,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
102,48.761,493.8833013,17.5,1,48.996,stim_maj_2_a,p08,0,0,0,0,0.235416667
103,49.012,523.2511306,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.235416667
104,49.256,587.3295358,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
105,49.506,659.2551138,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
106,49.755,698.4564629,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
107,50.003,783.990872,17.5,0,0.0,stim_maj_2_a,p08,1,0,0,1,0.235416667
108,50.255,698.4564629,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
109,50.505,783.990872,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
110,50.755,880.0,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
111,51.005,587.3295358,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.235416667
112,51.251,880.0,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
113,51.501,783.990872,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
114,51.751,698.4564629,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
115,52.001,659.2551138,1.0,0,0.0,stim_maj_2_a,p08,0,0,1,1,0.235416667
116,52.251,261.6255653,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
117,52.513,293.6647679,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
118,52.763,329.6275569,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
119,53.013,349.2282314,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.235416667
120,53.263,391.995436,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
121,53.513,440.0,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
122,53.763,493.8833013,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
123,54.009,523.2511306,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.235416667
124,54.259,493.8833013,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.235416667
125,54.509,523.2511306,1.0,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
126,55.005,659.2551138,-17.5,0,0.0,stim_maj_2_a,p08,0,0,1,1,0.472916667
127,55.501,523.2511306,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,0.472916667
128,56.001,261.6255653,-17.5,1,56.929,stim_maj_2_a,p08,1,1,0,1,0.947916667
129,57.007,329.6275569,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.947916667
130,58.003,440.0,-17.5,0,0.0,stim_maj_2_a,p08,0,0,0,1,0.947916667
131,59.003,349.2282314,1.0,0,0.0,stim_maj_2_a,p08,0,0,1,1,0.947916667
132,60.015,293.6647679,17.5,0,0.0,stim_maj_2_a,p08,1,0,1,1,0.947916667
133,61.011,493.8833013,17.5,1,61.042,stim_maj_2_a,p08,0,0,0,1,0.947916667
134,62.007,523.2511306,17.5,0,0.0,stim_maj_2_a,p08,0,0,0,0,1.897916667
