,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1_a,p12,0,0,0,0,0.235416667
1,0.266,493.8833013,-17.5,0,0.0,stim_min_1_a,p12,0,0,0,0,0.235416667
2,0.516,523.2511306,-17.5,0,0.0,stim_min_1_a,p12,0,0,0,0,0.472916667
3,1.008,391.995436,-17.5,0,0.0,stim_min_1_a,p12,0,0,0,1,0.472916667
4,1.511,415.3046976,-17.5,0,0.0,stim_min_1_a,p12,0,0,0,0,0.472916667
5,2.011,523.2511306,1.0,0,0.0,stim_min_1_a,p12,1,0,1,1,0.235416667
6,2.261,493.8833013,1.0,0,0.0,stim_min_1_a,p12,0,0,0,0,0.235416667
7,2.511,523.2511306,1.0,1,2.574,stim_min_1_a,p12,0,0,0,0,0.472916667
8,3.011,587.3295358,1.0,0,0.0,stim_min_1_a,p12,0,0,0,1,0.472916667
9,3.51,391.995436,1.0,0,0.0,stim_min_1_a,p12,0,0,0,0,0.472916667
10,4.006,523.2511306,1.0,0,0.0,stim_min_1_a,p12,0,0,0,1,0.235416667
11,4.265,493.8833013,1.0,0,0.0,stim_min_1_a,p12,0,0,0,0,0.235416667
12,4.515,523.2511306,1.0,0,0.0,stim_min_1_a,p12,0,0,0,0,0.472916667
13,5.015,587.3295358,1.0,0,0.0,stim_min_1_a,p12,0,0,0,1,0.472916667
14,5.515,349.2282314,1.0,0,0.0,stim_min_1_a,p12,0,0,0,0,0.235416667
15,5.756,391.995436,1.0,0,0.0,stim_min_1_a,p12,0,0,0,0,0.235416667
16,6.015,415.3046976,1.0,0,0.0,stim_min_1_a,p12,1,0,0,1,0.235416667
17,6.265,391.995436,1.0,0,0.0,stim_min_1_a,p12,0,0,0,0,0.235416667
18,6.512,349.2282314,1.0,0,0.0,stim_min_1_a,p12,0,0,0,0,0.472916667
19,7.011,311.1269837,1.0,0,0.0,stim_min_1_a,p12,0,0,0,1,0.947916667
