,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration
0,0.515,523.2511306,-17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
1,0.765,493.8833013,-17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
2,1.015,523.2511306,1.0,0,0.0,stim_min_3_b,p12,1,0,1,1,0.235416667
3,1.25,587.3295358,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
4,1.513,622.2539674,1.0,1,1.607,stim_min_3_b,p12,0,0,0,0,0.235416667
5,1.763,391.995436,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
6,2.013,415.3046976,1.0,0,0.0,stim_min_3_b,p12,0,0,0,1,0.235416667
7,2.263,466.1637615,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
8,2.513,415.3046976,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
9,2.763,349.2282314,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
10,3.013,698.4564629,1.0,0,0.0,stim_min_3_b,p12,0,0,0,1,0.235416667
11,3.263,622.2539674,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
12,3.51,587.3295358,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
13,3.76,523.2511306,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
14,4.01,493.8833013,1.0,0,0.0,stim_min_3_b,p12,0,0,0,1,0.235416667
15,4.257,830.6093952,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
16,4.507,783.990872,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
17,4.754,698.4564629,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
18,5.004,622.2539674,1.0,0,0.0,stim_min_3_b,p12,0,0,0,1,0.235416667
19,5.254,587.3295358,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
20,5.508,523.2511306,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
21,5.758,493.8833013,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
22,6.007,523.2511306,1.0,0,0.0,stim_min_3_b,p12,0,0,0,1,0.235416667
23,6.257,587.3295358,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
24,6.506,622.2539674,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.354166667
25,6.881,587.3295358,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.116666667
26,7.006,523.2511306,1.0,0,0.0,stim_min_3_b,p12,0,0,0,1,0.116666667
27,7.132,587.3295358,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.116666667
28,7.257,523.2511306,1.0,0,0.0,stim_min_3_b,p12,0,0,0,0,0.947916667
29,8.254,523.2511306,17.5,0,0.0,stim_min_3_b,p12,0,1,1,1,0.235416667
30,8.504,493.8833013,17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
31,8.754,523.2511306,17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
32,9.004,391.995436,17.5,0,0.0,stim_min_3_b,p12,0,0,0,1,0.472916667
33,9.504,622.2539674,17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.710416667
34,10.251,587.3295358,17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
35,10.501,523.2511306,17.5,0,0.0,stim_min_3_b,p12,0,0,0,0,0.235416667
