Unnamed: 0,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration,time_difference
0,0.516,261.6255653,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,0,0.472916667,-0.516
1,1.012,293.6647679,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,1,0.472916667,-1.012
2,1.508,329.6275569,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,0,0.472916667,-1.508
3,2.008,349.2282314,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,1,0.710416667,-2.008
4,2.755,391.995436,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,0,0.116666667,-2.755
5,2.88,349.2282314,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,0,0.116666667,-2.88
6,3.005,329.6275569,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,1,0.472916667,-3.005
7,3.505,440.0,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,0,0.472916667,-3.505
8,4.005,293.6647679,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,1,0.472916667,-4.005
9,4.502,391.995436,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,0,0.710416667,-4.502
10,5.251,440.0,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,0,0.235416667,-5.251
11,5.501,391.995436,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,0,0.235416667,-5.501
12,5.764,349.2282314,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,0,0.235416667,-5.764
13,6.014,329.6275569,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,1,0.235416667,-6.014
14,6.25,349.2282314,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,0,0.235416667,-6.25
15,6.5,329.6275569,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,0,0.235416667,-6.5
16,6.75,293.6647679,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,0,0.235416667,-6.75
17,7.0,261.6255653,-35.0,0,0.0,stim_maj_1_a,p05,0,0,0,1,1.422916667,-7.0
18,8.513,391.995436,1.0,1,9.119,stim_maj_1_a,p05,1,1,1,1,0.472916667,0.6059999999999999
19,9.01,440.0,1.0,1,9.119,stim_maj_1_a,p05,0,0,0,0,0.235416667,0.10899999999999999
20,9.26,391.995436,1.0,0,0.0,stim_maj_1_a,p05,0,0,0,0,0.235416667,-9.26
21,9.514,349.2282314,1.0,0,0.0,stim_maj_1_a,p05,0,0,0,0,0.235416667,-9.514
