,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,1,0,0,stim_maj_2_a,p01,0,0,0,0
1,0.5,440.0,1,0,0,stim_maj_2_a,p01,0,0,0,0
2,1.501,391.995436,1,0,0,stim_maj_2_a,p01,0,0,0,0
3,2.001,349.2282314,1,0,0,stim_maj_2_a,p01,0,0,0,1
4,2.5,349.2282314,1,0,0,stim_maj_2_a,p01,0,0,0,0
5,2.764,329.6275569,1,0,0,stim_maj_2_a,p01,0,0,0,0
6,3.014,349.2282314,1,0,0,stim_maj_2_a,p01,0,0,0,1
7,3.514,440.0,1,0,0,stim_maj_2_a,p01,0,0,0,0
8,4.015,293.6647679,1,0,0,stim_maj_2_a,p01,0,0,0,1
9,4.515,391.995436,1,0,0,stim_maj_2_a,p01,0,0,0,0
10,5.514,349.2282314,1,0,0,stim_maj_2_a,p01,0,0,0,0
11,6.013,329.6275569,1,0,0,stim_maj_2_a,p01,0,0,0,1
12,6.513,329.6275569,1,0,0,stim_maj_2_a,p01,0,0,0,0
13,6.763,293.6647679,1,0,0,stim_maj_2_a,p01,0,0,0,0
14,7.012,329.6275569,1,0,0,stim_maj_2_a,p01,0,0,1,1
15,7.512,261.6255653,1,0,0,stim_maj_2_a,p01,0,0,0,0
16,8.512,391.995436,1,0,0,stim_maj_2_a,p01,1,1,0,1
17,9.013,329.6275569,1,0,0,stim_maj_2_a,p01,0,0,0,0
18,9.513,440.0,1,0,0,stim_maj_2_a,p01,0,0,0,0
19,10.012,293.6647679,1,0,0,stim_maj_2_a,p01,0,0,0,1
20,10.512,329.6275569,1,0,0,stim_maj_2_a,p01,0,0,0,0
21,10.762,349.2282314,1,0,0,stim_maj_2_a,p01,0,0,0,0
22,11.01,391.995436,1,0,0,stim_maj_2_a,p01,0,0,0,1
23,11.51,195.997718,1,0,0,stim_maj_2_a,p01,0,0,0,0
24,12.01,261.6255653,23,0,0,stim_maj_2_a,p01,0,0,1,1
25,12.511,293.6647679,23,0,0,stim_maj_2_a,p01,0,0,0,0
26,12.76,329.6275569,23,0,0,stim_maj_2_a,p01,0,0,0,0
27,13.01,349.2282314,23,0,0,stim_maj_2_a,p01,0,0,0,1
28,14.251,391.995436,23,0,0,stim_maj_2_a,p01,0,0,0,0
29,14.501,329.6275569,23,0,0,stim_maj_2_a,p01,0,0,0,0
30,14.751,349.2282314,23,0,0,stim_maj_2_a,p01,0,0,0,0
31,15.001,293.6647679,23,0,0,stim_maj_2_a,p01,0,0,0,1
32,15.5,261.6255653,23,0,0,stim_maj_2_a,p01,0,0,0,0
33,16.504,261.6255653,23,0,0,stim_maj_2_a,p01,1,1,0,0
34,16.754,293.6647679,23,0,0,stim_maj_2_a,p01,0,0,0,0
35,17.004,329.6275569,23,0,0,stim_maj_2_a,p01,0,0,0,1
36,17.254,293.6647679,23,0,0,stim_maj_2_a,p01,0,0,0,0
37,17.504,261.6255653,23,0,0,stim_maj_2_a,p01,0,0,0,0
38,17.754,329.6275569,23,0,0,stim_maj_2_a,p01,0,0,0,0
39,18.002,293.6647679,23,0,0,stim_maj_2_a,p01,1,0,0,1
40,18.252,349.2282314,23,0,0,stim_maj_2_a,p01,0,0,0,0
41,18.503,329.6275569,23,0,0,stim_maj_2_a,p01,0,0,0,0
42,19.26,391.995436,23,0,0,stim_maj_2_a,p01,0,0,0,0
43,19.51,349.2282314,23,0,0,stim_maj_2_a,p01,0,0,0,0
44,20.26,440.0,23,0,0,stim_maj_2_a,p01,0,0,0,0
45,20.51,391.995436,23,0,0,stim_maj_2_a,p01,0,0,0,0
46,20.757,349.2282314,23,0,0,stim_maj_2_a,p01,0,0,0,0
47,21.006,391.995436,23,0,0,stim_maj_2_a,p01,0,0,0,1
48,21.255,293.6647679,23,0,0,stim_maj_2_a,p01,0,0,0,0
49,21.505,329.6275569,23,0,0,stim_maj_2_a,p01,0,0,0,0
50,21.755,349.2282314,23,0,0,stim_maj_2_a,p01,0,0,0,0
