,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,1,0,0.0,stim_min_2_a,p01,0,0,0,0
1,0.5,311.1269837,1,0,0.0,stim_min_2_a,p01,0,0,0,0
2,1.0,261.6255653,1,0,0.0,stim_min_2_a,p01,0,0,0,1
3,1.501,415.3046976,1,0,0.0,stim_min_2_a,p01,0,0,0,0
4,2.001,415.3046976,1,0,0.0,stim_min_2_a,p01,0,0,0,1
5,2.501,391.995436,1,0,0.0,stim_min_2_a,p01,0,0,0,0
6,2.88,493.8833013,1,0,0.0,stim_min_2_a,p01,0,0,0,0
7,3.005,523.2511306,1,0,0.0,stim_min_2_a,p01,0,0,0,1
8,3.505,349.2282314,1,0,0.0,stim_min_2_a,p01,0,0,0,0
9,4.005,349.2282314,1,0,0.0,stim_min_2_a,p01,0,0,0,1
10,4.502,311.1269837,1,0,0.0,stim_min_2_a,p01,0,0,0,0
11,4.877,493.8833013,1,0,0.0,stim_min_2_a,p01,0,0,0,0
12,5.002,523.2511306,1,0,0.0,stim_min_2_a,p01,0,0,0,1
13,5.502,293.6647679,1,0,0.0,stim_min_2_a,p01,0,0,0,0
14,6.003,311.1269837,1,0,0.0,stim_min_2_a,p01,0,0,0,1
15,6.175,349.2282314,1,0,0.0,stim_min_2_a,p01,0,0,0,0
16,6.347,391.995436,1,0,0.0,stim_min_2_a,p01,0,0,0,0
17,6.503,349.2282314,1,0,0.0,stim_min_2_a,p01,0,0,0,0
18,6.675,311.1269837,1,0,0.0,stim_min_2_a,p01,0,0,0,0
19,6.847,293.6647679,1,0,0.0,stim_min_2_a,p01,0,0,0,0
20,7.003,261.6255653,1,0,0.0,stim_min_2_a,p01,0,0,0,1
21,8.503,391.995436,1,0,0.0,stim_min_2_a,p01,1,1,0,1
22,9.002,261.6255653,1,0,0.0,stim_min_2_a,p01,0,0,0,0
23,9.505,261.6255653,1,0,0.0,stim_min_2_a,p01,0,0,0,0
24,10.02,261.6255653,1,0,0.0,stim_min_2_a,p01,0,0,1,1
25,10.504,415.3046976,1,0,0.0,stim_min_2_a,p01,0,0,0,0
26,10.754,349.2282314,1,0,0.0,stim_min_2_a,p01,0,0,0,0
27,11.023,246.9416506,1,0,0.0,stim_min_2_a,p01,1,0,0,1
28,11.501,246.9416506,1,0,0.0,stim_min_2_a,p01,0,0,0,0
29,12.005,246.9416506,1,0,0.0,stim_min_2_a,p01,0,0,0,1
30,12.255,261.6255653,1,0,0.0,stim_min_2_a,p01,0,0,0,0
31,12.506,293.6647679,1,0,0.0,stim_min_2_a,p01,0,0,0,0
32,12.756,311.1269837,1,0,0.0,stim_min_2_a,p01,0,0,0,0
33,13.021,349.2282314,1,0,0.0,stim_min_2_a,p01,1,0,0,1
34,13.255,311.1269837,1,0,0.0,stim_min_2_a,p01,0,0,0,0
35,13.505,293.6647679,1,0,0.0,stim_min_2_a,p01,0,0,0,0
36,13.755,311.1269837,1,0,0.0,stim_min_2_a,p01,0,0,0,0
37,14.004,349.2282314,23,0,0.0,stim_min_2_a,p01,0,0,1,1
38,14.254,415.3046976,23,0,0.0,stim_min_2_a,p01,0,0,0,0
39,14.504,391.995436,23,0,0.0,stim_min_2_a,p01,0,0,0,0
40,14.754,349.2282314,23,0,0.0,stim_min_2_a,p01,0,0,0,0
41,15.004,311.1269837,23,0,0.0,stim_min_2_a,p01,0,0,0,1
42,16.0,523.2511306,23,0,0.0,stim_min_2_a,p01,0,1,0,1
43,16.25,587.3295358,23,0,0.0,stim_min_2_a,p01,0,0,0,0
44,16.514,493.8833013,23,0,0.0,stim_min_2_a,p01,0,0,0,0
45,16.764,523.2511306,23,0,0.0,stim_min_2_a,p01,0,0,0,0
46,17.02,440.0,23,0,0.0,stim_min_2_a,p01,0,0,0,1
47,17.504,880.0,23,0,0.0,stim_min_2_a,p01,0,0,0,0
48,18.02,830.6093952,23,0,0.0,stim_min_2_a,p01,0,0,0,1
49,18.255,880.0,23,0,0.0,stim_min_2_a,p01,0,0,0,0
50,18.505,739.9888454,23,0,0.0,stim_min_2_a,p01,0,0,0,0
51,18.755,830.6093952,23,0,0.0,stim_min_2_a,p01,0,0,0,0
52,19.015,659.2551138,23,0,0.0,stim_min_2_a,p01,0,0,0,1
53,19.509,880.0,23,0,0.0,stim_min_2_a,p01,0,0,0,0
54,19.758,659.2551138,23,0,0.0,stim_min_2_a,p01,0,0,0,0
55,20.009,698.4564629,23,0,0.0,stim_min_2_a,p01,0,0,0,1
56,20.509,587.3295358,23,0,0.0,stim_min_2_a,p01,0,0,0,0
57,21.007,391.995436,23,0,0.0,stim_min_2_a,p01,0,0,0,1
58,21.507,783.990872,23,0,0.0,stim_min_2_a,p01,0,0,0,0
59,22.007,659.2551138,23,0,0.0,stim_min_2_a,p01,0,0,0,1
