,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,493.8833013,-35,0,0,output_2,p02,1,1,0,0
1,1.002,830.6093952,-35,0,0,output_2,p02,0,0,0,1
2,2.014,311.1269837,-35,0,0,output_2,p02,0,0,0,0
3,3.007,415.3046976,1,0,0,output_2,p02,1,1,1,1
4,4.006,369.9944227,1,0,0,output_2,p02,0,0,0,0
5,5.012,659.2551138,1,0,0,output_2,p02,0,0,0,1
6,6.01,261.6255653,1,0,0,output_2,p02,0,0,0,0
7,7.01,880.0,1,0,0,output_2,p02,0,0,0,1
8,8.005,493.8833013,1,0,0,output_2,p02,0,0,0,0
9,9.008,622.2539674,35,0,0,output_2,p02,0,1,1,1
10,10.008,493.8833013,35,0,0,output_2,p02,0,0,0,0
11,11.022,391.995436,35,0,0,output_2,p02,0,0,0,1
12,12.008,329.6275569,35,0,0,output_2,p02,0,0,0,0
13,13.009,220.0,35,0,0,output_2,p02,0,0,0,1
14,14.001,659.2551138,35,0,0,output_2,p02,0,0,0,0
15,15.013,698.4564629,35,0,0,output_2,p02,0,0,0,1
16,16.006,523.2511306,35,0,0,output_2,p02,0,0,0,0
17,17.013,659.2551138,1,0,0,output_2,p02,0,0,1,1
18,18.013,523.2511306,1,0,0,output_2,p02,0,0,0,0
19,19.013,659.2551138,1,0,0,output_2,p02,0,0,0,1
20,20.003,698.4564629,1,0,0,output_2,p02,0,0,0,0
21,21.007,587.3295358,1,0,0,output_2,p02,0,0,0,1
22,22.006,277.182631,1,0,0,output_2,p02,0,0,0,0
23,23.005,329.6275569,1,0,0,output_2,p02,0,0,0,1
24,24.004,466.1637615,1,0,0,output_2,p02,0,0,0,0
25,25.006,587.3295358,1,0,0,output_2,p02,0,0,0,1
26,26.004,329.6275569,1,0,0,output_2,p02,0,0,0,0
27,27.01,739.9888454,1,0,0,output_2,p02,0,0,0,1
28,28.005,698.4564629,1,0,0,output_2,p02,0,0,0,0
29,29.015,493.8833013,1,0,0,output_2,p02,0,0,0,1
30,30.013,783.990872,1,0,0,output_2,p02,0,0,0,0
31,31.0,277.182631,-35,0,0,output_2,p02,1,1,1,1
32,32.004,698.4564629,-35,0,0,output_2,p02,0,0,0,0
33,33.003,440.0,-35,0,0,output_2,p02,0,0,0,1
34,34.014,277.182631,-35,0,0,output_2,p02,0,0,0,0
35,35.001,311.1269837,-35,0,0,output_2,p02,0,0,0,1
36,36.001,622.2539674,-35,0,0,output_2,p02,0,0,0,0
37,37.025,349.2282314,-35,0,0,output_2,p02,0,0,0,1
38,38.011,466.1637615,-35,0,0,output_2,p02,0,0,0,0
39,39.01,349.2282314,-35,0,0,output_2,p02,0,0,0,1
40,40.002,415.3046976,1,0,0,output_2,p02,0,1,1,0
41,41.01,783.990872,1,0,0,output_2,p02,0,0,0,1
42,42.01,391.995436,1,0,0,output_2,p02,0,0,0,0
43,43.014,659.2551138,1,0,0,output_2,p02,0,0,0,1
44,44.013,554.365262,1,0,0,output_2,p02,0,0,0,0
45,45.009,233.0818808,1,0,0,output_2,p02,0,0,0,1
46,46.015,739.9888454,1,0,0,output_2,p02,0,0,0,0
47,47.002,440.0,35,0,0,output_2,p02,1,0,1,1
48,48.003,554.365262,35,0,0,output_2,p02,0,0,0,0
49,49.007,277.182631,35,0,0,output_2,p02,0,0,0,1
50,50.006,523.2511306,35,0,0,output_2,p02,0,0,0,0
51,51.014,466.1637615,35,0,0,output_2,p02,0,0,0,1
52,52.013,440.0,35,0,0,output_2,p02,0,0,0,0
53,53.009,783.990872,35,0,0,output_2,p02,0,0,0,1
54,54.008,880.0,35,0,0,output_2,p02,0,0,0,0
55,55.005,587.3295358,1,0,0,output_2,p02,1,0,1,1
56,56.005,329.6275569,1,0,0,output_2,p02,0,0,0,0
57,57.002,246.9416506,1,0,0,output_2,p02,0,0,0,1
58,58.003,233.0818808,1,0,0,output_2,p02,0,0,0,0
59,59.006,220.0,1,0,0,output_2,p02,0,1,0,1
