,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.25,261.6255653,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
1,0.5,293.6647679,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
2,0.765,329.6275569,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
3,1.015,349.2282314,-35,0,0.0,stim_maj_3_b,p02,0,0,0,1
4,1.265,293.6647679,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
5,1.515,329.6275569,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
6,1.765,261.6255653,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
7,2.012,391.995436,-35,0,0.0,stim_maj_3_b,p02,0,0,0,1
8,2.512,523.2511306,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
9,3.012,493.8833013,-35,0,0.0,stim_maj_3_b,p02,0,0,0,1
10,3.512,523.2511306,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
11,4.012,587.3295358,-35,0,0.0,stim_maj_3_b,p02,0,0,0,1
12,4.263,391.995436,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
13,4.513,440.0,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
14,4.762,493.8833013,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
15,5.012,523.2511306,-35,0,0.0,stim_maj_3_b,p02,0,0,0,1
16,5.26,440.0,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
17,5.51,493.8833013,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
18,5.76,391.995436,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
19,6.01,587.3295358,1,0,0.0,stim_maj_3_b,p02,1,0,1,1
20,6.51,783.990872,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
21,7.01,391.995436,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
22,8.259,783.990872,1,0,0.0,stim_maj_3_b,p02,1,1,0,1
23,8.511,391.995436,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
24,8.761,783.990872,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
25,9.011,783.990872,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
26,9.261,880.0,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
27,9.502,783.990872,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
28,9.751,880.0,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
29,10.013,698.4564629,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
30,10.263,698.4564629,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
31,10.513,349.2282314,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
32,10.763,698.4564629,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
33,11.013,698.4564629,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
34,11.263,783.990872,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
35,11.513,698.4564629,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
36,11.762,783.990872,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
37,12.012,659.2551138,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
38,12.262,391.995436,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
39,12.512,523.2511306,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
40,12.762,587.3295358,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
41,13.008,659.2551138,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
42,13.258,391.995436,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
43,13.508,523.2511306,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
44,13.758,587.3295358,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
45,14.008,659.2551138,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
46,14.133,698.4564629,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
47,14.271,587.3295358,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
48,14.381,659.2551138,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
49,14.504,523.2511306,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
50,15.004,391.995436,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
51,15.502,523.2511306,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
52,16.0,261.6255653,1,0,0.0,stim_maj_3_b,p02,0,1,0,1
53,17.014,293.6647679,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
54,18.014,329.6275569,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
55,19.014,349.2282314,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
56,20.002,349.2282314,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
57,20.502,329.6275569,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
58,21.015,293.6647679,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
59,21.512,391.995436,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
60,22.012,329.6275569,35,0,0.0,stim_maj_3_b,p02,0,0,1,1
61,22.508,293.6647679,35,0,0.0,stim_maj_3_b,p02,0,0,0,0
62,22.756,329.6275569,35,0,0.0,stim_maj_3_b,p02,0,0,0,0
63,23.005,261.6255653,35,0,0.0,stim_maj_3_b,p02,0,0,0,1
64,24.501,391.995436,1,0,0.0,stim_maj_3_b,p02,1,1,1,1
65,24.751,329.6275569,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
66,25.001,440.0,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
67,25.513,391.995436,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
68,26.013,349.2282314,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
69,26.514,329.6275569,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
70,26.76,293.6647679,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
71,27.01,391.995436,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
72,27.26,440.0,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
73,27.505,349.2282314,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
74,27.755,391.995436,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
75,28.003,329.6275569,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
76,28.253,349.2282314,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
77,28.504,391.995436,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
78,29.002,391.995436,-35,0,0.0,stim_maj_3_b,p02,1,0,1,1
79,29.515,349.2282314,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
80,30.015,329.6275569,-35,0,0.0,stim_maj_3_b,p02,0,0,0,1
81,30.265,349.2282314,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
82,30.504,391.995436,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
83,30.754,440.0,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
84,31.004,293.6647679,-35,0,0.0,stim_maj_3_b,p02,1,0,0,1
85,31.504,261.6255653,-35,0,0.0,stim_maj_3_b,p02,0,0,0,0
86,32.004,523.2511306,1,0,0.0,stim_maj_3_b,p02,0,1,1,1
87,32.502,493.8833013,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
88,32.752,523.2511306,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
89,33.002,587.3295358,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
90,33.502,523.2511306,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
91,33.752,493.8833013,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
92,34.002,523.2511306,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
93,35.014,523.2511306,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
94,35.264,587.3295358,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
95,35.513,493.8833013,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
96,35.763,523.2511306,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
97,36.013,587.3295358,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
98,36.261,391.995436,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
99,36.51,659.2551138,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
100,36.76,391.995436,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
101,37.01,698.4564629,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
102,37.261,391.995436,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
103,37.51,783.990872,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
104,38.01,659.2551138,35,0,0.0,stim_maj_3_b,p02,1,0,1,1
105,38.26,587.3295358,35,0,0.0,stim_maj_3_b,p02,0,0,0,0
106,38.51,523.2511306,35,0,0.0,stim_maj_3_b,p02,0,0,0,0
107,38.76,587.3295358,35,1,38.775,stim_maj_3_b,p02,0,0,0,0
108,39.009,493.8833013,35,0,0.0,stim_maj_3_b,p02,0,0,0,1
109,39.509,523.2511306,35,0,0.0,stim_maj_3_b,p02,0,0,0,0
110,40.507,391.995436,1,0,0.0,stim_maj_3_b,p02,0,1,1,1
111,41.007,329.6275569,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
112,41.507,440.0,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
113,42.005,293.6647679,1,0,0.0,stim_maj_3_b,p02,0,0,0,1
114,42.505,329.6275569,1,0,0.0,stim_maj_3_b,p02,0,0,0,0
