,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,-35,0,0,stim_min_2_b,p03,0,0,0,0
1,0.515,311.1269837,-35,0,0,stim_min_2_b,p03,0,0,0,0
2,1.015,261.6255653,-35,0,0,stim_min_2_b,p03,0,0,0,1
3,1.516,415.3046976,-35,0,0,stim_min_2_b,p03,0,0,0,0
4,2.015,415.3046976,-35,0,0,stim_min_2_b,p03,1,0,0,1
5,2.506,391.995436,-35,0,0,stim_min_2_b,p03,0,0,0,0
6,2.88,493.8833013,-35,0,0,stim_min_2_b,p03,0,0,0,0
7,3.005,523.2511306,-35,0,0,stim_min_2_b,p03,0,0,0,1
8,3.505,349.2282314,-35,0,0,stim_min_2_b,p03,0,0,0,0
9,4.003,349.2282314,-35,0,0,stim_min_2_b,p03,0,0,0,1
10,4.501,311.1269837,-35,0,0,stim_min_2_b,p03,0,0,0,0
11,4.876,493.8833013,-35,0,0,stim_min_2_b,p03,0,0,0,0
12,5.001,523.2511306,-35,0,0,stim_min_2_b,p03,0,0,0,1
13,5.501,293.6647679,-35,0,0,stim_min_2_b,p03,0,0,0,0
14,6.014,311.1269837,-35,0,0,stim_min_2_b,p03,0,0,0,1
15,6.17,349.2282314,-35,0,0,stim_min_2_b,p03,0,0,0,0
16,6.342,391.995436,-35,0,0,stim_min_2_b,p03,0,0,0,0
17,6.514,349.2282314,-35,0,0,stim_min_2_b,p03,0,0,0,0
18,6.67,311.1269837,-35,0,0,stim_min_2_b,p03,0,0,0,0
19,6.843,293.6647679,-35,0,0,stim_min_2_b,p03,0,0,0,0
20,7.015,261.6255653,1,0,0,stim_min_2_b,p03,0,0,1,1
21,8.512,391.995436,1,0,0,stim_min_2_b,p03,0,1,0,1
22,9.014,261.6255653,1,0,0,stim_min_2_b,p03,0,0,0,0
23,9.506,261.6255653,1,0,0,stim_min_2_b,p03,0,0,0,0
24,10.005,261.6255653,1,0,0,stim_min_2_b,p03,0,0,0,1
25,10.505,415.3046976,1,0,0,stim_min_2_b,p03,0,0,0,0
26,10.755,349.2282314,1,0,0,stim_min_2_b,p03,0,0,0,0
27,11.004,246.9416506,1,0,0,stim_min_2_b,p03,0,0,0,1
28,11.5,246.9416506,1,0,0,stim_min_2_b,p03,0,0,0,0
29,12.001,246.9416506,1,0,0,stim_min_2_b,p03,0,0,0,1
30,12.251,261.6255653,1,0,0,stim_min_2_b,p03,0,0,0,0
31,12.501,293.6647679,1,0,0,stim_min_2_b,p03,0,0,0,0
32,12.753,311.1269837,1,0,0,stim_min_2_b,p03,0,0,0,0
33,13.003,349.2282314,35,0,0,stim_min_2_b,p03,0,0,1,1
34,13.253,311.1269837,35,0,0,stim_min_2_b,p03,0,0,0,0
35,13.503,293.6647679,35,0,0,stim_min_2_b,p03,0,0,0,0
36,13.752,311.1269837,35,0,0,stim_min_2_b,p03,0,0,0,0
37,14.002,349.2282314,35,0,0,stim_min_2_b,p03,0,0,0,1
38,14.252,415.3046976,35,0,0,stim_min_2_b,p03,0,0,0,0
39,14.502,391.995436,35,0,0,stim_min_2_b,p03,0,0,0,0
40,14.752,349.2282314,35,0,0,stim_min_2_b,p03,0,0,0,0
41,15.002,311.1269837,1,0,0,stim_min_2_b,p03,1,0,1,1
42,16.001,523.2511306,1,0,0,stim_min_2_b,p03,0,1,0,1
43,16.251,587.3295358,1,0,0,stim_min_2_b,p03,0,0,0,0
44,16.514,493.8833013,1,0,0,stim_min_2_b,p03,0,0,0,0
45,16.765,523.2511306,1,0,0,stim_min_2_b,p03,0,0,0,0
46,17.015,440.0,1,0,0,stim_min_2_b,p03,0,0,0,1
47,17.515,880.0,1,0,0,stim_min_2_b,p03,0,0,0,0
48,18.015,830.6093952,1,0,0,stim_min_2_b,p03,0,0,0,1
49,18.265,880.0,1,0,0,stim_min_2_b,p03,0,0,0,0
50,18.515,739.9888454,1,0,0,stim_min_2_b,p03,0,0,0,0
51,18.765,830.6093952,1,0,0,stim_min_2_b,p03,0,0,0,0
52,19.015,659.2551138,1,0,0,stim_min_2_b,p03,0,0,0,1
53,19.514,880.0,1,0,0,stim_min_2_b,p03,0,0,0,0
54,19.764,659.2551138,1,0,0,stim_min_2_b,p03,0,0,0,0
55,20.014,698.4564629,-35,0,0,stim_min_2_b,p03,1,0,1,1
56,20.515,587.3295358,-35,0,0,stim_min_2_b,p03,0,0,0,0
57,21.014,391.995436,-35,0,0,stim_min_2_b,p03,0,0,0,1
58,21.514,783.990872,-35,0,0,stim_min_2_b,p03,0,0,0,0
59,22.014,659.2551138,-35,0,0,stim_min_2_b,p03,0,0,0,1
60,22.263,698.4564629,-35,0,0,stim_min_2_b,p03,0,0,0,0
61,22.513,587.3295358,-35,0,0,stim_min_2_b,p03,0,0,0,0
62,22.764,659.2551138,-35,0,0,stim_min_2_b,p03,0,0,0,0
63,23.012,523.2511306,-35,0,0,stim_min_2_b,p03,0,0,0,1
64,24.511,261.6255653,1,0,0,stim_min_2_b,p03,1,1,1,1
65,25.011,261.6255653,1,0,0,stim_min_2_b,p03,0,0,0,0
66,25.502,261.6255653,1,0,0,stim_min_2_b,p03,0,0,0,0
67,26.001,293.6647679,1,0,0,stim_min_2_b,p03,0,0,0,1
68,26.5,293.6647679,1,0,0,stim_min_2_b,p03,0,0,0,0
69,27.0,293.6647679,1,0,0,stim_min_2_b,p03,1,0,0,1
70,27.25,311.1269837,1,0,0,stim_min_2_b,p03,0,0,0,0
71,27.501,349.2282314,1,0,0,stim_min_2_b,p03,0,0,0,0
72,27.751,293.6647679,1,0,0,stim_min_2_b,p03,0,0,0,0
73,28.001,311.1269837,1,0,0,stim_min_2_b,p03,0,0,0,1
74,28.501,293.6647679,1,0,0,stim_min_2_b,p03,0,0,0,0
75,28.765,311.1269837,1,0,0,stim_min_2_b,p03,0,0,0,0
76,29.015,261.6255653,1,0,0,stim_min_2_b,p03,0,0,0,1
77,29.515,293.6647679,1,0,0,stim_min_2_b,p03,0,0,0,0
78,30.015,311.1269837,1,0,0,stim_min_2_b,p03,0,0,0,1
79,30.262,293.6647679,1,0,0,stim_min_2_b,p03,0,0,0,0
80,30.504,311.1269837,1,0,0,stim_min_2_b,p03,0,0,0,0
81,30.755,349.2282314,1,0,0,stim_min_2_b,p03,0,0,0,0
82,31.005,391.995436,1,0,0,stim_min_2_b,p03,0,0,0,1
83,32.005,261.6255653,35,0,0,stim_min_2_b,p03,1,1,1,1
84,33.005,391.995436,35,0,0,stim_min_2_b,p03,0,0,0,1
85,34.006,311.1269837,35,0,0,stim_min_2_b,p03,0,0,0,1
86,35.506,293.6647679,35,0,0,stim_min_2_b,p03,0,0,0,0
87,36.005,261.6255653,35,0,0,stim_min_2_b,p03,0,0,0,1
