,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-35,0,0.0,stim_maj_2_b,p05,0,0,0,0
1,0.516,440.0,-35,0,0.0,stim_maj_2_b,p05,0,0,0,0
2,1.515,391.995436,-35,0,0.0,stim_maj_2_b,p05,0,0,0,0
3,2.012,349.2282314,-35,0,0.0,stim_maj_2_b,p05,0,0,0,1
4,2.513,349.2282314,-35,0,0.0,stim_maj_2_b,p05,0,0,0,0
5,2.763,329.6275569,-35,0,0.0,stim_maj_2_b,p05,0,0,0,0
6,3.013,349.2282314,-35,0,0.0,stim_maj_2_b,p05,0,0,0,1
7,3.509,440.0,-35,0,0.0,stim_maj_2_b,p05,0,0,0,0
8,4.005,293.6647679,-35,0,0.0,stim_maj_2_b,p05,0,0,0,1
9,4.505,391.995436,-35,0,0.0,stim_maj_2_b,p05,0,0,0,0
10,5.501,349.2282314,-35,0,0.0,stim_maj_2_b,p05,0,0,0,0
11,6.014,329.6275569,-35,0,0.0,stim_maj_2_b,p05,0,0,0,1
12,6.514,329.6275569,-35,0,0.0,stim_maj_2_b,p05,0,0,0,0
13,6.76,293.6647679,-35,0,0.0,stim_maj_2_b,p05,0,0,0,0
14,7.01,329.6275569,1,1,7.463,stim_maj_2_b,p05,1,0,1,1
15,7.508,261.6255653,1,0,0.0,stim_maj_2_b,p05,0,0,0,0
16,8.504,391.995436,1,0,0.0,stim_maj_2_b,p05,0,1,0,1
17,9.001,329.6275569,1,0,0.0,stim_maj_2_b,p05,0,0,0,0
18,9.501,440.0,1,0,0.0,stim_maj_2_b,p05,0,0,0,0
19,10.014,293.6647679,1,0,0.0,stim_maj_2_b,p05,0,0,0,1
20,10.514,329.6275569,1,0,0.0,stim_maj_2_b,p05,0,0,0,0
21,10.763,349.2282314,1,0,0.0,stim_maj_2_b,p05,0,0,0,0
22,11.013,391.995436,1,0,0.0,stim_maj_2_b,p05,0,0,0,1
23,11.51,195.997718,1,0,0.0,stim_maj_2_b,p05,0,0,0,0
24,12.007,261.6255653,35,0,0.0,stim_maj_2_b,p05,0,0,1,1
25,12.507,293.6647679,35,0,0.0,stim_maj_2_b,p05,0,0,0,0
26,12.757,329.6275569,35,0,0.0,stim_maj_2_b,p05,0,0,0,0
27,13.003,349.2282314,35,0,0.0,stim_maj_2_b,p05,0,0,0,1
