,Unnamed: 0,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration
0,0,0.266,261.6255653,-35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
1,1,0.516,293.6647679,-35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
2,2,0.75,329.6275569,-35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
3,3,1.012,349.2282314,-35,0,0.0,stim_maj_3_a,p05,0,0,0,1,0.235416667
4,4,1.262,293.6647679,-35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
5,5,1.512,329.6275569,-35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
6,6,1.762,261.6255653,-35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
7,7,2.012,391.995436,-35,0,0.0,stim_maj_3_a,p05,0,0,0,1,0.472916667
8,8,2.508,523.2511306,-35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.472916667
9,9,3.008,493.8833013,-35,0,0.0,stim_maj_3_a,p05,0,0,0,1,0.472916667
10,10,3.507,523.2511306,-35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.472916667
11,11,4.007,587.3295358,1,0,0.0,stim_maj_3_a,p05,1,0,1,1,0.235416667
12,12,4.253,391.995436,1,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
13,13,4.503,440.0,1,1,4.565,stim_maj_3_a,p05,0,0,0,0,0.235416667
14,14,4.755,493.8833013,1,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
15,15,5.001,523.2511306,1,0,0.0,stim_maj_3_a,p05,0,0,0,1,0.235416667
16,16,5.251,440.0,1,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
17,17,5.501,493.8833013,1,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
18,18,5.764,391.995436,1,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
19,19,6.014,587.3295358,1,0,0.0,stim_maj_3_a,p05,0,0,0,1,0.472916667
20,20,6.51,783.990872,1,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.472916667
21,21,7.01,391.995436,35,0,0.0,stim_maj_3_a,p05,0,0,1,1,1.185416667
22,22,8.264,783.990872,35,0,0.0,stim_maj_3_a,p05,0,1,0,1,0.235416667
23,23,8.514,391.995436,35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
24,24,8.764,783.990872,35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
25,25,9.011,783.990872,35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
26,26,9.261,880.0,35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
27,27,9.511,783.990872,35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
28,28,9.761,880.0,35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
29,29,10.007,698.4564629,35,0,0.0,stim_maj_3_a,p05,0,0,0,1,0.235416667
30,30,10.257,698.4564629,35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
31,31,10.504,349.2282314,35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
32,32,10.753,698.4564629,35,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
33,33,11.003,698.4564629,1,0,0.0,stim_maj_3_a,p05,1,0,1,1,0.235416667
34,34,11.253,783.990872,1,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
35,35,11.503,698.4564629,1,1,11.535,stim_maj_3_a,p05,0,0,0,0,0.235416667
36,36,11.765,783.990872,1,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
37,37,12.012,659.2551138,1,0,0.0,stim_maj_3_a,p05,0,0,0,1,0.235416667
38,38,12.262,391.995436,1,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
39,39,12.512,523.2511306,1,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
40,40,12.761,587.3295358,1,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
41,41,13.011,659.2551138,1,0,0.0,stim_maj_3_a,p05,0,0,0,1,0.235416667
42,42,13.258,391.995436,1,0,0.0,stim_maj_3_a,p05,0,0,0,0,0.235416667
