,Unnamed: 0,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration
0,0,0.016,391.995436,-35,0,0.0,stim_min_2_a,p05,0,0,0,0,0.472916667
1,1,0.516,311.1269837,-35,0,0.0,stim_min_2_a,p05,0,0,0,0,0.472916667
2,2,1.012,261.6255653,-35,0,0.0,stim_min_2_a,p05,0,0,0,1,0.472916667
3,3,1.509,415.3046976,-35,0,0.0,stim_min_2_a,p05,0,0,0,0,0.472916667
4,4,2.009,415.3046976,-35,0,0.0,stim_min_2_a,p05,0,0,0,1,0.472916667
5,5,2.505,391.995436,-35,0,0.0,stim_min_2_a,p05,0,0,0,0,0.354166667
6,6,2.876,493.8833013,-35,0,0.0,stim_min_2_a,p05,0,0,0,0,0.116666667
7,7,3.001,523.2511306,-35,0,0.0,stim_min_2_a,p05,0,0,0,1,0.472916667
8,8,3.501,349.2282314,-35,0,0.0,stim_min_2_a,p05,0,0,0,0,0.472916667
9,9,4.001,349.2282314,-35,0,0.0,stim_min_2_a,p05,0,0,0,1,0.472916667
10,10,4.501,311.1269837,-35,0,0.0,stim_min_2_a,p05,0,0,0,0,0.354166667
11,11,4.888,493.8833013,-35,0,0.0,stim_min_2_a,p05,0,0,0,0,0.116666667
12,12,5.013,523.2511306,-35,0,0.0,stim_min_2_a,p05,0,0,0,1,0.472916667
13,13,5.512,293.6647679,-35,0,0.0,stim_min_2_a,p05,0,0,0,0,0.472916667
14,14,6.014,311.1269837,1,0,0.0,stim_min_2_a,p05,0,0,1,1,0.15625
15,15,6.17,349.2282314,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.15625
16,16,6.342,391.995436,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.15625
17,17,6.514,349.2282314,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.15625
18,18,6.67,311.1269837,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.15625
19,19,6.842,293.6647679,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.15625
20,20,7.01,261.6255653,1,0,0.0,stim_min_2_a,p05,0,0,0,1,1.422916667
21,21,8.51,391.995436,1,0,0.0,stim_min_2_a,p05,0,1,0,1,0.472916667
22,22,9.005,261.6255653,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.472916667
23,23,9.505,261.6255653,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.472916667
24,24,10.005,261.6255653,1,0,0.0,stim_min_2_a,p05,0,0,0,1,0.472916667
25,25,10.505,415.3046976,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
26,26,10.755,349.2282314,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
27,27,11.005,246.9416506,1,0,0.0,stim_min_2_a,p05,0,0,0,1,0.472916667
28,28,11.502,246.9416506,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.472916667
29,29,12.014,246.9416506,1,0,0.0,stim_min_2_a,p05,1,0,0,1,0.235416667
30,30,12.26,261.6255653,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
31,31,12.51,293.6647679,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
32,32,12.762,311.1269837,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
33,33,13.008,349.2282314,1,0,0.0,stim_min_2_a,p05,0,0,0,1,0.235416667
34,34,13.251,311.1269837,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
35,35,13.501,293.6647679,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
36,36,13.75,311.1269837,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
37,37,14.0,349.2282314,1,0,0.0,stim_min_2_a,p05,0,0,0,1,0.235416667
38,38,14.25,415.3046976,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
39,39,14.512,391.995436,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
40,40,14.762,349.2282314,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
41,41,15.015,311.1269837,1,0,0.0,stim_min_2_a,p05,0,0,0,1,0.947916667
42,42,16.008,523.2511306,35,0,0.0,stim_min_2_a,p05,1,1,1,1,0.235416667
43,43,16.258,587.3295358,35,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
44,44,16.508,493.8833013,35,1,16.618,stim_min_2_a,p05,0,0,0,0,0.235416667
45,45,16.785,523.2511306,35,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
46,46,17.004,440.0,35,0,0.0,stim_min_2_a,p05,0,0,0,1,0.472916667
47,47,17.509,880.0,35,0,0.0,stim_min_2_a,p05,0,0,0,0,0.472916667
48,48,18.009,830.6093952,1,0,0.0,stim_min_2_a,p05,1,0,1,1,0.235416667
49,49,18.259,880.0,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
50,50,18.505,739.9888454,1,1,18.63,stim_min_2_a,p05,0,0,0,0,0.235416667
51,51,18.755,830.6093952,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
52,52,19.005,659.2551138,1,0,0.0,stim_min_2_a,p05,0,0,0,1,0.472916667
53,53,19.502,880.0,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
54,54,19.752,659.2551138,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
55,55,20.002,698.4564629,1,0,0.0,stim_min_2_a,p05,0,0,0,1,0.472916667
56,56,20.502,587.3295358,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.472916667
57,57,21.002,391.995436,1,0,0.0,stim_min_2_a,p05,0,0,0,1,0.472916667
58,58,21.502,783.990872,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.472916667
59,59,22.014,659.2551138,1,0,0.0,stim_min_2_a,p05,0,0,0,1,0.235416667
60,60,22.26,698.4564629,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
61,61,22.51,587.3295358,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
62,62,22.758,659.2551138,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
63,63,23.009,523.2511306,1,0,0.0,stim_min_2_a,p05,0,0,0,1,1.422916667
64,64,24.506,261.6255653,1,0,0.0,stim_min_2_a,p05,1,1,0,1,0.472916667
65,65,25.006,261.6255653,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.472916667
66,66,25.502,261.6255653,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.472916667
67,67,26.014,293.6647679,1,0,0.0,stim_min_2_a,p05,0,0,0,1,0.472916667
68,68,26.514,293.6647679,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.472916667
69,69,27.01,293.6647679,1,0,0.0,stim_min_2_a,p05,0,0,0,1,0.235416667
70,70,27.256,311.1269837,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
71,71,27.506,349.2282314,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
72,72,27.756,293.6647679,1,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
73,73,28.002,311.1269837,-35,0,0.0,stim_min_2_a,p05,1,0,1,1,0.472916667
74,74,28.502,293.6647679,-35,1,28.565,stim_min_2_a,p05,0,0,0,0,0.235416667
75,75,28.752,311.1269837,-35,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
76,76,29.002,261.6255653,-35,0,0.0,stim_min_2_a,p05,0,0,0,1,0.472916667
77,77,29.515,293.6647679,-35,0,0.0,stim_min_2_a,p05,0,0,0,0,0.472916667
78,78,30.014,311.1269837,-35,0,0.0,stim_min_2_a,p05,0,0,0,1,0.235416667
79,79,30.261,293.6647679,-35,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
80,80,30.511,311.1269837,-35,0,0.0,stim_min_2_a,p05,0,0,0,0,0.235416667
