,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.515,523.2511306,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
1,0.765,493.8833013,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
2,1.015,523.2511306,-35,0,0.0,stim_min_3_b,p05,0,0,0,1
3,1.265,587.3295358,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
4,1.515,622.2539674,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
5,1.765,391.995436,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
6,2.015,415.3046976,-35,0,0.0,stim_min_3_b,p05,0,0,0,1
7,2.265,466.1637615,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
8,2.515,415.3046976,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
9,2.765,349.2282314,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
10,3.012,698.4564629,-35,0,0.0,stim_min_3_b,p05,0,0,0,1
11,3.262,622.2539674,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
12,3.512,587.3295358,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
13,3.762,523.2511306,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
14,4.008,493.8833013,-35,0,0.0,stim_min_3_b,p05,0,0,0,1
15,4.258,830.6093952,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
16,4.509,783.990872,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
17,4.759,698.4564629,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
18,5.009,622.2539674,-35,0,0.0,stim_min_3_b,p05,0,0,0,1
19,5.259,587.3295358,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
20,5.509,523.2511306,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
21,5.759,493.8833013,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
22,6.006,523.2511306,-35,0,0.0,stim_min_3_b,p05,0,0,0,1
23,6.256,587.3295358,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
24,6.506,622.2539674,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
25,6.881,587.3295358,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
26,7.006,523.2511306,-35,0,0.0,stim_min_3_b,p05,0,0,0,1
27,7.125,587.3295358,-35,0,0.0,stim_min_3_b,p05,0,0,0,0
