,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1_a,p07,0,0,0,0,0.235416667
1,0.256,493.8833013,-17.5,0,0.0,stim_min_1_a,p07,0,0,0,0,0.235416667
2,0.503,523.2511306,-17.5,0,0.0,stim_min_1_a,p07,0,0,0,0,0.472916667
3,1.009,391.995436,-17.5,0,0.0,stim_min_1_a,p07,0,0,0,1,0.472916667
4,1.506,415.3046976,-17.5,0,0.0,stim_min_1_a,p07,0,0,0,0,0.472916667
5,2.011,523.2511306,1.0,0,0.0,stim_min_1_a,p07,1,0,1,1,0.235416667
6,2.261,493.8833013,1.0,0,0.0,stim_min_1_a,p07,0,0,0,0,0.235416667
7,2.51,523.2511306,1.0,1,2.573,stim_min_1_a,p07,0,0,0,0,0.472916667
8,3.006,587.3295358,1.0,0,0.0,stim_min_1_a,p07,0,0,0,1,0.472916667
9,3.502,391.995436,1.0,0,0.0,stim_min_1_a,p07,0,0,0,0,0.472916667
10,4.002,523.2511306,17.5,0,0.0,stim_min_1_a,p07,1,0,1,1,0.235416667
11,4.252,493.8833013,17.5,0,0.0,stim_min_1_a,p07,0,0,0,0,0.235416667
12,4.502,523.2511306,17.5,1,4.533,stim_min_1_a,p07,0,0,0,0,0.472916667
13,5.011,587.3295358,17.5,0,0.0,stim_min_1_a,p07,0,0,0,1,0.472916667
14,5.521,349.2282314,17.5,0,0.0,stim_min_1_a,p07,0,0,0,0,0.235416667
15,5.756,391.995436,17.5,0,0.0,stim_min_1_a,p07,0,0,0,0,0.235416667
16,6.008,415.3046976,17.5,0,0.0,stim_min_1_a,p07,0,0,0,1,0.235416667
17,6.258,391.995436,17.5,0,0.0,stim_min_1_a,p07,0,0,0,0,0.235416667
18,6.508,349.2282314,17.5,0,0.0,stim_min_1_a,p07,0,0,0,0,0.472916667
19,7.008,311.1269837,17.5,0,0.0,stim_min_1_a,p07,0,0,0,1,0.947916667
20,8.005,261.6255653,1.0,1,8.842,stim_min_1_a,p07,1,1,1,1,0.947916667
21,9.013,391.995436,1.0,0,0.0,stim_min_1_a,p07,0,0,0,1,1.422916667
22,10.51,415.3046976,1.0,0,0.0,stim_min_1_a,p07,0,0,0,0,0.472916667
23,11.01,391.995436,1.0,0,0.0,stim_min_1_a,p07,0,0,0,1,0.472916667
24,11.512,349.2282314,1.0,0,0.0,stim_min_1_a,p07,0,0,0,0,0.472916667
25,12.014,311.1269837,1.0,0,0.0,stim_min_1_a,p07,0,0,0,1,0.472916667
26,12.514,349.2282314,1.0,0,0.0,stim_min_1_a,p07,0,0,0,0,0.472916667
27,13.01,391.995436,1.0,0,0.0,stim_min_1_a,p07,0,0,0,1,0.947916667
28,14.007,246.9416506,1.0,0,0.0,stim_min_1_a,p07,0,0,0,1,0.472916667
29,14.502,261.6255653,1.0,0,0.0,stim_min_1_a,p07,0,0,0,0,1.422916667
30,16.001,391.995436,-17.5,0,0.0,stim_min_1_a,p07,0,1,1,1,0.947916667
31,17.014,415.3046976,-17.5,0,0.0,stim_min_1_a,p07,0,0,0,1,0.947916667
32,18.013,391.995436,-17.5,0,0.0,stim_min_1_a,p07,0,0,0,1,0.947916667
33,19.003,369.9944227,-17.5,0,0.0,stim_min_1_a,p07,0,0,0,1,0.947916667
34,20.009,493.8833013,-17.5,0,0.0,stim_min_1_a,p07,0,0,0,1,0.947916667
