,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.472916667
1,0.512,440.0,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.947916667
2,1.512,391.995436,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.472916667
3,2.009,349.2282314,1.0,0,0.0,stim_maj_2_a,p11,1,0,1,1,0.472916667
4,2.509,349.2282314,1.0,1,2.634,stim_maj_2_a,p11,0,0,0,0,0.235416667
5,2.759,329.6275569,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
6,3.009,349.2282314,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.472916667
7,3.509,440.0,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.472916667
8,4.009,293.6647679,17.5,0,0.0,stim_maj_2_a,p11,0,0,1,1,0.472916667
9,4.507,391.995436,17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.947916667
10,5.503,349.2282314,17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.472916667
11,6.0,329.6275569,17.5,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.472916667
12,6.513,329.6275569,17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
13,6.765,293.6647679,17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
14,7.001,329.6275569,17.5,0,0.0,stim_maj_2_a,p11,1,0,0,1,0.472916667
15,7.512,261.6255653,17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.947916667
16,8.509,391.995436,1.0,0,0.0,stim_maj_2_a,p11,0,1,1,1,0.472916667
17,9.009,329.6275569,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.472916667
18,9.509,440.0,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.472916667
19,10.009,293.6647679,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.472916667
20,10.505,329.6275569,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
21,10.754,349.2282314,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
22,11.004,391.995436,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.472916667
23,11.501,195.997718,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.472916667
24,12.001,261.6255653,-17.5,0,0.0,stim_maj_2_a,p11,1,0,1,1,0.472916667
25,12.503,293.6647679,-17.5,1,12.519,stim_maj_2_a,p11,0,0,0,0,0.235416667
26,12.753,329.6275569,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
27,13.003,349.2282314,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,1,1.185416667
28,14.255,391.995436,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
29,14.502,329.6275569,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
30,14.751,349.2282314,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
31,15.001,293.6647679,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.472916667
32,15.513,261.6255653,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.947916667
33,16.511,261.6255653,-17.5,0,0.0,stim_maj_2_a,p11,0,1,0,0,0.235416667
34,16.761,293.6647679,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
35,17.011,329.6275569,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.235416667
36,17.258,293.6647679,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
37,17.508,261.6255653,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
38,17.758,329.6275569,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
39,18.005,293.6647679,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.235416667
40,18.255,349.2282314,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
41,18.505,329.6275569,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.710416667
42,19.252,391.995436,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
43,19.515,349.2282314,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.710416667
44,20.261,440.0,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
45,20.507,391.995436,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
46,20.755,349.2282314,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
47,21.005,391.995436,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.235416667
48,21.255,293.6647679,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
49,21.505,329.6275569,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
50,21.752,349.2282314,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
51,22.002,329.6275569,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.235416667
52,22.265,261.6255653,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
53,22.515,293.6647679,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.472916667
54,23.012,261.6255653,-17.5,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.947916667
55,24.008,523.2511306,1.0,0,0.0,stim_maj_2_a,p11,1,1,1,1,0.472916667
56,24.508,523.2511306,1.0,1,24.555,stim_maj_2_a,p11,0,0,0,0,0.472916667
57,25.004,659.2551138,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,1.422916667
58,26.514,587.3295358,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.472916667
59,27.01,523.2511306,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.472916667
60,27.507,523.2511306,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.472916667
61,28.009,523.2511306,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.472916667
62,28.509,493.8833013,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
63,28.759,523.2511306,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
64,29.006,587.3295358,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,1.422916667
65,30.514,659.2551138,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.472916667
66,31.001,523.2511306,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.947916667
67,32.013,391.995436,1.0,0,0.0,stim_maj_2_a,p11,0,1,0,1,0.472916667
68,32.513,440.0,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
69,32.763,493.8833013,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,0,0.235416667
70,33.009,523.2511306,1.0,0,0.0,stim_maj_2_a,p11,0,0,0,1,0.472916667
