,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
1,0.266,493.8833013,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
2,0.515,523.2511306,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
3,1.011,391.995436,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
4,1.511,415.3046976,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
5,2.011,523.2511306,1.0,0,0.0,stim_min_1_b,p11,1,0,1,1,0.235416667
6,2.261,493.8833013,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
7,2.511,523.2511306,1.0,1,2.94,stim_min_1_b,p11,0,0,0,0,0.472916667
8,3.008,587.3295358,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
9,3.501,391.995436,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
10,4.012,523.2511306,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.235416667
11,4.258,493.8833013,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
12,4.508,523.2511306,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
13,5.004,587.3295358,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
14,5.506,349.2282314,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
15,5.753,391.995436,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
16,6.003,415.3046976,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.235416667
17,6.252,391.995436,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
18,6.502,349.2282314,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
19,7.001,311.1269837,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.947916667
20,8.013,261.6255653,1.0,0,0.0,stim_min_1_b,p11,0,1,0,1,0.947916667
21,9.01,391.995436,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,1.422916667
22,10.505,415.3046976,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
23,11.002,391.995436,17.5,0,0.0,stim_min_1_b,p11,1,0,1,1,0.472916667
24,11.501,349.2282314,17.5,1,11.626,stim_min_1_b,p11,0,0,0,0,0.472916667
25,12.001,311.1269837,17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
26,12.514,349.2282314,17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
27,13.01,391.995436,17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.947916667
28,14.004,246.9416506,17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
29,14.504,261.6255653,17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,1.422916667
30,16.0,391.995436,17.5,0,0.0,stim_min_1_b,p11,1,1,0,1,0.947916667
31,17.013,415.3046976,17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.947916667
32,18.013,391.995436,17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.947916667
33,19.01,369.9944227,17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.947916667
34,20.006,493.8833013,17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.947916667
35,21.006,523.2511306,17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.947916667
36,22.003,349.2282314,17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.947916667
37,23.003,311.1269837,1.0,1,23.574,stim_min_1_b,p11,1,0,1,1,1.422916667
38,24.511,391.995436,1.0,0,0.0,stim_min_1_b,p11,0,1,0,1,0.472916667
39,25.011,415.3046976,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
40,25.507,261.6255653,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
41,26.004,246.9416506,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.947916667
42,27.004,261.6255653,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,1.422916667
43,28.5,293.6647679,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
44,28.762,311.1269837,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
45,29.012,349.2282314,-17.5,0,0.0,stim_min_1_b,p11,0,0,1,1,0.472916667
46,29.509,311.1269837,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
47,29.757,293.6647679,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
48,30.007,311.1269837,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.947916667
49,31.003,261.6255653,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.947916667
50,32.015,261.6255653,1.0,1,32.78,stim_min_1_b,p11,1,1,1,1,0.947916667
51,33.01,246.9416506,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
52,33.51,261.6255653,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
53,33.756,293.6647679,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
54,34.006,311.1269837,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
55,34.503,293.6647679,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
56,35.002,261.6255653,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
57,35.502,369.9944227,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
58,36.015,391.995436,17.5,0,0.0,stim_min_1_b,p11,1,0,1,1,0.472916667
59,36.515,233.0818808,17.5,1,36.627,stim_min_1_b,p11,0,0,0,0,0.472916667
60,37.014,261.6255653,17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
61,37.514,261.6255653,17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
62,38.01,293.6647679,1.0,0,0.0,stim_min_1_b,p11,0,0,1,1,0.472916667
63,38.506,293.6647679,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
64,39.002,195.997718,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.947916667
65,40.014,261.6255653,-17.5,0,0.0,stim_min_1_b,p11,1,1,1,1,0.472916667
66,40.514,293.6647679,-17.5,1,40.764,stim_min_1_b,p11,0,0,0,0,0.472916667
67,41.01,311.1269837,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
68,41.51,311.1269837,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
69,41.767,293.6647679,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
70,42.006,311.1269837,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
71,42.503,349.2282314,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
72,43.003,391.995436,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.235416667
73,43.253,349.2282314,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
74,43.503,311.1269837,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
75,43.765,349.2282314,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
76,44.015,391.995436,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
77,44.515,415.3046976,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
78,45.015,246.9416506,-17.5,0,0.0,stim_min_1_b,p11,1,0,0,1,0.472916667
79,45.511,195.997718,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
80,46.007,195.997718,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.235416667
81,46.257,220.0,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
82,46.503,246.9416506,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
83,47.004,261.6255653,-17.5,0,0.0,stim_min_1_b,p11,0,0,0,1,0.947916667
84,48.0,391.995436,1.0,0,0.0,stim_min_1_b,p11,0,1,1,1,0.472916667
85,48.5,311.1269837,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
86,49.012,349.2282314,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
87,49.51,391.995436,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
88,50.007,261.6255653,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
89,50.501,349.2282314,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
90,51.004,311.1269837,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.235416667
91,51.254,293.6647679,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
92,51.504,311.1269837,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.947916667
93,52.515,349.2282314,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
94,52.765,311.1269837,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.235416667
95,53.015,293.6647679,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
96,53.511,311.1269837,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
97,54.007,246.9416506,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
98,54.504,261.6255653,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,1.422916667
99,56.012,261.6255653,1.0,0,0.0,stim_min_1_b,p11,1,1,0,1,0.15625
100,56.168,293.6647679,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.15625
101,56.34,311.1269837,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.15625
102,56.512,349.2282314,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.15625
103,56.668,311.1269837,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.15625
104,56.84,293.6647679,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.15625
105,57.008,311.1269837,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.15625
106,57.18,349.2282314,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.15625
107,57.348,391.995436,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.15625
108,57.504,415.3046976,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.15625
109,57.676,391.995436,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.15625
110,57.848,349.2282314,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.15625
111,58.004,391.995436,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
112,58.5,523.2511306,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
113,59.012,493.8833013,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
114,59.512,466.1637615,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
115,60.012,440.0,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
116,60.503,415.3046976,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
117,61.003,391.995436,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.472916667
118,61.515,349.2282314,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.472916667
119,62.015,349.2282314,1.0,0,0.0,stim_min_1_b,p11,0,0,0,1,0.314583333
120,62.343,311.1269837,1.0,0,0.0,stim_min_1_b,p11,0,0,0,0,0.314583333
