,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
1,0.509,440.0,-17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
2,1.512,391.995436,-17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
3,2.009,349.2282314,1.0,0,0.0,stim_maj_2_a,p13,1,0,1,1
4,2.506,349.2282314,1.0,1,2.741,stim_maj_2_a,p13,0,0,0,0
5,2.756,329.6275569,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
6,3.006,349.2282314,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,1
7,3.501,440.0,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
8,4.015,293.6647679,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,1
9,4.505,391.995436,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
10,5.501,349.2282314,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
11,6.001,329.6275569,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,1
12,6.508,329.6275569,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
13,6.758,293.6647679,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
14,7.015,329.6275569,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,1
15,7.511,261.6255653,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
16,8.511,391.995436,1.0,0,0.0,stim_maj_2_a,p13,1,1,0,1
17,9.014,329.6275569,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
18,9.514,440.0,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
19,10.014,293.6647679,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,1
20,10.514,329.6275569,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
21,10.756,349.2282314,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
22,11.006,391.995436,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,1
23,11.506,195.997718,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
24,12.006,261.6255653,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,1
25,12.504,293.6647679,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
26,12.754,329.6275569,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
27,13.004,349.2282314,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,1
28,14.252,391.995436,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
29,14.505,329.6275569,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
30,14.764,349.2282314,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
31,15.005,293.6647679,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,1
32,15.506,261.6255653,1.0,0,0.0,stim_maj_2_a,p13,0,0,0,0
33,16.515,261.6255653,17.5,0,0.0,stim_maj_2_a,p13,1,1,1,0
34,16.765,293.6647679,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
35,17.015,329.6275569,17.5,1,17.075,stim_maj_2_a,p13,0,0,0,1
36,17.262,293.6647679,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
37,17.512,261.6255653,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
38,17.762,329.6275569,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
39,18.004,293.6647679,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,1
40,18.265,349.2282314,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
41,18.515,329.6275569,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
42,19.265,391.995436,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
43,19.502,349.2282314,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
44,20.256,440.0,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
45,20.506,391.995436,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
46,20.756,349.2282314,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
47,21.002,391.995436,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,1
48,21.252,293.6647679,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
49,21.502,329.6275569,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
50,21.759,349.2282314,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
51,22.006,329.6275569,17.5,0,0.0,stim_maj_2_a,p13,1,0,0,1
52,22.261,261.6255653,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
53,22.513,293.6647679,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,0
54,23.001,261.6255653,17.5,0,0.0,stim_maj_2_a,p13,0,0,0,1
55,24.013,523.2511306,1.0,0,0.0,stim_maj_2_a,p13,1,1,1,1
