,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
1,0.516,311.1269837,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
2,1.015,261.6255653,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
3,1.512,415.3046976,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
4,2.008,415.3046976,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
5,2.502,391.995436,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
6,2.877,493.8833013,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
7,3.002,523.2511306,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
8,3.502,349.2282314,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
9,4.002,349.2282314,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
10,4.504,311.1269837,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
11,4.879,493.8833013,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
12,5.004,523.2511306,1.0,0,0.0,stim_min_2_a,p13,1,0,1,1
13,5.504,293.6647679,1.0,1,5.613,stim_min_2_a,p13,0,0,0,0
14,6.004,311.1269837,1.0,0,0.0,stim_min_2_a,p13,0,0,0,1
15,6.176,349.2282314,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
16,6.347,391.995436,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
17,6.504,349.2282314,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
18,6.676,311.1269837,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
19,6.843,293.6647679,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
20,7.015,261.6255653,1.0,0,0.0,stim_min_2_a,p13,0,0,0,1
21,8.515,391.995436,1.0,0,0.0,stim_min_2_a,p13,1,1,0,1
22,9.012,261.6255653,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
23,9.512,261.6255653,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
24,10.008,261.6255653,1.0,0,0.0,stim_min_2_a,p13,0,0,0,1
25,10.506,415.3046976,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
26,10.756,349.2282314,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
27,11.002,246.9416506,1.0,0,0.0,stim_min_2_a,p13,0,0,0,1
28,11.501,246.9416506,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
29,12.013,246.9416506,17.5,0,0.0,stim_min_2_a,p13,0,0,1,1
30,12.252,261.6255653,17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
31,12.502,293.6647679,17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
32,12.752,311.1269837,17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
33,13.002,349.2282314,17.5,0,0.0,stim_min_2_a,p13,1,0,0,1
34,13.251,311.1269837,17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
35,13.501,293.6647679,17.5,1,13.517,stim_min_2_a,p13,0,0,0,0
36,13.751,311.1269837,17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
37,14.014,349.2282314,17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
38,14.264,415.3046976,17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
39,14.514,391.995436,17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
40,14.756,349.2282314,17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
41,15.006,311.1269837,1.0,1,15.958,stim_min_2_a,p13,1,0,1,1
42,16.004,523.2511306,1.0,0,0.0,stim_min_2_a,p13,0,1,0,1
43,16.254,587.3295358,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
44,16.501,493.8833013,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
45,16.751,523.2511306,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
46,17.013,440.0,1.0,0,0.0,stim_min_2_a,p13,0,0,0,1
47,17.513,880.0,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
48,18.009,830.6093952,-17.5,0,0.0,stim_min_2_a,p13,1,0,1,1
49,18.262,880.0,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
50,18.512,739.9888454,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
51,18.762,830.6093952,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
52,19.012,659.2551138,-17.5,1,19.129,stim_min_2_a,p13,0,0,0,1
53,19.504,880.0,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
54,19.754,659.2551138,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
55,20.004,698.4564629,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
56,20.504,587.3295358,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
57,21.0,391.995436,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
58,21.5,783.990872,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
59,22.0,659.2551138,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
60,22.25,698.4564629,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
61,22.5,587.3295358,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
62,22.75,659.2551138,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
63,23.016,523.2511306,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
64,24.513,261.6255653,1.0,0,0.0,stim_min_2_a,p13,0,1,1,1
65,25.002,261.6255653,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
66,25.502,261.6255653,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
67,26.009,293.6647679,1.0,0,0.0,stim_min_2_a,p13,0,0,0,1
68,26.509,293.6647679,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
69,27.009,293.6647679,1.0,0,0.0,stim_min_2_a,p13,0,0,0,1
70,27.258,311.1269837,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
71,27.508,349.2282314,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
72,27.758,293.6647679,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
73,28.008,311.1269837,1.0,0,0.0,stim_min_2_a,p13,0,0,0,1
74,28.507,293.6647679,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
75,28.757,311.1269837,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
76,29.007,261.6255653,1.0,0,0.0,stim_min_2_a,p13,0,0,0,1
77,29.507,293.6647679,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
78,30.007,311.1269837,1.0,0,0.0,stim_min_2_a,p13,0,0,0,1
79,30.257,293.6647679,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
80,30.507,311.1269837,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
81,30.757,349.2282314,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
82,31.007,391.995436,1.0,0,0.0,stim_min_2_a,p13,0,0,0,1
83,32.001,261.6255653,17.5,0,0.0,stim_min_2_a,p13,0,1,1,1
84,33.011,391.995436,17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
85,34.0,311.1269837,17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
86,35.501,293.6647679,17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
87,36.009,261.6255653,17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
88,36.516,311.1269837,17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
89,37.012,293.6647679,17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
90,37.512,261.6255653,17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
91,38.002,246.9416506,17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
92,38.513,220.0,17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
93,39.013,195.997718,1.0,0,0.0,stim_min_2_a,p13,0,0,1,1
94,40.5,261.6255653,1.0,0,0.0,stim_min_2_a,p13,0,1,0,1
95,41.011,261.6255653,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
96,41.508,261.6255653,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
97,42.001,311.1269837,1.0,0,0.0,stim_min_2_a,p13,0,0,0,1
98,43.503,293.6647679,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
99,43.75,261.6255653,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
100,44.0,293.6647679,1.0,0,0.0,stim_min_2_a,p13,0,0,0,1
101,44.508,195.997718,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
102,45.011,391.995436,1.0,0,0.0,stim_min_2_a,p13,0,0,0,1
103,46.512,369.9944227,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
104,46.761,440.0,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
105,47.008,391.995436,1.0,0,0.0,stim_min_2_a,p13,0,0,0,1
106,48.016,391.995436,-17.5,1,48.615,stim_min_2_a,p13,1,1,1,1
107,49.005,261.6255653,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
108,49.502,523.2511306,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
109,50.009,466.1637615,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
110,50.501,415.3046976,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
111,50.763,391.995436,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
112,51.0,415.3046976,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
113,52.005,391.995436,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
114,53.015,349.2282314,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
115,54.007,311.1269837,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,1
116,54.514,293.6647679,-17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
117,55.014,261.6255653,-17.5,0,0.0,stim_min_2_a,p13,1,0,0,1
118,56.501,391.995436,1.0,0,0.0,stim_min_2_a,p13,0,1,1,1
119,57.0,391.995436,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
120,58.512,391.995436,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
121,59.008,391.995436,1.0,0,0.0,stim_min_2_a,p13,0,0,0,1
122,60.51,391.995436,1.0,0,0.0,stim_min_2_a,p13,0,0,0,0
123,61.01,261.6255653,17.5,0,0.0,stim_min_2_a,p13,1,0,1,1
124,61.506,293.6647679,17.5,1,61.584,stim_min_2_a,p13,0,0,0,0
125,62.006,311.1269837,17.5,0,0.0,stim_min_2_a,p13,1,0,0,1
126,62.506,246.9416506,17.5,1,62.873,stim_min_2_a,p13,0,0,0,0
127,63.014,261.6255653,17.5,0,0.0,stim_min_2_a,p13,0,0,0,0
