,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_,main,0,0,0,0
1,0.266,493.8833013,-17.5,0,0.0,stim_min_1,p_,main,0,0,0,0
2,0.512,523.2511306,-17.5,0,0.0,stim_min_1,p_,main,0,0,0,0
3,1.012,391.995436,-17.5,0,0.0,stim_min_1,p_,main,0,0,0,1
4,1.509,415.3046976,-17.5,0,0.0,stim_min_1,p_,main,0,0,0,0
5,2.006,523.2511306,1.0,0,0.0,stim_min_1,p_,main,0,0,1,1
6,2.254,493.8833013,1.0,0,0.0,stim_min_1,p_,main,0,0,0,0
7,2.504,523.2511306,1.0,0,0.0,stim_min_1,p_,main,0,0,0,0
8,3.001,587.3295358,1.0,0,0.0,stim_min_1,p_,main,0,0,0,1
9,3.501,391.995436,1.0,0,0.0,stim_min_1,p_,main,0,0,0,0
10,4.001,523.2511306,1.0,0,0.0,stim_min_1,p_,main,0,0,0,1
11,4.262,493.8833013,1.0,0,0.0,stim_min_1,p_,main,0,0,0,0
12,4.512,523.2511306,1.0,0,0.0,stim_min_1,p_,main,0,0,0,0
13,5.009,587.3295358,17.5,0,0.0,stim_min_1,p_,main,1,0,1,1
14,5.51,349.2282314,17.5,0,0.0,stim_min_1,p_,main,0,0,0,0
15,5.76,391.995436,17.5,0,0.0,stim_min_1,p_,main,0,0,0,0
16,6.01,415.3046976,17.5,1,6.229,stim_min_1,p_,main,0,0,0,1
17,6.26,391.995436,17.5,0,0.0,stim_min_1,p_,main,0,0,0,0
18,6.51,349.2282314,17.5,0,0.0,stim_min_1,p_,main,0,0,0,0
19,7.007,311.1269837,17.5,0,0.0,stim_min_1,p_,main,0,0,0,1
20,8.0,261.6255653,17.5,0,0.0,stim_min_1,p_,main,0,1,0,1
21,9.013,391.995436,17.5,0,0.0,stim_min_1,p_,main,0,0,0,1
22,10.509,415.3046976,17.5,0,0.0,stim_min_1,p_,main,0,0,0,0
23,11.014,391.995436,1.0,0,0.0,stim_min_1,p_,main,1,0,1,1
24,11.51,349.2282314,1.0,0,0.0,stim_min_1,p_,main,0,0,0,1
25,12.007,311.1269837,1.0,1,12.179,stim_min_1,p_,main,0,0,0,1
26,12.507,349.2282314,1.0,0,0.0,stim_min_1,p_,main,0,0,0,0
27,13.003,391.995436,-17.5,0,0.0,stim_min_1,p_,main,1,0,1,1
28,13.516,293.6647679,-17.5,0,0.0,stim_min_1,p_,main,0,0,0,0
29,14.015,246.9416506,-17.5,0,0.0,stim_min_1,p_,main,0,0,0,1
30,15.012,261.6255653,1.0,0,0.0,stim_min_1,p_,main,0,0,1,1
31,16.009,391.995436,1.0,0,0.0,stim_min_1,p_,main,1,1,0,1
32,17.003,415.3046976,1.0,0,0.0,stim_min_1,p_,main,0,0,0,1
33,18.015,391.995436,17.5,1,18.531,stim_min_1,p_,main,1,0,1,1
34,19.012,369.9944227,17.5,0,0.0,stim_min_1,p_,main,0,0,0,1
35,20.004,493.8833013,17.5,0,0.0,stim_min_1,p_,main,0,0,0,1
36,21.001,523.2511306,17.5,0,0.0,stim_min_1,p_,main,0,0,0,1
37,22.01,349.2282314,1.0,0,0.0,stim_min_1,p_,main,0,0,1,1
38,23.007,311.1269837,1.0,0,0.0,stim_min_1,p_,main,0,0,0,1
39,24.515,391.995436,-17.5,0,0.0,stim_min_1,p_,main,0,1,1,1
40,25.015,415.3046976,-17.5,0,0.0,stim_min_1,p_,main,0,0,0,0
41,25.511,261.6255653,-17.5,0,0.0,stim_min_1,p_,main,0,0,0,0
