,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.512,261.6255653,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,0
1,1.009,293.6647679,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,1
2,1.509,329.6275569,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,0
3,2.009,349.2282314,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,1
4,2.756,391.995436,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,0
5,2.878,349.2282314,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,0
6,3.003,329.6275569,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,1
7,3.515,440.0,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,0
8,4.015,293.6647679,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,1
9,4.512,391.995436,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,0
10,5.259,440.0,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,0
11,5.509,391.995436,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,0
12,5.758,349.2282314,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,0
13,6.008,329.6275569,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,1
14,6.255,349.2282314,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,0
15,6.505,329.6275569,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,0
16,6.755,293.6647679,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,0
17,7.005,261.6255653,-17.5,0,0.0,stim_maj_1,p_A,main,0,0,0,1
18,8.509,391.995436,1.0,0,0.0,stim_maj_1,p_A,main,1,1,1,1
19,9.006,440.0,1.0,0,0.0,stim_maj_1,p_A,main,0,0,0,0
20,9.256,391.995436,1.0,0,0.0,stim_maj_1,p_A,main,0,0,0,0
21,9.505,349.2282314,1.0,0,0.0,stim_maj_1,p_A,main,0,0,0,0
22,9.755,391.995436,1.0,1,9.957,stim_maj_1,p_A,main,0,0,0,0
23,10.004,659.2551138,1.0,0,0.0,stim_maj_1,p_A,main,0,0,0,1
24,10.501,523.2511306,1.0,0,0.0,stim_maj_1,p_A,main,0,0,0,0
25,11.001,391.995436,1.0,0,0.0,stim_maj_1,p_A,main,0,0,0,1
26,11.5,349.2282314,1.0,0,0.0,stim_maj_1,p_A,main,0,0,0,0
27,11.763,329.6275569,1.0,0,0.0,stim_maj_1,p_A,main,0,0,0,0
28,12.013,349.2282314,1.0,0,0.0,stim_maj_1,p_A,main,0,0,0,1
