,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
1,0.513,493.8833013,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
2,1.013,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
3,1.512,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
4,2.008,415.3046976,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
5,2.18,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
6,2.677,493.8833013,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
7,2.849,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
8,3.099,587.3295358,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
9,4.095,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
10,4.592,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
11,4.842,493.8833013,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
12,5.092,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
13,5.592,587.3295358,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
14,6.089,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
15,6.261,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
16,6.417,415.3046976,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
17,6.93,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
18,7.18,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
19,8.177,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,1,0,0,1
20,9.174,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,1,1,1
21,10.171,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
22,10.421,415.3046976,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
23,11.417,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
24,11.93,349.2282314,17.5,0,0.0,stim_min_1,p_Aaron,rhythm,1,0,1,1
25,12.43,311.1269837,17.5,1,12.476,stim_min_1,p_Aaron,rhythm,0,0,0,1
26,12.679,349.2282314,17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
27,13.169,391.995436,17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
28,13.419,293.6647679,17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
29,14.431,246.9416506,17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
30,14.587,261.6255653,17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
31,15.613,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,1,1,1,1
32,16.597,415.3046976,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
33,16.753,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
34,17.015,369.9944227,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
35,17.265,493.8833013,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,1,1
36,17.765,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
37,18.699,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
38,19.208,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
39,20.702,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,1,0,1
40,21.199,415.3046976,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
41,21.699,261.6255653,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
42,22.204,246.9416506,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
43,22.701,261.6255653,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,1,0,0,1
44,23.214,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,1,1
45,23.713,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
46,23.866,349.2282314,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
47,24.366,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
48,25.379,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
49,25.535,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
50,25.785,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,1,0,0,1
51,26.782,261.6255653,17.5,1,27.308,stim_min_1,p_Aaron,rhythm,0,1,1,1
52,27.795,246.9416506,17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
53,28.291,261.6255653,17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
54,28.541,293.6647679,17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
55,30.035,311.1269837,17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
56,30.283,293.6647679,17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
57,31.295,261.6255653,17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
58,31.448,369.9944227,17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
59,31.948,391.995436,17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
60,32.448,233.0818808,17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
61,32.698,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,1,0,1,1
62,33.198,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
63,33.708,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
64,34.205,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
65,34.702,195.997718,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
66,35.699,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,1,1,0,1
67,36.211,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
68,36.461,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,1,1
69,36.961,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
70,37.457,293.6647679,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
71,37.954,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
72,38.454,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
73,38.951,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
74,39.201,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
75,39.701,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
76,39.87,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
77,40.366,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
78,40.879,415.3046976,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
79,41.378,246.9416506,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
80,41.625,195.997718,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
81,41.865,195.997718,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
82,42.372,220.0,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
83,42.865,246.9416506,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
84,43.378,261.6255653,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
85,44.371,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,1,1,0,1
86,44.871,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
87,45.121,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
88,45.371,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
89,45.618,261.6255653,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
90,46.116,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
91,46.615,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
92,47.128,293.6647679,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
93,47.625,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
94,48.621,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
95,48.949,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
96,49.461,293.6647679,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
97,49.958,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
98,50.454,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,1,0,1,1
99,50.954,246.9416506,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
100,52.463,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
101,52.963,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,1,0,1
102,53.119,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
103,53.369,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
104,53.541,349.2282314,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
105,54.036,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
106,54.288,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
107,54.629,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
108,54.879,349.2282314,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
109,55.876,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
110,56.872,415.3046976,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
111,57.372,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
112,58.379,349.2282314,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
113,58.875,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
114,59.121,523.2511306,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
115,59.622,493.8833013,17.5,0,0.0,stim_min_1,p_Aaron,rhythm,1,0,1,1
116,59.873,466.1637615,17.5,1,60.107,stim_min_1,p_Aaron,rhythm,0,0,0,0
117,60.373,440.0,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,1,1
118,60.87,415.3046976,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
119,61.37,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
120,62.366,349.2282314,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
121,62.879,349.2282314,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,1
122,63.129,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
123,63.453,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
124,63.703,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,rhythm,0,0,0,0
