,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
1,0.262,293.6647679,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,1
2,1.009,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
3,1.509,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,1
4,1.753,391.995436,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
5,1.878,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
6,2.125,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,1
7,2.25,440.0,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
8,2.763,293.6647679,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,1
9,3.76,391.995436,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
10,4.51,440.0,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
11,5.007,391.995436,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
12,5.253,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
13,5.503,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,1
14,5.753,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
15,6.003,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
16,6.128,293.6647679,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
17,6.628,261.6255653,-17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,1
18,8.138,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,rhythm,1,1,1,1
19,8.638,440.0,1.0,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
20,8.751,391.995436,1.0,1,8.916,stim_maj_1,p_Eddie,rhythm,0,0,0,0
21,9.01,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
22,9.51,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
23,10.01,659.2551138,1.0,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,1
24,10.756,523.2511306,1.0,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
25,11.003,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,1
26,11.515,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
27,11.765,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
28,12.015,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,1
29,12.261,587.3295358,1.0,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
30,12.511,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,1
31,13.008,523.2511306,1.0,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
32,13.258,293.6647679,1.0,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,1
33,13.758,493.8833013,1.0,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
34,14.254,523.2511306,1.0,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,1
35,15.251,261.6255653,17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,1,1,1,1
36,15.376,293.6647679,17.5,0,0.0,stim_maj_1,p_Eddie,rhythm,0,0,0,0
