,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,0
1,0.266,493.8833013,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,0
2,0.516,523.2511306,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,0
3,1.012,391.995436,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,1
4,1.509,415.3046976,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,0
5,2.006,523.2511306,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,1
6,2.256,493.8833013,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,0
7,2.506,523.2511306,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,0
8,3.003,587.3295358,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,1
9,3.515,391.995436,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,0
10,4.015,523.2511306,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,1
11,4.251,493.8833013,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,0
12,4.501,523.2511306,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,0
13,5.013,587.3295358,-17.5,0,0.0,stim_min_1,p_Eddie,main,1,0,0,1
14,5.513,349.2282314,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,0
15,5.76,391.995436,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,0
16,6.01,415.3046976,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,1
17,6.257,391.995436,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,0
18,6.507,349.2282314,-17.5,0,0.0,stim_min_1,p_Eddie,main,0,0,0,0
19,7.004,311.1269837,1.0,0,0.0,stim_min_1,p_Eddie,main,1,0,1,1
20,8.001,261.6255653,1.0,1,8.562,stim_min_1,p_Eddie,main,0,1,0,1
21,9.012,391.995436,1.0,0,0.0,stim_min_1,p_Eddie,main,1,0,0,1
22,10.505,415.3046976,1.0,0,0.0,stim_min_1,p_Eddie,main,0,0,0,0
23,11.005,391.995436,1.0,0,0.0,stim_min_1,p_Eddie,main,0,0,0,1
