,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.516,261.6255653,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
1,1.015,293.6647679,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
2,1.515,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
3,2.009,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
4,2.759,391.995436,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
5,2.884,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
6,3.009,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
7,3.506,440.0,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
8,4.003,293.6647679,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
9,4.515,391.995436,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
10,5.265,440.0,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
11,5.515,391.995436,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
12,5.762,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
13,6.012,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
14,6.262,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
15,6.512,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
16,6.762,293.6647679,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
17,7.009,261.6255653,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
18,8.505,391.995436,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,1,0,1
19,9.001,440.0,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
20,9.251,391.995436,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
21,9.501,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
22,9.751,391.995436,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
23,10.015,659.2551138,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
24,10.515,523.2511306,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
25,11.015,391.995436,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
26,11.512,349.2282314,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
27,11.762,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
28,12.009,349.2282314,1.0,0,0.0,stim_maj_1,p_Eva,main,1,0,1,1
29,12.508,587.3295358,1.0,1,12.724,stim_maj_1,p_Eva,main,0,0,0,0
30,13.005,329.6275569,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
31,13.505,523.2511306,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
32,14.012,293.6647679,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
33,14.512,493.8833013,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
34,15.013,523.2511306,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
35,16.011,261.6255653,1.0,0,0.0,stim_maj_1,p_Eva,main,1,1,0,1
36,16.136,293.6647679,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
37,16.261,329.6275569,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
38,16.386,349.2282314,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
39,16.511,329.6275569,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
40,16.625,293.6647679,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
41,16.758,329.6275569,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
42,16.883,261.6255653,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
43,17.008,440.0,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
44,17.756,440.0,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
45,18.006,391.995436,1.0,0,0.0,stim_maj_1,p_Eva,main,1,0,0,1
46,18.756,349.2282314,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
47,19.005,329.6275569,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
48,19.751,349.2282314,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
49,20.002,329.6275569,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
50,20.752,293.6647679,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
51,21.015,261.6255653,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
52,21.509,195.997718,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
53,22.009,261.6255653,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
54,22.259,293.6647679,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
55,22.509,329.6275569,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
56,22.756,293.6647679,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
57,23.006,261.6255653,1.0,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
58,24.002,391.995436,17.5,0,0.0,stim_maj_1,p_Eva,main,0,1,1,1
59,24.265,329.6275569,17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
60,24.515,293.6647679,17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
61,24.765,329.6275569,17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,0
62,25.012,261.6255653,17.5,0,0.0,stim_maj_1,p_Eva,main,0,0,0,1
