,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
1,0.266,493.8833013,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
2,0.516,523.2511306,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
3,1.0,391.995436,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
4,1.513,415.3046976,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
5,2.013,523.2511306,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
6,2.26,493.8833013,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
7,2.506,523.2511306,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
8,3.003,587.3295358,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
9,3.503,391.995436,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
10,4.015,523.2511306,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
11,4.262,493.8833013,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
12,4.509,523.2511306,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
13,5.009,587.3295358,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
14,5.505,349.2282314,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
15,5.755,391.995436,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
16,6.005,415.3046976,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
17,6.252,391.995436,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
18,6.502,349.2282314,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
19,7.002,311.1269837,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
20,8.01,261.6255653,1.0,0,0.0,stim_min_1,p_Eva,main,1,1,1,1
21,9.007,391.995436,1.0,1,9.254,stim_min_1,p_Eva,main,0,0,0,1
22,10.501,415.3046976,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
23,11.001,391.995436,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
24,11.501,349.2282314,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
25,12.013,311.1269837,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
26,12.51,349.2282314,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
27,13.01,391.995436,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
28,13.506,293.6647679,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
29,14.006,246.9416506,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
30,15.003,261.6255653,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
31,16.004,391.995436,17.5,0,0.0,stim_min_1,p_Eva,main,0,1,1,1
32,17.012,415.3046976,17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
33,18.008,391.995436,17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
34,19.005,369.9944227,17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
35,20.002,493.8833013,1.0,1,20.776,stim_min_1,p_Eva,main,0,0,1,1
36,21.001,523.2511306,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
37,22.013,349.2282314,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
38,23.01,311.1269837,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
39,24.503,391.995436,1.0,0,0.0,stim_min_1,p_Eva,main,1,1,0,1
40,25.013,415.3046976,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
41,25.513,261.6255653,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
42,26.009,246.9416506,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
43,27.002,261.6255653,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
44,28.503,293.6647679,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
45,28.753,311.1269837,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
46,29.0,349.2282314,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,1,1
47,29.5,311.1269837,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
48,29.763,293.6647679,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
49,30.013,311.1269837,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
50,31.001,261.6255653,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
51,32.007,261.6255653,-17.5,0,0.0,stim_min_1,p_Eva,main,0,1,0,1
52,33.008,246.9416506,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
53,33.505,261.6255653,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
54,33.752,293.6647679,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
55,34.002,311.1269837,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
56,34.502,293.6647679,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
57,35.014,261.6255653,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
58,35.51,369.9944227,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
59,36.01,391.995436,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
60,36.51,233.0818808,-17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
61,37.01,261.6255653,1.0,0,0.0,stim_min_1,p_Eva,main,1,0,1,1
62,37.507,261.6255653,1.0,1,37.821,stim_min_1,p_Eva,main,0,0,0,0
63,38.008,293.6647679,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
64,38.515,293.6647679,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
65,39.011,195.997718,17.5,0,0.0,stim_min_1,p_Eva,main,1,0,1,1
66,40.004,261.6255653,17.5,0,0.0,stim_min_1,p_Eva,main,0,1,0,1
67,40.504,293.6647679,17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
68,41.001,311.1269837,17.5,0,0.0,stim_min_1,p_Eva,main,1,0,0,1
69,41.513,311.1269837,17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
70,41.763,293.6647679,17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
71,42.009,311.1269837,17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
72,42.503,349.2282314,17.5,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
73,43.003,391.995436,1.0,0,0.0,stim_min_1,p_Eva,main,1,0,1,1
74,43.253,349.2282314,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
75,43.501,311.1269837,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
76,43.751,349.2282314,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
77,44.001,391.995436,1.0,1,44.11,stim_min_1,p_Eva,main,0,0,0,1
78,44.501,415.3046976,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
79,45.012,246.9416506,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
80,45.508,195.997718,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
81,46.005,195.997718,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,1
82,46.255,220.0,1.0,0,0.0,stim_min_1,p_Eva,main,0,0,0,0
