,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,195.997718,-17.5,0,0.0,stim_min_1,p_Eva,melody,0,0,0,0
1,0.266,523.2511306,-17.5,0,0.0,stim_min_1,p_Eva,melody,0,0,0,0
2,0.515,261.6255653,-17.5,0,0.0,stim_min_1,p_Eva,melody,0,0,0,0
3,1.012,311.1269837,1.0,0,0.0,stim_min_1,p_Eva,melody,1,0,1,1
4,1.509,293.6647679,1.0,1,1.775,stim_min_1,p_Eva,melody,0,0,0,0
5,2.009,523.2511306,1.0,0,0.0,stim_min_1,p_Eva,melody,0,0,0,1
6,2.259,293.6647679,1.0,0,0.0,stim_min_1,p_Eva,melody,0,0,0,0
7,2.509,349.2282314,1.0,0,0.0,stim_min_1,p_Eva,melody,0,0,0,0
8,3.005,523.2511306,17.5,0,0.0,stim_min_1,p_Eva,melody,0,0,1,1
9,3.502,349.2282314,17.5,0,0.0,stim_min_1,p_Eva,melody,0,0,0,0
10,4.002,293.6647679,17.5,0,0.0,stim_min_1,p_Eva,melody,0,0,0,1
11,4.252,349.2282314,17.5,0,0.0,stim_min_1,p_Eva,melody,0,0,0,0
12,4.502,493.8833013,17.5,0,0.0,stim_min_1,p_Eva,melody,0,0,0,0
13,5.002,349.2282314,17.5,0,0.0,stim_min_1,p_Eva,melody,1,0,0,1
14,5.513,587.3295358,17.5,0,0.0,stim_min_1,p_Eva,melody,0,0,0,0
15,5.763,293.6647679,17.5,0,0.0,stim_min_1,p_Eva,melody,0,0,0,0
16,6.013,311.1269837,17.5,0,0.0,stim_min_1,p_Eva,melody,0,0,0,1
17,6.263,415.3046976,17.5,0,0.0,stim_min_1,p_Eva,melody,0,0,0,0
18,6.513,391.995436,17.5,0,0.0,stim_min_1,p_Eva,melody,0,0,0,0
19,7.013,311.1269837,17.5,0,0.0,stim_min_1,p_Eva,melody,0,0,0,1
20,8.005,261.6255653,1.0,0,0.0,stim_min_1,p_Eva,melody,1,1,1,1
21,9.003,415.3046976,1.0,0,0.0,stim_min_1,p_Eva,melody,0,0,0,1
22,10.515,391.995436,1.0,0,0.0,stim_min_1,p_Eva,melody,0,0,0,0
23,11.012,261.6255653,1.0,0,0.0,stim_min_1,p_Eva,melody,0,0,0,1
24,11.511,246.9416506,1.0,0,0.0,stim_min_1,p_Eva,melody,0,0,0,1
25,12.008,293.6647679,1.0,0,0.0,stim_min_1,p_Eva,melody,1,0,0,1
26,12.505,311.1269837,1.0,0,0.0,stim_min_1,p_Eva,melody,0,0,0,0
27,13.005,233.0818808,1.0,0,0.0,stim_min_1,p_Eva,melody,0,0,0,1
28,13.501,415.3046976,1.0,0,0.0,stim_min_1,p_Eva,melody,0,0,0,0
29,14.002,391.995436,-17.5,0,0.0,stim_min_1,p_Eva,melody,1,0,1,1
30,15.013,261.6255653,-17.5,0,0.0,stim_min_1,p_Eva,melody,0,0,0,1
31,16.01,391.995436,1.0,1,16.553,stim_min_1,p_Eva,melody,1,1,1,1
32,17.006,261.6255653,1.0,0,0.0,stim_min_1,p_Eva,melody,0,0,0,1
33,18.002,311.1269837,1.0,0,0.0,stim_min_1,p_Eva,melody,0,0,0,1
34,19.009,311.1269837,1.0,0,0.0,stim_min_1,p_Eva,melody,0,0,0,1
35,20.006,369.9944227,1.0,0,0.0,stim_min_1,p_Eva,melody,0,0,0,1
36,21.015,311.1269837,1.0,0,0.0,stim_min_1,p_Eva,melody,0,0,0,1
