,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
1,0.513,493.8833013,-17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
2,1.013,523.2511306,-17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
3,1.513,391.995436,1.0,0,0.0,stim_min_1,p_Eva,rhythm,1,0,1,1
4,2.002,415.3046976,1.0,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
5,2.515,523.2511306,1.0,1,2.609,stim_min_1,p_Eva,rhythm,0,0,0,1
6,3.502,493.8833013,1.0,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
7,4.014,523.2511306,1.0,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
8,4.264,587.3295358,1.0,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,1
9,4.76,391.995436,1.0,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
10,5.26,523.2511306,17.5,0,0.0,stim_min_1,p_Eva,rhythm,1,0,1,1
11,5.76,493.8833013,17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
12,6.26,523.2511306,17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
13,7.26,587.3295358,17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,1
14,7.76,349.2282314,17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
15,8.753,391.995436,17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
16,9.757,415.3046976,17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,1
17,10.752,391.995436,17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
18,11.002,349.2282314,17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
19,11.282,311.1269837,1.0,0,0.0,stim_min_1,p_Eva,rhythm,0,0,1,1
20,12.264,261.6255653,1.0,0,0.0,stim_min_1,p_Eva,rhythm,0,1,0,1
21,13.258,391.995436,1.0,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,1
22,13.755,415.3046976,1.0,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
23,14.099,391.995436,1.0,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,1
24,14.346,349.2282314,-17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,1,1
25,14.842,311.1269837,-17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,1
26,15.842,349.2282314,-17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
27,16.338,391.995436,-17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,1
28,17.288,293.6647679,-17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
29,17.456,246.9416506,-17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,1
30,17.706,261.6255653,-17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,1
31,18.701,391.995436,1.0,0,0.0,stim_min_1,p_Eva,rhythm,0,1,1,1
32,19.713,415.3046976,1.0,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,1
33,20.211,391.995436,1.0,0,0.0,stim_min_1,p_Eva,rhythm,1,0,0,1
34,20.367,369.9944227,1.0,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,1
35,20.617,493.8833013,1.0,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,1
36,21.13,523.2511306,1.0,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,1
37,21.38,349.2282314,1.0,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,1
38,22.374,311.1269837,17.5,0,0.0,stim_min_1,p_Eva,rhythm,1,0,1,1
39,23.87,391.995436,17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,1,0,1
40,24.367,415.3046976,17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
41,25.379,261.6255653,17.5,0,0.0,stim_min_1,p_Eva,rhythm,0,0,0,0
